domain,application,version,users,MAU,HYAU,posts
v3.tamx.tk,misskey,12.119.2,1,1,1,4916
schaumburg.social,mastodon,4.2.1,28,25,27,54137
misskey.ihoronir.com,misskey,2023.11.1,5,null,null,455
skastodon.com,mastodon,4.2.3,188,35,120,6943
skippers-bin.com,misskey,13.14.2,652,null,null,40235
gn-tronics.dev,mastodon,4.2.0,2,2,2,529
dads.cool,hometown,4.0.6+hometown-1.1.1,175,59,98,204125
masto.futbol,mastodon,4.2.3,3,3,3,496
metapixl.com,pixelfed,0.11.9,4676,524,1728,1393054
guitar.rodeo,mastodon,4.2.3,2184,146,536,8962
mstdn.omisosiru.net,mastodon,3.2.0,26,37,45,67907
dev.fedibird.com,fedibird,0.1,3,3,3,2
misskey.flowertea.uk,misskey,2023.11.1,28,null,null,7406
people.unfoo.net,akkoma,3.10.4,6,2,3,53
dotgr.id,mastodon,4.2.3,36,16,22,2201
toot.ikata.co,mastodon,4.2.3,3,3,3,345
fedi.skyizwhite.dev,mastodon,4.2.1,3,2,2,114
mastodon.tokyo,mastodon,4.2.3+h12o,41,15,25,3581
smithtodon.org,mastodon,4.2.3,3,1,1,1904
brands.town,mastodon,4.2.1,253,57,137,16953
mstdn.hostdon.jp,mastodon,4.2.1,114,6,23,857
chaskey.net,misskey,2023.11.1,48,null,null,1224
bolha.us,mastodon,4.2.3,1720,273,810,54773
toast.dragon2611.net,mastodon,4.2.3,2,2,2,1494
feddit.cl,lemmy,0.18.5,9244,43,112,1079
transmom.love,mastodon,4.3.0-alpha.0+glitch,9,4,5,30891
m.teela.jp,mastodon,4.2.2,6,3,4,116
newsie.social,mastodon,4.2.3,20843,1787,4450,918921
graz.social,mastodon,4.2.3,1510,322,584,97803
hdr.social,mastodon,4.2.3,2,2,2,82
mstdn.cool,mastodon,4.2.0,2,1,3,154
ubiqueros.com,misskey,12.119.2,7,4,6,12689
misskey.9tail.net,misskey,2023.11.1,4,null,null,121
babka.social,mastodon,4.3.0-alpha.0+babka,758,199,440,139746
tootworld.social,mastodon,4.1.10,2,1,2,50
fanaticus.social,lemmy,0.19.0,236,36,103,9292
char.lissocial.com,misskey,2023.11.1,5,null,null,18
mastodon.imaginatrix.xyz,mastodon,4.2.1,1,1,1,183
mtdn.zenmai.org,mastodon,4.2.0,4,1,4,2202
frankfurt.social,mastodon,4.2.0,218,79,134,18738
fex.techbio.eu,owncast,0.1.2,1,1,1,98
pixel.livellosegreto.it,pixelfed,0.11.9,544,505,544,34907
wrily.foad.me.uk,writefreely,0.13.2,7,null,1,135
flower.afn.social,mastodon,3.2.2,762,111,155,10053243
misskey.nrps.xyz,misskey,2023.11.1,5,null,null,59
mastodon.gideonstar.de,mastodon,4.1.11,1,1,1,1254
raphus.social,mastodon,4.2.3,188,62,118,12226
mastodon.beer,mastodon,4.2.3,304,87,161,15931
social.lahevirta.fi,gotosocial,0.13.0 git-f4fcffc,3,null,null,321
hackaday.social,mastodon,4.2.0,45,23,30,5306
akkoma.nl,akkoma,3.10.4-0-gebfb617,6,3,4,69
social.adlerhorst.net,mastodon,4.2.1,2,1,1,490
tiz.social,mastodon,4.2.1,30,10,28,204
social.matsuuratomoya.com,mastodon,4.2.0,1,1,1,876
togart.de,mastodon,4.2.1,1,1,1,932
thefolklore.cafe,mastodon,4.1.2,26,16,19,19768
witter.cz,mastodon,4.2.0,1423,313,750,50678
misskey.syakesaba.com,misskey,2023.11.1,3,null,null,48
devil-children-alitaso.com,mastodon,4.1.1,7,1,3,20803
social.ahlcode.fi,firefish,1.0.5-rc,5,4,4,725
archaeo.social,mastodon,4.2.1,766,220,506,39360
toot.zof.sh,mastodon,4.2.1,1,1,1,580
techtoots.com,mastodon,4.2.3,159,52,155,1873
atsuchan.page,mastodon,3.4.10+glitch+atsu1125,7,2,2,25969
social.suchtbasis.de,mastodon,4.2.3,3,3,3,721
reika-smapuri.com,mastodon,4.3.0-alpha.0,1,1,2,26
tiggi.es,mastodon,4.2.3,111,69,92,67991
moresci.sale,mastodon,3.5.12,728,335,468,499290
foojay.social,mastodon,4.2.3,189,63,100,8039
an.exchange,mastodon,4.3.0-alpha.0+glitch,9,4,9,1454
mstdn.funil.de,mastodon,4.2.3,3,2,3,583
ayom.media,mastodon,4.2.1,86,36,65,19323
mstdn.fujii-yuji.net,mastodon,4.2.1,1,1,1,44174
jpmstdn.com,mastodon,4.1.10,7,7,7,15885
crossdon.com,mastodon,4.2.1,1,1,1,1819
shota.house,akkoma,3.10.3,52,18,29,124763
social.koti.site,mastodon,4.2.1,1,1,1,3
social.sdf.org,mastodon,4.2.1,276,146,226,43041
shrike.club,mastodon,3.5.10,192,148,163,1024433
misskey.yancya.club,misskey,2023.11.1,23,null,null,1374
wug.fun,mastodon,4.1.4,283,13,26,111913
nyan.network,akkoma,3.10.3-202-g1b838627-1-CI-COMMIT-TAG---,11,6,10,3918
mstdn.progressiv.dev,mastodon,4.2.0,3,1,2,1606
pokemon.men,mastodon,4.1.3,78,5,12,109292
misskey.akyoz.net,misskey,2023.11.1,3,null,null,1338
kur0den.vivaldi.net,wordpress,6.4.2,1,1,1,4
restof.social,mastodon,4.2.3,36,4,5,1130
pleroma.kousaka.co,pleroma,2.5.5,1,1,1,35
mammut.cyou,mastodon,4.2.1,4,2,4,2825
radio.quaqoostore.net,mastodon,4.2.1,2,2,2,917
mstdn.nekonote.cc,mastodon,4.2.3,1,1,1,5873
darapapa.misskey.one,misskey,2023.9.3,5,null,null,1337
lazysocial.de,mastodon,4.2.3,11,8,11,6311
aeracode.org,mastodon,4.2.3,3,1,2,997
hvac-tf.net,misskey,2023.11.1,11,null,null,29862
hub.volse.no,hubzilla,8.8.1,50,16,32,15534
pleroma.soykaf.com,pleroma,2.5.4,447,13,30,279679
thepit.social,mastodon,4.2.3,212,85,134,36103
digineko.net,mastodon,4.2.1,1,1,1,4512
social.lansky.name,mastodon,4.2.3,6,5,5,149302
mosw.work,mastodon,4.2.3,1,1,1,312621
cryptodon.lol,mastodon,4.1.6,3005,190,619,87150
misskey.ayutsuki.net,misskey,2023.11.1,10,null,null,1641
p.tty7.uk,pleroma,2.6.0,3,3,3,1882
meisskey.one,meisskey,10.102.681-m544,1004,145,346,199663
social.kontrollapparat.de,mastodon,4.2.3,4,4,4,671
physchem.science,mastodon,4.2.3,7,3,6,26960
social.unitoo.it,akkoma,3.10.4-1-gebfb617b,4,1,2,716
mastodon.spesh.com,mastodon,4.2.3,2,1,2,109
mstdn.mimikun.jp,mastodon,4.1.5,4,2,2,186924
stroud.social,akkoma,3.10.4,3,3,3,2064
room19.com,mastodon,4.1.2,23,5,11,8042
mastodon.macsnet.cz,mastodon,4.2.3,52,3,3,31596
hamsterhoard.home.blog,wordpress,6.5-alpha-57144,1,1,1,245
masto.efdnet.com,mastodon,4.2.3,1,1,1,371
social.jlinuxer.org,akkoma,3.10.4,1,1,1,705
phpc.social,mastodon,4.2.3,4344,964,1755,191402
cdrum.social,mastodon,4.2.3,1,1,1,605
puz.fun,mastodon,4.2.3,6,2,3,5725
akko.spla.tech,akkoma,3.10.4,2,1,1,2
nekoplanet.xyz,misskey,2023.11.1,37,null,null,28777
ak.angelstrapped.com,akkoma,3.9.3-1-ge20de760-tokc-stats,0,1,1,0
sms.cybik.moe,mastodon,4.2.3,3,2,2,7672
moppels.bar,calckey,14.0.0-rc3,21,14,18,57919
otr.rocks,mastodon,4.2.3,2,2,3,1430
social.nancengka.com,pleroma,2.6.1,3,2,3,2836
m.fa.gl,mastodon,4.2.3,2,2,2,1787
social.pixels.pizza,mastodon,4.2.3,2,1,1,6999
pao.moe,mastodon,4.2.3,102,5,9,31097
androiddev.social,mastodon,4.2.3,2960,840,1561,72228
mstdn.bgmn.net,mastodon,4.2.3,1,1,1,93
eldritch.cafe,mastodon,4.3.0-alpha.0+glitch,12776,1371,2366,2490267
nitiasa.com,mastodon,4.1.4,54,4,23,12588
mastodon.sethb.com,mastodon,4.2.3,1,1,1,304
varmint.town,mastodon,4.2.0,3,3,3,1261
self-down69.com,misskey,2023.11.1,5,null,null,235
hub.netzgemeinde.eu,hubzilla,8.8.2,1713,93,322,124501
achi.masto.host,mastodon,4.2.3,4,2,3,69698
ibe.social,firefish,1.0.3,65,27,61,12698
social.yoichihirai.com,pleroma,2.5.5,3,3,3,51
yodogawa.hostdon.ne.jp,mastodon,4.2.1,3,0,2,11
msps.io,mastodon,4.2.1,13,1,5,1511
missty.world,misskey,13.13.2,7,null,null,262
nightcord.de,mastodon,4.2.1,92,25,70,7949
radio.gamethattune.com,owncast,0.1.1,1,1,1,322
mstdn2.ht164.jp,mastodon,4.1.4-ht,4,1,2,3237
asphodel.rip,akkoma,3.10.4,6,5,6,1092
reimalab.art,mastodon,4.2.1,1,1,1,72
mxtthxw.art,mastodon,4.2.1,6,1,6,1212
mastodon.burnworks.com,mastodon,4.2.3,1,1,1,137
independent-media.co.uk,mastodon,4.2.2,139,16,27,7867
tanoshii.site,misskey,2023.9.3,31,null,null,39821
reax.work,misskey,2023.12.0-beta.3,25,null,null,4773
feddit.it,lemmy,0.18.5,1710,146,485,6782
tyrol.social,mastodon,4.2.1-stable+ts6,1247,191,427,47002
md.uzla.net,mastodon,4.2.3,4,4,4,323
queernerds.social,mastodon,4.1.8,18,9,14,8978
musicworld.social,mastodon,4.2.3,370,82,364,11305
some.evvk.fi,mastodon,4.2.3,3,1,2,4143
page.lgbt,mastodon,4.2.0-beta2+glitch,9,6,9,2474
mastodon.modspil.dk,mastodon,4.2.1,1,1,1,109
furry.engineer,mastodon,4.2.0+glitch,1235,532,920,210566
www.nekotodon.com,mastodon,4.2.3,1,1,1,7
yakumo.foundation,mastodon,4.3.0-alpha.0+glitch.1208_c0e5629,68,25,35,440768
misskey.dobu.page,misskey,2023.10.2,4,null,null,549
mstdn.vector1.dev,mastodon,4.3.0-alpha.0+meow.chuckya,19,11,20,2159
lemmy.world,lemmy,0.18.5,144895,11365,42849,204484
burn.capital,mastodon,4.2.1,19,14,16,16316
boles.xyz,mastodon,4.2.3,3,2,2,11598
misskey.niri.la,misskey,2023.11.1-kinel.4,2362,null,null,630364
configure.ac,mastodon,4.2.1,1,1,1,239
fenetre.dev,mastodon,4.0.2,6,3,3,1025
social.gabekangas.com,pleroma,2.5.1,1,1,1,1909
transfem.social,sharkey,2023.11.2,213,null,null,39585
kde.social,mastodon,4.2.3,12,7,11,116
freespeechextremist.com,pleroma,2.2.2-22-g7d5db5e0,2183,null,null,2091304
msky.7shiro.com,misskey,2023.11.1,4,null,null,445
toot.liw.fi,mastodon,4.2.3,3,1,1,8844
mastorol.es,mastodon,4.2.3,2001,333,689,93696
social.coyote.name,mastodon,4.2.3,1,1,1,51
lemmy.kde.social,lemmy,0.18.4,220,14,40,138
pcgamer.social,mastodon,4.2.0,336,54,97,36783
computering.pro,akkoma,3.10.4-0-gebfb617,6,1,4,166
mastodon.myfed.space,mastodon,4.2.0,2,1,2,2110
mi.sunset0916.net,misskey,2023.11.1,17,null,null,20419
scottodon.com,mastodon,4.2.3,2,1,2,386
nap.social,mastodon,4.3.3-nap-ver,10,6,12,509
xn--28ja4d6a.xn--u8j4c2560b.site,mastodon,4.2.3+kmyblue.5.12-LTS,1,1,1,141
wstrsd.masto.host,mastodon,4.2.3,2,2,2,9497
ni.hil.ist,hometown,4.0.10+hometown-1.1.1,449,139,219,160507
plushies.social,mastodon,4.2.3,60,50,56,32002
live.hatnix.net,owncast,0.1.2,1,1,1,519
pinnipedia.fedicity.net,mastodon,4.2.1,1,1,2,1311
thx.gg,mastodon,4.2.0,4,3,5,2838
law-and-politics.online,mastodon,4.1.4,2,2,2,470
troetmund.de,mastodon,4.2.3,6,4,6,778
oisaur.com,mastodon,4.3.0-alpha.0,33,30,31,8258
social.globalpirates.net,mastodon,4.1.4,119,16,60,6373
pxi.social,mastodon,4.2.1,2,1,2,1565
misskey.kartolitan.com,misskey,13.14.2,2,null,null,64
mymastadon.link,mastodon,4.2.3,1,1,1,857
childcare.hostdon.ne.jp,mastodon,4.2.1,61,21,39,10163
dlx.pink,akkoma,3.10.4-1-gebfb617b,2,2,2,31
plnetwork.xyz,hometown,4.0.10+hometown-1.1.1,34,9,19,1917
tube.nah.re,peertube,5.1.0,3,2,2,292
ieji.de,mastodon,4.2.1,14053,1474,4637,260315
cozymech.com,akkoma,3.9.3-28-g9d7c877d,1,1,1,355
social.clareifi.com,mastodon,4.2.3,1,1,1,69
mastodon.melin.org,mastodon,4.2.3,14,9,11,12389
couch.beerriot.com,akkoma,3.10.4-1-ga4c15863-no-fetch-with-local-limit-3-10-4,3,2,3,367
cld2a.ains-no-misskey.com,misskey,2023.11.0,4,null,null,1634
misskey.typeling1578.dev,misskey,2023.11.1,9,null,null,10244
p-dev.net,mastodon,4.2.3,2,1,2,109
magical-ribbon.net,mastodon,4.2.1,2,1,2,27
social.prodottoinrete.com,akkoma,3.9.3,1,1,1,0
fandom.garden,mastodon,4.3.0-alpha.0+glitch,295,54,94,50807
social.lfx.dev,mastodon,4.2.3,22,10,14,833
fedi.triodug.com,akkoma,3.9.3-0-g9d7c877,2,1,1,2191
final.town,akkoma,3.10.4-0-g0af8e93,5,4,5,1976
snowdon.jp,mastodon,3.4.0,30,2,2,18287
unperson.us,mastodon,3.1.3,10,1,1,989
libera.tokyo,mastodon,4.3.0-alpha.0+glitch,47,18,34,32285
snowmans.land,mastodon,4.2.1,7,4,6,5094
ohjames.eu,mastodon,4.2.3,1,1,1,601
opensocial.media,mastodon,4.3.0-alpha.0+glitch,8,4,6,1179
pertsch.social,mastodon,4.2.3,1,1,1,935
meetiko.org,firefish,1.0.3,42,17,38,9243
mstdn.unasuke.com,mastodon,4.2.3,1,1,1,4784
fedi.xerz.one,akkoma,3.9.3-0-g9d7c877,1,1,1,40297
mastodon.samfira.com,mastodon,4.2.0,5,1,1,650
thunderstruck.fedicity.net,mastodon,4.2.1,1,1,1,226
mstdn.plus,mastodon,4.2.3,11428,1011,3351,102867
sup.lelehier.de,firefish,1.0.5-rc,19,8,16,1111
social.boiledscript.com,misskey,2023.11.1,20,null,null,2829
the9thcircle.club,misskey,2023.11.1,252,null,null,32523
nkantar.social,mastodon,4.2.3,1,1,1,525
sfba.social,mastodon,4.2.3,38557,4189,10473,1820414
side.misskey.productions,misskey,2023.11.1-sidemisskey,2684,null,null,2299406
misskey.pm,firefish,1.0.5-rc,184,24,116,26949
social.petertoushkov.eu,mastodon,4.2.3,1,1,2,1912
tube.grin.hu,peertube,5.2.1,48,7,9,2047
reptileskey.jp,misskey,13.13.2,25,null,null,163
masto.ai,mastodon,4.2.1,73594,4404,14281,1907799
leds.social,mastodon,4.2.3,41,25,31,3865
uuu.moe,mastodon,4.2.3,3,2,3,135
mastoot.fr,mastodon,4.2.0,920,159,564,15957
nicuverse.org,mastodon,4.2.3,177,42,94,2036
toot.houbahouba.de,mastodon,4.2.2,5,3,4,4179
mstdn.lalafell.org,mastodon,4.1.4,126,14,53,13217
social.linux.pizza,mastodon,4.2.3,11299,1649,2359,543110
misskey.numbertales-radiann.net,misskey,2023.11.1,8,null,null,8329
cal.vino.blue,firefish,1.0.5-dev19,12,1,10,42236
101010.pl,mastodon,4.3.0-alpha.0,8240,866,2358,425600
blog.kamens.us,wordpress,6.4.2,2,2,2,958
dizl.de,mastodon,4.2.3,2306,260,330,98492
smutlandia.com,mastodon,4.1.10,183,44,86,26575
feddit.de,lemmy,0.18.5,10902,1403,4210,33584
xarxa.cloud,mastodon,4.2.3,870,229,376,111047
alltomorrows.party,mastodon,4.2.1,11,8,14,3090
social.nil.nu,mastodon,4.2.1,1,1,1,2083
meemu.org,mastodon,4.1.4+glitch,430,80,126,147741
uddannelse.social,mastodon,4.2.3,119,23,36,6291
dogno.se,mastodon,4.3.0-alpha.0+glitch,21,11,14,952
gamepad.club,mastodon,4.2.3,183,108,175,71063
sunny.garden,mastodon,4.2.3,1673,487,1023,136111
theblower.au,mastodon,4.2.1,15277,641,2187,216807
lovers.1641project.jp,re:lovers,0.0.1_rc5,7,null,null,224
social.server17.net,mastodon,4.2.1,5,2,3,412
blobfox.coffee,mastodon,4.3.0-alpha.0+glitch,86,49,67,19080
mstdn.kgtkr.net,mastodon,4.1.9,6,5,5,684
