domain,aplication,version,accounts,MAU,HYAU,posts
mastodon.halibut.com,mastodon,4.2.10,22,7,12,11260
mastodon.chrisduffley.com,mastodon,4.2.11,22,10,15,138515
libera.tokyo,mastodon,4.3.0-beta.2+glitch,21,17,25,32066
3zi.ru,mastodon,4.2.12,21,15,19,229713
fedi.lynnesbian.space,mastodon,4.3.0-alpha.5+glitch,21,2,4,128100
v2.mstdn-dystopia.com,mastodon,4.2.7,21,7,9,2226
bluelupine.social,mastodon,4.2.12,21,5,8,7571
mstdn.plusminus.io,mastodon,4.2.12-plusminus.1,21,10,14,515994
lonestar.chat,mastodon,4.2.11,21,3,6,24486
firekitten.social,mastodon,4.2.10,21,2,6,790
utter.online,mastodon,4.2.12,21,7,15,1404
mastodon.k9max.de,mastodon,4.3.0-beta.2,21,8,10,795
inaccessible.ac,mastodon,4.2.12,21,3,4,643
grandma.space,mastodon,4.1.4+glitch,21,0,1,482
iys.io,mastodon,4.2.10,21,1,4,81
ischool.social,mastodon,4.2.12,21,1,1,1161
queernerds.social,mastodon,4.1.8,21,4,9,9469
harz.social,mastodon,4.2.10,21,4,7,214
fountainpen.social,mastodon,4.2.10,21,4,6,447
mastodon.1984.cz,mastodon,4.2.10,21,3,4,4223
mastodon.acerbo.me,mastodon,3.1.3,21,3,6,19139
fangl.in,mastodon,3.5.17,21,3,3,7059
social.sgf.dev,mastodon,4.2.10,21,1,7,54
space.ministryoftesting.com,mastodon,4.2.12,21,9,19,104
pho.social,mastodon,4.2.12,21,2,3,50
mastodon.indiegames.online,mastodon,4.2.12,21,7,10,355
mastodon.360.cymru,mastodon,4.1.0,21,16,16,12280
sidequest.social,mastodon,3.5.3+glitch,21,10,12,6683
maestas.us,mastodon,4.2.12,21,20,21,852
hae5dong.ttobot.site,mastodon,4.2.9,21,22,24,33456
publicsquare.global,mastodon,4.2.12,21,1,1,4865
mastodon.hyeoniuwu.lol,mastodon,4.2.10,21,19,20,2076
obapom.work,mastodon,4.2.12,20,16,17,122303
history.lol,mastodon,4.2.12,20,3,3,18422
social.illegalpornography.com,mastodon,4.3.0-beta.1+glitch,20,14,14,596078
mast.shitpostbot.com,mastodon,4.1.3,20,3,7,26191
afterspace.rocks,mastodon,4.2.12,20,11,17,35505
freie-re.de,mastodon,4.2.10,20,9,11,6320
v2.nyoki.club,mastodon,4.2.12,20,14,15,216423
burn.capital,mastodon,4.2.10,20,15,16,24686
inductive.space,mastodon,4.3.0-beta.1+glitch,20,10,14,3005
hacks.fi,mastodon,4.2.12,20,2,4,75
toot.gemeinschaffen.com,mastodon,4.2.9,20,1,7,208
univention.social,mastodon,4.2.12,20,10,12,584
kono.pub,mastodon,4.2.12,20,9,13,4263
social.kuester7.com,mastodon,4.2.12,20,16,16,5059
kommentakerfid.is,mastodon,4.2.12,20,4,6,855
social.masto.land,mastodon,4.3.0-beta.1+glitch,20,5,5,5407
redpawcollective.co,mastodon,4.2.12,20,8,14,4050
kei.fashion,mastodon,4.2.12,20,1,3,1253
masto.anarch.cc,mastodon,3.5.10,20,7,12,4687
contenttechtodon.org,mastodon,4.2.12,20,4,5,1541
vhspace.social,mastodon,4.2.10,20,1,4,241
mastodon.blaster.com.ar,mastodon,4.2.12,20,2,4,2850
underwear.social,mastodon,4.2.12,20,5,11,4008
d3f4ult.space,mastodon,4.2.12,20,6,10,364
straylight.expectnomore.net,mastodon,4.2.10,20,1,1,5300
longcovid.social,mastodon,4.2.12,20,2,6,454
tucows.social,mastodon,4.3.0-alpha.5+glitch,20,4,4,466
progressives.social,mastodon,4.2.12,20,9,12,22996
bunni.social,mastodon,4.1.19,20,6,11,4127
faculty.mastodon.stanford.edu,mastodon,4.2.10,20,2,3,11
loci.onl,mastodon,4.2.12,20,5,5,12149
spacelase.rs,mastodon,4.2.12,20,8,10,3206
mstdn.at,mastodon,4.2.12,20,2,10,95
mamutovo.cz,mastodon,4.2.12,20,12,22,5922
vhs.social,mastodon,4.2.10,20,10,13,3071
mstd.ircta.lk,mastodon,4.2.12,20,4,7,1622
ulmd.de,mastodon,4.2.12,20,4,6,278
nya.coffee,mastodon,3.4.1,20,15,15,76309
nicaloro.com,mastodon,4.2.8,20,2,6,516
mastodon.math.unipd.it,mastodon,4.2.10,20,2,6,108
fishsci.com,mastodon,4.2.12,20,7,20,245
social.exozy.me,mastodon,4.2.12,20,3,10,6421
mastodon.libretic.fr,mastodon,4.2.12,20,6,8,501
social.phoenixradio1208.com,mastodon,4.2.12,20,14,16,9060
celestialscribe.online,mastodon,4.2.12,20,7,9,12236
social.running.cafe,mastodon,4.3.0-nightly.2024-09-17+glitch,20,10,11,1091
idic.social,mastodon,4.2.12,19,3,7,7284
dogno.se,mastodon,4.3.0-alpha.3+glitch,19,5,11,952
maddie.rocks,mastodon,4.0.2,19,9,9,600
halo.nu,mastodon,4.2.12,19,15,16,23158
mastodon.crazynewworld.net,mastodon,4.3.0-beta.2,19,12,12,360230
hub.uckermark.social,mastodon,4.2.12,19,4,6,13241
h-i.social,mastodon,4.3.0-alpha.5+glitch,19,11,18,10275
nyanya.net,mastodon,4.3.0-beta.1+nnn,19,9,11,1158
sociabl.be,mastodon,4.2.12,19,4,4,5074
terra.incognita.net,mastodon,4.2.12,19,6,6,9258
newsbots.californialocal.com,mastodon,4.0.2,19,12,14,137976
poto.cafe,mastodon,4.2.8,19,10,14,3654
sakh.social,mastodon,4.1.5,19,1,6,3013
shakuhachi.social,mastodon,4.2.3,19,3,6,33
m.einverne.info,mastodon,4.2.12,19,3,5,34616
edi.social,mastodon,4.2.10,19,5,6,2544
securitycafe.ca,mastodon,4.2.12,19,5,5,2450
mastodon.totmin.ru,mastodon,4.2.10,19,8,11,1977
eddyssofa.com,mastodon,4.0.2,19,1,1,64
isocial.cloud,mastodon,4.2.12,19,2,6,1182
async.social,mastodon,4.2.12,19,2,4,477
theradio.au,mastodon,4.2.12,19,4,7,3920
cheekibreeki.express,mastodon,4.0.13,19,5,6,738
brainworms.io,mastodon,4.0.2,19,2,4,996
pnw-mastodon.com,mastodon,4.2.12,19,1,1,83
thevipvipers.space,mastodon,4.2.12,19,8,8,9199
risk.social,mastodon,4.1.15,19,4,5,282
nodutiesowed.com,mastodon,4.2.12,19,1,2,109
malu.today,mastodon,4.2.12,19,6,7,103851
besties.house,mastodon,4.3.0-alpha.5+besties,19,9,14,18491
solarsystem.social,mastodon,4.2.12,19,10,13,562
mastodon.douvk.co.uk,mastodon,4.2.12,19,13,13,101633
oldinternet.net,mastodon,4.2.10,19,3,7,23761
oursky.social,mastodon,4.2.12,19,1,3,148
r.town,mastodon,4.2.12,19,9,9,556
mastodon.spotek.io,mastodon,4.1.13,19,8,10,4509
mellified.men,mastodon,4.2.10,19,13,15,104236
forgi.social,mastodon,4.2.12,19,9,10,6649
interledger.social,mastodon,4.2.12,19,2,5,88
cosmos.social,mastodon,4.2.12,19,2,6,663
social.undrground.org,mastodon,4.3.0-beta.1+glitch.0828_d46bf54,19,2,4,3179
theha.us,mastodon,4.2.12,19,7,9,1410
stpauli.social,mastodon,4.2.12,19,7,8,2615
chat.wecops.uk,mastodon,4.3.0-beta.1,19,14,20,92
chalk.moe,mastodon,4.3.0-alpha.5+glitch,19,6,12,21088
erica.moe,mastodon,4.2.11,19,7,10,7535
social.soraharu.com,mastodon,4.2.12~sora,19,11,20,563
daydream.ink,mastodon,4.3.0-beta.1+qdon.glitch,19,11,16,9221
social.flipboard.com,mastodon,4.3.0-beta.2,19,4,11,424
corporatetravel.social,mastodon,4.2.10,19,2,2,294
hairbow.lol,mastodon,4.0.13,19,0,2,597
edge.allpeep.com,mastodon,4.2.7,19,1,6,58
newgrounds.club,mastodon,4.2.8,19,1,19,117
mastodon.llarian.net,mastodon,4.2.12,19,11,17,8236
social.v.st,mastodon,4.2.10,19,9,11,61354
mastodon.devua.club,mastodon,4.2.10,19,2,2,1203
mastodon.eternalaugust.com,mastodon,4.2.10,19,8,10,12271
social.besties.house,mastodon,4.3.0-alpha.5+besties,19,9,14,18543
social.soraharu.app,mastodon,4.2.12~sora,19,11,20,563
navisocial.club,mastodon,4.2.10,19,12,19,177
mastodon.cde.social,mastodon,4.2.12,19,9,12,542
mastodon.is-a.horse,mastodon,4.1.18,19,5,11,1268
mastodon.cmjoyce.com,mastodon,4.2.12,19,0,0,135
amberpapilio.masto.host,mastodon,4.2.12,19,0,1,388
mastodon.sandbox.skygrid-test.com,mastodon,4.2.1,19,16,20,1349
mastodon.kronk.info,mastodon,4.2.10,19,11,19,121
orfodon.org,mastodon,4.2.12,18,18,18,128300
raggedfeathers.com,mastodon,4.2.12,18,14,14,35756
mastodon.clinicians-exchange.org,mastodon,4.2.8,18,12,15,9602
pornanime.club,mastodon,3.5.18,18,11,11,141498
hax0rbana.social,mastodon,4.1.16,18,4,6,2608
mastodon.derg.nz,mastodon,4.2.12,18,10,14,19223
esper.lol,mastodon,4.2.12,18,4,11,1499
mastodon.melin.org,mastodon,4.2.11,18,11,14,23949
welldn.net,mastodon,4.2.12,18,8,8,77142
social.mootech.eu,mastodon,4.2.10,18,10,11,154902
mastodon.murkworks.net,mastodon,4.2.12,18,9,13,69021
benehomini.social,mastodon,4.3.0-nightly.2024-03-05+glitch,18,1,1,775
oberberg.nrw,mastodon,4.2.12,18,7,10,3477
any.dev,mastodon,4.2.12,18,1,2,535
moe.pastwind.top,mastodon,4.3.0-nightly.2024-09-18-security+glitch,18,4,5,9224
toot.earth,mastodon,4.2.12,18,5,11,3567
salieri.hostdon.ne.jp,mastodon,4.2.12,18,4,8,1110
mastodon.esmevane.com,mastodon,4.2.12,18,5,5,14634
masto.deoan.org,mastodon,4.2.10,18,7,9,16871
retrodon.jp,mastodon,3.5.2,18,1,4,696
brontosin.space,mastodon,4.2.10,18,8,14,9498
perfumefan.jp,mastodon,4.2.12,18,2,7,72041
ma.fono.jp,mastodon,4.2.10,18,6,10,49981
follow.proofgeist.com,mastodon,4.2.10,18,1,3,445
urgentcodex.com,mastodon,4.2.12,18,2,18,69
social.rootaccess.org,mastodon,4.2.12,18,5,8,868
goodass.dog,mastodon,4.1.3,18,3,3,579
safareig.calbasi.net,mastodon,4.0.0,18,4,11,2114
courage.quest,mastodon,4.2.12,18,11,18,1130
socialpa.ws,mastodon,4.2.10,18,3,3,652
social.daspr.io,mastodon,4.2.10,18,0,0,399
quarteredcircle.net,mastodon,4.2.10,18,7,12,17013
sachsen-medien.social,mastodon,4.2.12,18,6,8,1169
scalie.club,mastodon,4.2.12,18,9,9,39669
beta.tapbots.social,mastodon,4.3.0-beta.2,18,6,7,274
social.butnot.today,mastodon,4.2.10,18,8,13,4252
dasforum.org,mastodon,4.2.10,18,5,5,1932
bookish.community,mastodon,4.2.12,18,2,4,1016
tutut.delire.party,mastodon,4.2.12,18,11,15,13070
15-15-15.social,mastodon,4.2.10,18,7,7,550
hub.winslow.cloud,mastodon,4.3.0-alpha.5+glitch,18,3,10,596
pupy.cafe,mastodon,4.1.0,18,5,10,5388
social.khmelnytskyi.dcomm.net.ua,mastodon,4.2.12,18,1,6,109
fuckgov.org,mastodon,4.3.0-alpha.5+besties,18,5,12,7353
social.azuki.co,mastodon,4.2.7,18,3,12,181
games.ngo,mastodon,4.1.6,18,3,10,997
social.stracknet.com,mastodon,3.5.19,18,2,3,576
sarnia.lambton.social,mastodon,3.5.19,18,1,2,247
fruitade.xyz,mastodon,4.2.12,18,14,18,8113
beta.stacky.social,mastodon,4.3.0-alpha.3,18,6,17,282
ilinx.masto.host,mastodon,4.2.12,18,18,22,6118
republik.social,mastodon,4.2.12,18,2,2,718
mastodon.rozhlas.cz,mastodon,4.2.12,18,3,8,10538
QuarteredCircle.net,mastodon,4.2.10,18,7,12,17036
place-of-refuge.com,mastodon,4.2.10,18,7,9,26990
puls.social,mastodon,4.2.0,18,0,0,36
social.devopsdays.org,mastodon,4.2.12,18,9,13,621
mastodon.faithtree.social,mastodon,4.2.12,18,8,15,1751
family.foxworthy.name,mastodon,4.2.12,18,8,8,1649
travelling-lurtles.world,mastodon,4.2.12,18,7,11,1491
karmalife.io,mastodon,4.1.2,18,0,0,58
friend.baai.ac.cn,mastodon,4.2.0,18,4,9,1356
mamut.social,mastodon,4.1.1,18,3,5,2503
mastodon.buzhangjiuzhou.com,mastodon,4.2.12,17,5,8,3334
beamship.mpaq.org,mastodon,4.2.12,17,10,15,14792
fedi.computernewb.com,mastodon,4.2.10,17,10,15,12530
mastobotti.eu,mastodon,4.2.12,17,15,15,42042
tbs.social,mastodon,4.2.5,17,6,11,7041
ippandon.hopto.org,mastodon,4.2.12,17,4,8,66405
don.kenmo.fm,mastodon,4.2.12,17,9,9,6508
mstdn.delmulin.com,mastodon,4.2.12,17,10,12,32517
untrusted.website,mastodon,4.2.12,17,6,8,2447
social.ffmuc.net,mastodon,4.2.11,17,12,14,1038
butts.team,mastodon,4.2.12,17,2,4,34572
social.penguinability.net,mastodon,4.2.12,17,13,15,282682
mt.shc.kanagawa.jp,mastodon,3.4.10+glitch+atsu1125,17,2,3,135
youthweb.social,mastodon,4.2.10,17,7,9,2968
widerweb.org,mastodon,4.2.10,17,4,8,3435
arkm.social,mastodon,4.2.12,17,15,17,1402
magpie.masto.host,mastodon,4.2.12,17,0,2,298
1password.social,mastodon,4.2.12,17,5,7,1024
inosoft.social,mastodon,4.2.10,17,5,7,2235
toots.deds.nl,mastodon,4.2.10,17,5,6,311
chablis.social,mastodon,4.2.12,17,13,13,145
social.drastical.tech,mastodon,4.2.10,17,2,6,11738
weedyverse.de,mastodon,4.0.2,17,1,3,3385
spaceballs.masto.host,mastodon,4.2.12,17,3,6,9071
post.rodeo,mastodon,4.0.2,17,1,3,334
robot.rodeo,mastodon,4.2.12,17,3,5,2601
nexusofnerd.org,mastodon,4.2.12,17,3,7,330
unfug.social,mastodon,4.2.10,17,9,15,12084
lediva.masto.host,mastodon,4.2.12,17,2,3,2227
furality.social,mastodon,4.2.7,17,1,4,148
ucb.social,mastodon,4.2.7,17,2,2,449
academictalk.org,mastodon,4.1.9,17,3,7,180
toot.igniterealtime.org,mastodon,4.2.10,17,6,8,1710
hamont.social,mastodon,4.0.15,17,4,5,2284
social.jesuislibre.net,mastodon,4.2.10,17,3,4,61368
characters.cafe,mastodon,4.2.12,17,4,6,169
kjas.no,mastodon,4.2.12,17,4,8,37
fedibot.dev,mastodon,3.1.3,17,20,78,24849
zeal.center,mastodon,4.2.10,17,6,11,4415
museum.community,mastodon,4.2.10,17,5,6,504
odenwald.social,mastodon,4.2.10,17,3,7,1572
advent.social,mastodon,4.2.10,17,7,8,1020
social.eqver.se,mastodon,4.2.12,17,4,8,394
webworker.social,mastodon,4.2.10,17,7,7,282
muslimsorganize.masto.host,mastodon,4.2.12,17,0,2,252
amarinha.gal,mastodon,4.2.10,17,9,17,2347
melb.social,mastodon,4.2.12,17,4,5,2758
gesichtsbu.ch,mastodon,4.2.10,17,2,4,406
melon.blue,mastodon,4.2.10+yai,17,4,10,319
ostalb.social,mastodon,4.2.12,17,4,11,90
mastodon.positivenerd.duckdns.org,mastodon,4.2.7,17,0,7,172
estrogen.gg,mastodon,4.2.12,17,3,20,181
mast.fslurs.gay,mastodon,4.3.0-alpha.3+glitch,17,6,10,2315
m.abunchtell.com,mastodon,3.4.1,17,0,5,2170
mastodon-1p-u12491.vm.elestio.app,mastodon,4.2.12,17,5,7,1024
htownhandshakes.com,mastodon,4.2.12,17,3,18,108
mastodon.zeus.gent,mastodon,4.2.10,17,2,5,124
rcj1.mstdon.app,mastodon,4.2.12,17,4,9,12716
mastodon.urbancloud.cz,mastodon,4.2.12,17,11,14,1185
pqcdao.com,mastodon,4.1.2,17,1,2,7
vixen.zone,mastodon,4.2.10,16,7,11,3934
channels.im,mastodon,4.1.18,16,14,15,432132
fru.bar,mastodon,4.1.18,16,9,11,1843
stay.woke.institute,mastodon,4.0.2,16,2,4,451
me.memories.am,mastodon,4.2.10,16,2,6,2439
mastodon.joaoleitao.org,mastodon,4.2.12,16,2,7,222
glitterkitten.co.uk,mastodon,4.2.12,16,9,12,45952
hatchee.bz,mastodon,4.2.12,16,3,3,9407
gdev.fedibird.com,mastodon,3.1.4,16,1,2,6776
telegrafverket.cc,mastodon,4.2.12,16,6,11,1138
oliphant.social,mastodon,4.3.0-beta.2+glitch,16,7,7,16251
smolhaj.social,mastodon,4.2.12,16,12,14,919
tty.icu,mastodon,4.2.12,16,3,7,53
mstdn.rinsuki.net,mastodon,4.2.10,16,2,3,59975
is-a.cat,mastodon,4.3.0-beta.1+glitch,16,12,16,17237
osintua.eu,mastodon,4.2.12,16,4,7,863412
mastodon.transneptune.net,mastodon,4.2.12,16,4,5,9186
don.wsoft.ws,mastodon,4.2.12,16,2,6,1827
social.cezeri.tech,mastodon,4.2.12,16,5,7,298
felesitas.cloud,mastodon,4.1.5,16,9,11,478549
rfj.social,mastodon,4.2.12,16,4,14,302
fedi.omada.cafe,mastodon,4.3.0-beta.1+chuckya,16,8,16,3695
mastodon.theshowshow.tv,mastodon,4.2.10,16,3,5,479
dc801.space,mastodon,4.2.12,16,3,5,190
deppenkessel.de,mastodon,4.2.12,16,7,7,21119
sackheads.social,mastodon,4.2.12,16,3,6,1536
benzo.fans,mastodon,4.2.0+glitch,16,5,6,5582
social.fairphone.community,mastodon,4.2.12-stable+ff1,16,6,7,641
arrifana.org,mastodon,4.0.2,16,1,1,466
fedi.xamk.fi,mastodon,4.2.12,16,2,3,439
lasersare.fun,mastodon,4.2.12,16,7,7,5424
pfadi.social,mastodon,4.2.10,16,4,6,1500
social.netz.org,mastodon,4.2.12,16,4,10,1079
mastodon.hofud.com,mastodon,4.2.10,16,2,2,1836
mastodon.calacademy.org,mastodon,4.2.12,16,1,1,39
mastodon.dragoncave.dev,mastodon,4.3.0-beta.1+glitch,16,10,12,6804
social.ksite.de,mastodon,4.2.12,16,4,4,2028
ist-ur.org,mastodon,4.1.16,16,6,10,826
gyatt.cc,mastodon,4.3.0-beta.1+chuckya,16,5,11,3976
bnnuy.space,mastodon,4.2.12,16,8,12,4867
kitter.net,mastodon,4.2.12,16,2,15,262
bbiz.io,mastodon,4.2.12,16,2,4,1021
tails.ch,mastodon,4.2.10,16,4,8,2119
social.laaw.nrw,mastodon,4.2.12,16,2,6,328
troet.burg-halle.de,mastodon,4.2.12,16,6,6,844
social.mushroomfm.com,mastodon,4.2.12,16,10,12,32251
publicgoods.social,mastodon,4.2.12,16,0,0,834
maaw.social,mastodon,4.2.12,16,13,17,4412
mastodon.fkpk.org,mastodon,4.2.12,16,2,4,267
bibletalk.social,mastodon,4.2.12,16,2,3,1428
vorny-animals.online,mastodon,4.1.2,16,6,9,555
social.unturf.com,mastodon,4.2.12,16,1,1,426
social.aldiserver.de,mastodon,4.2.12,16,5,7,203
sensitive.hostdon.ne.jp,mastodon,4.2.12,16,0,0,772
rathe.social,mastodon,4.2.12,16,4,9,414
social.t03.io,mastodon,4.3.0-beta.1,16,16,16,26
social.perspective-daily.de,mastodon,4.2.12,16,6,9,1104
mastodon.cesko.digital,mastodon,4.2.12,16,4,6,930
mastodon.sc07.group,mastodon,4.3.0-nightly.2024-07-08,16,1,1,80
kwick.rip,mastodon,4.2.12,16,1,2,129
social.tripelix.com,mastodon,3.4.6,16,0,0,57
noveltyfactory.net,mastodon,4.0.6,16,0,1,27114
mastodon.tails.ch,mastodon,4.2.10,16,4,8,2119
mastodon.migennes.net,mastodon,4.2.7,16,0,1,2866
m.fru.bar,mastodon,4.1.18,16,9,11,1842
dm824.fedicity.net,mastodon,4.2.12,16,10,14,4642
norbertmarteau.fr,mastodon,4.2.12,16,7,8,1815
sofa.rosetree.de,mastodon,4.2.12,16,13,13,639
social.completext.com,mastodon,4.1.0+glitch,16,5,5,775
der.basisschwarm.de,mastodon,3.5.3,16,1,1,37
don.kuropon.dev,mastodon,4.0.2,16,10,13,3627
queereclaim.org,mastodon,4.2.12,16,2,8,2278
1foo.net,mastodon,4.1.6,16,8,12,6986
ard.social,mastodon,4.2.12,15,11,13,35879
an.errant.cloud,mastodon,4.2.12,15,6,6,2574
masts.lv,mastodon,4.2.12,15,6,7,1317
toot.beep.computer,mastodon,4.3.0-alpha.5+glitch.0705_05cfe04,15,11,13,3030
palewi.re,mastodon,4.2.12,15,8,9,32309
gamerstavern.online,mastodon,4.2.12,15,14,15,2847
whitesmokebbq.social,mastodon,4.2.12,15,3,5,2595
left-tusk.com,mastodon,4.2.12,15,4,5,27502
syzito.xyz,mastodon,4.2.11,15,8,13,46448
furdon.com,mastodon,4.2.10,15,2,2,142
ourislandgeorgia.net,mastodon,4.2.0-beta2+glitch,15,2,2,9169
social.pogo.community,mastodon,4.2.12,15,0,4,824
astronomy.city,mastodon,4.2.12,15,5,7,10974
theweird.space,mastodon,4.2.12,15,2,2,496
slayers.online,mastodon,4.2.12,15,12,12,9712
telefant.net,mastodon,4.2.10,15,8,10,1068
bots.fedi.cr,mastodon,4.2.10,15,12,13,58954
doujin.biz,mastodon,4.2.12,15,12,13,143766
social.groene.nl,mastodon,4.2.10,15,6,7,2861
moe.social,mastodon,4.2.10,15,3,10,4631
ballhaus.community,mastodon,4.0.2,15,4,5,460
social.randomserver.org,mastodon,4.2.10,15,2,9,518
scz.social,mastodon,4.2.12,15,1,2,7645
deepspace.social,mastodon,4.2.12,15,5,7,7106
hitchhiker.social,mastodon,4.2.12,15,2,2,18285
calamity.world,mastodon,4.2.12,15,8,9,2483
social.techliminal.com,mastodon,4.2.7,15,2,6,175
valenciapa.ws,mastodon,4.2.10,15,1,3,4981
social.doma.dev,mastodon,3.1.3,15,1,1,7080
social.hessen.de,mastodon,4.2.10,15,8,8,1579
corp.social,mastodon,4.2.12,15,3,4,112
labview.social,mastodon,4.1.4,15,0,2,115
fairpoints.social,mastodon,4.2.10,15,2,3,726
verbraucherzentrale.social,mastodon,4.2.12,15,8,10,922
rat.academy,mastodon,4.2.10,15,3,7,940
energydon.fi,mastodon,4.2.12,15,7,7,6124
greenfield.masto.host,mastodon,4.2.12,15,4,6,24506
d3stodon.com,mastodon,4.2.10,15,7,7,6441
birds.social,mastodon,4.1.4,15,1,1,224
toot.foundation,mastodon,4.2.12,15,4,7,1605
transden.lgbt,mastodon,4.2.12,15,0,0,936
abraum.social,mastodon,4.2.10,15,7,10,827
orz.uno,mastodon,4.3.0-beta.2,15,10,11,12644
goblin.masto.host,mastodon,4.2.12,15,9,15,387
xn--ratatskr-r4a.de,mastodon,4.2.10,15,6,8,1441
mastodon.catwuschel.com,mastodon,4.2.12,15,5,8,15940
gweep.cat,mastodon,4.2.10,15,4,5,2466
exploit.social,mastodon,4.2.12,15,5,5,1947
dragon-lair.social,mastodon,4.2.12,15,5,9,6705
transforthe.win,mastodon,4.1.4+glitch,15,0,0,11
usr.cloud,mastodon,4.2.12,15,6,6,544
pouet.space,mastodon,4.2.10,15,6,9,1247
vrparty.social,mastodon,4.2.12,15,7,10,874
pub.deferpanic.dev,mastodon,4.2.8,15,1,2,15
typo3.social,mastodon,4.2.12,15,7,13,518
seacow.social,mastodon,3.3.0,15,2,3,7238
keyboards.social,mastodon,4.2.12,15,8,10,2779
screaming.com,mastodon,4.2.12,15,3,4,289
equestrian.social,mastodon,4.2.12,15,7,7,3400
frogs.lgbt,mastodon,4.2.12,15,11,11,12834
m.socialyeti.club,mastodon,4.2.10,15,3,4,518
westvisions.social,mastodon,4.2.12,15,3,3,211
bumscode.com,mastodon,4.2.12,15,7,11,4359
social.schleswig-holstein.de,mastodon,4.2.10,15,14,14,646
toot.melonland.net,mastodon,4.2.10,15,3,4,2477
plumes.io,mastodon,4.2.10,15,3,6,1310
dhub.social,mastodon,4.2.12,15,2,3,2921
nsinteger.com,mastodon,4.2.12,15,9,10,400
res.social,mastodon,4.2.12,15,5,6,43
mastodon.noizycat.com,mastodon,3.0.1,15,0,2,4968
mstdn.wildtree.jp,mastodon,4.2.12,15,1,1,9982
mstdn.rkunkunr.com,mastodon,4.2.10,15,5,6,17327
psu.social,mastodon,4.2.12,15,8,10,20386
josa.social,mastodon,4.2.10,15,3,3,51
spatlo.com,mastodon,4.2.1,15,0,0,5
breeze.town,mastodon,3.5.3,15,1,1,34
solidcharity.net,mastodon,4.2.12,15,5,7,262
mastodon.seattlematrix.org,mastodon,4.2.10,15,6,7,11486
mastodon.aguiarvieira.pt,mastodon,4.2.12,15,13,14,156992
m.pandasemi.co,mastodon,4.2.5,15,3,5,506
social.liip.ch,mastodon,4.2.12,15,3,3,247
mastodon.palewi.re,mastodon,4.2.12,15,8,9,32390
social.pneumasolutions.com,mastodon,4.2.12,15,9,9,256
social.validpostage.com,mastodon,4.2.10,15,1,3,916
fujun-bungaku.com,mastodon,4.2.9,15,8,18,910
ludiflux.intern.at,mastodon,4.2.12,15,0,1,64
social.hamro.io,mastodon,4.2.12,15,0,3,23
fediverse.krohsnest.com,mastodon,4.2.7,15,5,6,8544
nap.social,mastodon,4.3.3-nap-ver,14,4,4,770
claristdon.link,mastodon,4.2.10,14,11,13,26904
bots.automatica.dev,mastodon,4.0.15,14,11,12,6072
t3n.social,mastodon,4.2.12,14,3,7,3646
lesbianschool.com,mastodon,4.2.10,14,6,7,137553
dsj-toot.com,mastodon,4.2.12,14,8,14,24911
umaikebab.xyz,mastodon,4.2.12,14,7,9,82522
social.brainsys.com,mastodon,4.2.12,14,8,8,7407
tmi.community,mastodon,4.2.7,14,2,8,3340
uldegrova.com,mastodon,4.3.0-beta.1+glitch,14,8,10,5676
mstdn.ch,mastodon,4.2.12,14,5,7,1128
colloquium.social,mastodon,4.2.12,14,4,7,800
flyovercountry.social,mastodon,4.3.0-alpha.5+glitch.0803_a31ab56,14,7,9,24115
mastodon.libreon.fr,mastodon,4.2.12,14,7,8,730
m.nintendojo.fr,mastodon,4.2.12,14,7,10,28479
fedi.lat,mastodon,4.2.12,14,11,14,10017
666.glitchwit.ch,mastodon,4.2.12,14,2,3,17713
wrestling.social,mastodon,4.2.12,14,4,5,42025
md.korako.me,mastodon,4.2.12,14,8,11,51666
pegelinux.top,mastodon,4.3.0-beta.1+glitch+pegelinux,14,5,5,3186
beep.town,mastodon,4.2.12,14,12,13,8721
trashbrain.org,mastodon,4.1.4,14,0,0,54
adtech.land,mastodon,4.2.10,14,1,1,53
cybersecurity.masto.host,mastodon,4.2.12,14,1,1,83
serverhosting.social,mastodon,4.1.4,14,0,1,7
proptech.news,mastodon,4.2.12,14,0,0,36
akuanduba.masto.host,mastodon,4.2.12,14,5,5,430
toot.ballioljcr.org,mastodon,4.1.0,14,0,2,52
mastodon.kleph.eu,mastodon,4.2.12,14,5,5,704
mastodon.pastleo.me,mastodon,4.2.10,14,2,5,115
nona.social,mastodon,4.2.12,14,7,9,2324
sddn.space,mastodon,4.2.10,14,3,7,637
noot.pingu4.me,mastodon,4.2.12,14,10,13,5660
cute.is,mastodon,4.2.12,14,4,5,2616
route66.social,mastodon,4.1.18,14,2,3,552
mastodon.satoshishop.de,mastodon,4.2.12,14,2,3,14154
geekstodon.com,mastodon,4.2.10,14,3,5,6961
shout.3xd.eu,mastodon,4.3.0-beta.2,14,1,1,253
wonderful.social,mastodon,4.1.4,14,4,4,709
toot.lugbz.social,mastodon,4.2.10,14,4,7,203
megatherium.org,mastodon,4.2.8,14,4,5,74
yip.gay,mastodon,4.3.0-nightly.2024-09-18-security+glitch,14,11,15,4930
linuxlab.sh,mastodon,4.2.12,14,9,11,6723
social.overlappingmagisteria.org,mastodon,4.2.12,14,4,4,1941
social.ipfire.org,mastodon,4.2.12,14,3,3,481
pxlmo.net,mastodon,4.2.10,14,1,3,657
dynlinux.io,mastodon,4.3.0-beta.1,14,2,3,1356
kde.social,mastodon,4.2.12,14,6,8,352
