domain,application,version,users,MAU,HYAU,posts
crossdon.com,mastodon,4.2.1,1,1,1,2212
genart.social,mastodon,4.1.9,490,133,225,51058
social.koti.site,mastodon,4.2.3,1,1,1,3
emacs.ch,mastodon,4.3.0-alpha.0+glitch,1073,449,666,75535
mast.lat,mastodon,4.2.0,34021,581,2283,57365
kohodon.com,mastodon,4.2.1,3,1,2,54
nyan.network,akkoma,3.10.3-202-g1b838627-1-CI-COMMIT-TAG---,11,5,8,4067
m.ai6yr.org,mastodon,4.2.1,545,219,329,612728
chillout.chat,mastodon,3.5.10+chillout.1,111,29,40,109081
pokemon.men,mastodon,4.1.3,78,3,9,109290
misskey.akyoz.net,misskey,2023.12.0,3,null,null,1342
key.hinasense.jp,firefish,1.0.4-beta31-hinasense.jp.0,12,5,8,656
det.social,mastodon,4.2.1,23936,5065,12278,683699
m.teela.jp,mastodon,4.2.3,6,3,4,107
radio.quaqoostore.net,mastodon,4.2.1,2,2,2,1102
mstdn.nekonote.cc,mastodon,4.2.3,1,1,1,5982
martianbase.net,mastodon,4.2.3,1,1,1,1722
smores.town,hometown,4.0.6+hometown-1.1.1,4,2,2,42373
the.asbestos.cafe,pleroma,2.5.53-314-g1062185b,45,13,25,30136
birdinter.net,mastodon,4.2.3,2,2,2,1387
blog.infosec.exchange,wordpress,6.4.2,1,1,1,5
social.lansky.name,mastodon,4.2.3,6,5,5,152864
social.smalldog.club,mastodon,4.2.3,1,1,1,2390
discuss.smash.today,mastodon,4.2.0,41,12,17,2243
mtgjudge.social,mastodon,4.2.3,23,9,18,472
misskey.soa3.net,misskey,2023.12.2,4,null,null,601
mystical.garden,mastodon,4.2.3,10,8,9,3984
social.unitoo.it,akkoma,3.10.4-1-gebfb617b,4,2,2,718
actuallyacat.com,mastodon,4.2.3,1,1,1,138
mstdn.mimikun.jp,mastodon,4.1.5,4,2,2,190232
misky.rikunagiweb.jp,misskey,2023.11.1-rk-build1,3,null,null,59245
room19.com,mastodon,4.1.2,23,6,9,8125
mastodon.radio,mastodon,4.2.2,3209,1259,1946,256460
birdbutt.com,mastodon,4.2.3,39,21,33,11392
social.jlinuxer.org,akkoma,3.10.4,1,1,1,811
cdrum.social,mastodon,4.2.3,1,1,1,630
ma.fono.jp,mastodon,4.2.1,16,9,13,44387
akko.spla.tech,akkoma,3.10.4,2,1,1,2
tux.social,mastodon,4.2.3,43,19,24,2776
nemtie.net,mastodon,4.2.1,2,1,2,195
ak.angelstrapped.com,akkoma,3.9.3-1-ge20de760-tokc-stats,0,1,1,0
eworld.social,mastodon,4.2.3,2,2,2,1715
code4lib.social,mastodon,4.2.3,171,46,60,34362
social.nancengka.com,pleroma,2.6.1,3,3,3,3014
m.fa.gl,mastodon,4.2.3,2,2,2,2165
myke.social,mastodon,4.2.3,1,1,1,1307
social.shadowfacts.net,akkoma,3.10.2,2,2,2,16504
flipboard.social,mastodon,4.2.3,2726,586,1535,102701
mstdn.bgmn.net,mastodon,4.2.3,1,1,1,99
social.taker.fr,mastodon,4.2.1,120,8,17,12261
nitiasa.com,mastodon,4.3.0-alpha.0,54,2,15,12685
mastodon.sethb.com,mastodon,4.2.3,1,1,1,296
mao.mastodonhub.com,mastodon,4.1.2,14678,259,554,1423223
easymode.im,firefish,1.0.3,581,111,355,17799
mstdn.mini4wd-engineer.com,mastodon,3.4.4,130,15,21,135325
achi.masto.host,mastodon,4.2.3,4,2,3,71918
kibitz.cloud,mastodon,4.3.0-alpha.0+glitch,30,5,8,10549
social.yoichihirai.com,pleroma,2.5.5,3,3,3,57
yodogawa.hostdon.ne.jp,mastodon,4.2.1,3,1,1,11
p.tty7.uk,pleroma,2.6.0,3,2,3,2793
missty.world,misskey,13.13.2,7,null,null,262
radio.gamethattune.com,owncast,0.1.1,1,1,1,330
mstdn2.ht164.jp,mastodon,4.1.4-ht,4,1,1,3399
asphodel.rip,akkoma,3.10.4,6,5,6,1119
reimalab.art,mastodon,4.2.1,1,1,1,72
telegrafverket.cc,mastodon,4.2.3,15,8,11,915
mxtthxw.art,mastodon,4.2.1,7,1,6,1538
montereybay.social,mastodon,4.2.3,45,14,22,14249
thefooty.club,mastodon,4.2.0,67,32,43,8695
moppels.bar,calckey,14.0.0-rc3,20,13,15,62647
thisis.mylegendary.quest,pleroma,2.5.5,2,2,3,5531
misskey.parpok.lomza.pl,misskey,2023.12.2,15,null,null,2378
feddit.it,lemmy,0.18.5,1770,147,381,7096
tuxz.one,akkoma,3.10.3,2,0,1,981
friends.cafe,mastodon,3.5.5,295,91,134,1472661
musicworld.social,mastodon,4.2.3,401,99,289,11473
aoir.social,mastodon,4.2.3,377,124,305,14342
maho.app,mastodon,4.1.3,83,45,46,1261839
some.evvk.fi,mastodon,4.2.3,3,1,2,4373
retrochat.online,mastodon,4.2.3,84,33,47,15924
goblin.band,goblin,1.0.3,175,19,23,8614
assemblag.es,hometown,4.0.6+hometown-1.1.1,574,176,272,47190
mastodon.brk.io,mastodon,4.2.3,10,4,7,949
hemokey.hemomo.com,misskey,2023.12.2,7,null,null,1649
novoa.nagoya,misskey,13.11.3,225,null,null,43440
misskey.dobu.page,misskey,2023.10.2,4,null,null,600
maly.io,mastodon,4.1.4,943,86,136,173275
mastodon.tojo.tokyo,mastodon,4.2.3,4,1,3,15671
mastodonbooks.net,mastodon,4.1.11,3991,327,857,89741
boles.xyz,mastodon,4.2.3,3,2,2,11980
ffxiv-mastodon.com,mastodon,4.3.0-alpha.0,3191,622,1029,632063
alecmuffett.com,wordpress,6.4.2,2,1,1,6476
lgbtcz.social,mastodon,4.2.1,43,7,21,1631
masto.98degrees.co.uk,mastodon,4.2.3,1,1,1,1008
social.gabekangas.com,pleroma,2.5.1,1,1,1,2028
social.cu2d.com,mastodon,4.1.1,15,8,14,45642
msky.7shiro.com,misskey,2023.12.2,3,null,null,1382
mastodon.pl,mastodon,4.2.3,505,72,183,33401
kopimi.space,mastodon,4.2.3,20,7,22,3140
social.coyote.name,mastodon,4.2.3,1,1,1,73
m.chomechome.jp,misskey,2023.11.1,9,null,null,480
scottodon.com,mastodon,4.2.3,2,1,2,511
nap.social,mastodon,4.3.3-nap-ver,12,7,14,580
wstrsd.masto.host,mastodon,4.2.3,2,1,2,10701
lemmy.sdf.org,lemmy,0.19.2,3978,604,1592,6045
blanketfort.blog,writefreely,0.14.0,3264,1087,2590,3581
live.hatnix.net,owncast,0.1.2,1,1,1,548
social.project-insanity.org,mastodon,4.2.3,1,1,1,112
pinnipedia.fedicity.net,mastodon,4.2.1,1,1,2,1581
thx.gg,mastodon,4.2.0,4,3,5,3045
radicalsocial.work,mastodon,4.2.3,54,7,14,1378
lemmy.kde.social,lemmy,0.18.4,246,16,43,170
rva.fyi,mastodon,4.2.3,134,31,59,3682
sh.itjust.works,lemmy,0.18.5,25222,1600,4027,34593
troetmund.de,mastodon,4.2.3,6,4,6,851
grammar.jp,mastodon,4.2.1,1,1,1,14
ihatebeinga.live,akkoma,3.10.3-224-g14ff522b-backoff-http,69,17,23,289873
mymastadon.link,mastodon,4.2.3,1,1,1,789
childcare.hostdon.ne.jp,mastodon,4.2.1,61,24,32,10279
milk.choco.ink,firefish,1.0.5-rc-choco,5,2,4,15875
szklankaolowiu.pl,mastodon,4.2.0,1,1,1,986
nozzi.social,mastodon,4.2.3,1,1,1,1524
queer.garden,mastodon,4.2.3,63,23,30,64718
pounced-on.me,mastodon,4.2.0+glitch,275,95,150,136996
cozymech.com,akkoma,3.9.3-28-g9d7c877d,1,1,1,411
iwatedon.net,mastodon,4.2.3,273,19,32,284559
energiewende.social,mastodon,4.2.2,106,43,76,5233
lighttheunicorn.horse,mastodon,4.1.11,9,6,9,1581
mastodon.melin.org,mastodon,4.2.3,15,10,12,13930
fedi.tax,gotosocial,0.13.1 git-ccecf5a,1,null,null,5373
cld2a.ains-no-misskey.com,misskey,2023.12.2,4,null,null,2633
p-dev.net,mastodon,4.2.3,2,0,2,109
magical-ribbon.net,mastodon,4.2.1,2,0,2,27
fairmove.net,mastodon,4.2.3,153,28,80,9750
p1.a9z.dev,misskey,2023.12.2-p1.11,419,null,null,150193
tyrol.social,mastodon,4.2.3-stable+ts1,1256,180,424,48799
social.prodottoinrete.com,akkoma,3.9.3,1,0,1,0
hub.mtf.party,mastodon,4.2.3,644,45,138,4158
deargod.no,firefish,1.0.5-rc,10,5,6,5843
mastodon.jacen.moe,mastodon,4.2.3,3,3,3,5786
lonestar.chat,mastodon,4.2.3,19,4,12,1246
mastodon.com.br,mastodon,4.2.3,2036,124,193,197318
snowmans.land,mastodon,4.2.1,7,3,6,5565
greenpeace.social,mastodon,4.1.7,8,1,4,57
l.sw0.com,lemmy,0.19.1,4,2,2,1
miss.mouse.services,misskey,2023.11.0,20,null,null,20496
pertsch.social,mastodon,4.2.3,1,1,1,444
social.xcetera.biz,mastodon,4.2.3,4,4,4,3873
misskey.eolh.jp,misskey,13.13.2,20,null,null,348
puddle.town,mastodon,4.2.3,4,1,2,346
transmom.love,mastodon,4.3.0-alpha.0+glitch,9,3,5,32508
wayne.social,mastodon,4.1.7,41,20,52,81
thunderstruck.fedicity.net,mastodon,4.2.1,1,1,1,345
sup.lelehier.de,firefish,1.0.5-rc,19,6,16,1129
oliphant.social,mastodon,4.3.0-alpha.0+glitch,16,7,25,9001
kaoism.xyz,misskey,2023.12.2,3,null,null,2508
borderland.tokyo,mastodon,4.2.0,2,1,2,111
social.retroedge.tech,pleroma,2.5.5,4,2,2,721
labyrinth.zone,akkoma,3.10.4-1-gebfb617b,13,11,12,3266
magiasskey.magialabs.blog,misskey,2023.12.2,15,null,null,2018
tube.grin.hu,peertube,5.2.1,48,5,10,2050
cyberfurz.social,mastodon,4.3.0-alpha.0+glitch,380,120,258,43304
catodon.social,catodon,23.12-alpha.3,236,234,234,13720
mastodon.white-void.net,fedibird,0.1,2,2,2,684
masto.globaleas.org,mastodon,4.2.1,269,199,255,780552
nicuverse.org,mastodon,4.2.3,178,28,89,2120
barca.dix.asia,mastodon,4.2.3,35,22,33,101594
programming.dev,lemmy,0.19.1,7469,1213,2820,8610
misskey.numbertales-radiann.net,misskey,2023.12.2,8,null,null,9197
cal.vino.blue,firefish,1.0.5-dev19,12,1,10,48129
cosocial.ca,mastodon,4.2.3,142,103,131,53264
fe.ecarlate.app,misskey,2023.12.2,4,null,null,363
futen.work,mastodon,4.2.3,75,32,50,138252
macrofurs.social,mastodon,4.2.0+glitch,891,342,700,90499
feddit.dk,lemmy,0.18.4,524,67,154,1160
social.rust-lang.org,mastodon,4.2.3,2,1,2,5
mstdn.rosaceae.net,mastodon,4.2.0,1,1,1,279
sopuli.xyz,lemmy,0.19.2,4505,571,1353,15608
social.nil.nu,mastodon,4.2.3,1,1,1,2129
follow.ethanmarcotte.com,mastodon,4.2.3,2,1,1,5479
biologists.social,mastodon,4.2.3,255,102,203,40337
dogno.se,mastodon,4.3.0-alpha.0+glitch,20,8,14,833
toot.kra.hn,mastodon,4.2.3,2,2,2,92
yiff.life,mastodon,4.3.0-alpha.0+glitch,3690,700,1090,1039025
mrnet.pt,mastodon,4.2.3,27,6,11,2712
blobfox.coffee,mastodon,4.3.0-alpha.0+glitch,86,48,65,17753
fedi.kugetsu.blog,catodon,23.12-alpha.3,4,2,2,469
