domain,application,version,users,MAU,HYAC,posts
shota.house,akkoma,3.10.3,52,20,34,"115,412"
0w0.is,akkoma,3.10.4-1-gebfb617b,50,47,60,"167,281"
awoo.fai.st,akkoma,3.10.4-0-gebfb617,47,18,25,"14,764"
kowelenz.social,akkoma,3.9.3-0-g9d7c877,46,10,285,"8,267"
social.translunar.academy,akkoma,3.9.3-0-g9d7c877,44,43,47,"64,076"
akko.unix.dog,akkoma,3.10.4,42,17,33,"10,622"
foxy.social,akkoma,3.9.3-0-g30b9e626f-main,41,14,41,182
gosuslugi.social,akkoma,3.8.0,36,6,19,195
ak.kawen.space,akkoma,3.10.3-0-g98f0820-develop,36,22,30,"50,329"
brain.worm.pink,akkoma,3.10.4-3-g8660dcae,36,15,25,"9,352"
suya.place,akkoma,3.10.4-4-g74f94627-suyaplace,35,25,34,"22,934"
pl.m0e.space,akkoma,3.10.4-1-gebfb617b,32,8,18,"3,633"
nya.house,akkoma,3.9.3-29-gc1306989-nya,31,3,6,842
iscute.moe,akkoma,3.9.3,30,7,10,"140,824"
woem.space,akkoma,3.10.4-0-gebfb617,28,21,27,"54,614"
breastmilk.club,akkoma,3.7.1-202-g3cc88b37-akroma,28,14,27,"69,018"
otp.akkoma.dev,akkoma,3.10.4-0-g0af8e93,28,1,3,72
aa.nikola.love,akkoma,3.10.4-1-gebfb617b,26,14,28,"2,267"
pinksheep.org,akkoma,3.10.4-0-gebfb617,26,5,6,479
pr.shc.kanagawa.jp,akkoma,3.10.4-6-g534841dd-heads-v3-10-4,25,3,12,"2,430"
uchu-teien.com,akkoma,3.10.4,24,15,24,"6,162"
pleroma.chillout.chat,akkoma,3.7.1,23,null,null,381
tailswish.industries,akkoma,3.10.4-2-gde9afa1f-tailswish,23,11,13,"14,451"
pl.hyperboreal.zone,akkoma,3.9.3-0-g9d7c877,22,1,12,"5,158"
ng.cathoderay.tube,akkoma,3.10.4-0-gebfb617,22,10,16,"3,582"
blobfox.es,akkoma,3.9.3-1489-g44514535-fox,21,6,11,"1,172"
sweet.succubi.services,akkoma,3.5.0-12-g63f2d1cb,21,null,null,970
pleroma.viridianpatriots.com,akkoma,3.10.3-0-g98f0820-develop,21,4,10,"12,740"
social.milhousfamily.com,akkoma,3.8.0,21,10,15,87
myfriendsare.gay,akkoma,3.9.3,20,4,9,"7,100"
neo.seafoam.space,akkoma,3.10.4-0-gebfb617,20,17,17,"1,378"
is.badat.dev,akkoma,3.10.3-212-g6cc523bd-develop,19,6,9,"38,330"
netzsphaere.xyz,akkoma,3.10.3-0-gc887dd4,19,3,3,"103,879"
neet.social,akkoma,3.10.4,18,7,23,666
xyzzy.link,akkoma,3.10.3-201-gc8e08e9c-develop,18,10,11,"26,618"
haxe.social,akkoma,3.8.0,18,3,5,27
chai.kibbutz.gay,akkoma,3.10.4-0-gebfb617,17,21,23,"4,029"
fedi.skladka.net,akkoma,3.5.0-0-gd9508474b,17,null,null,"1,640"
fedi.friendzone.lol,akkoma,3.10.4-1-gebfb617b,17,13,21,"3,433"
midnight.delivery,akkoma,3.7.1-0-gfef4bae,16,null,null,713
cofe.rocks,akkoma,3.10.3-197-g98f0820c-sn0w+PE,16,3,3,"4,135"
larkspur.one,akkoma,3.10.3-212-g6cc523bd-develop,16,7,10,"2,512"
toot.hackrc.dev,akkoma,3.10.3-203-gd1af78ab-develop,16,2,3,892
fedi.lecturify.net,akkoma,3.10.3-201-gc8e08e9c-develop,15,4,9,"3,194"
planet.chrisbeckstrom.com,akkoma,3.4.0-169-g4e4bd248-develop,15,null,null,"57,588"
magic.win,akkoma,3.7.1-0-gfef4bae,15,null,null,80
shrine.moe,akkoma,3.10.4,14,10,15,"8,036"
ilja.space,akkoma,3.10.4,14,4,8,"10,756"
cockandballtortu.re,akkoma,3.9.3+dev,13,4,7,280
fedi.seriousbusiness.international,akkoma,3.9.3-0-g9d7c877,13,6,10,"4,068"
social.drgnz.club,akkoma,3.9.3,13,9,12,705
social.owotel.com,akkoma,3.9.3,13,3,8,146
strelizia.net,akkoma,3.10.3-1545-g75e901f3-akkoma,12,8,9,"109,330"
norwoodzero.net,akkoma,3.10.2-0-gba1ed37,12,8,12,"7,052"
bv.umbrellix.org,akkoma,3.4.0-117-gde1bbc02,12,null,null,"7,683"
fedi.astrid.tech,akkoma,3.8.0,12,8,12,"37,860"
fedi.getimiskon.xyz,akkoma,3.10.4,12,7,12,"12,839"
novo-atlantis.null.media,akkoma,3.9.3,12,7,11,"2,155"
s.awoo.dev,akkoma,3.10.3-0-g368b22f-develop,12,6,7,955
social.platypus-sandbox.com,akkoma,3.10.4,11,8,15,"8,654"
nyan.network,akkoma,3.10.3-202-g1b838627-1-CI-COMMIT-TAG---,11,7,10,"3,743"
pl.comofas.org,akkoma,3.9.3-2-gfb8081e1-develop,11,2,7,67
mastodon.tardis.pw,akkoma,3.10.3-1-g43c5fd5d,11,3,6,"3,911"
akko.chir.rs,akkoma,3.10.3,11,7,7,"10,000"
buff.tomboyfan.club,akkoma,3.10.4-1-gebfb617b,11,6,11,"3,742"
fedi.reimu.info,akkoma,3.10.3-201-gc8e08e9c-develop,11,7,9,"6,160"
mar.archipielago.uno,akkoma,3.10.4,11,7,10,"1,088"
a.jerl.zone,akkoma,3.7.1-0-gfef4bae,11,null,null,129
breakdown.moe,akkoma,3.9.3-0-g9d7c877,11,3,10,50
comms.thedigitallancabin.net,akkoma,3.10.4-1-gebfb617b,11,14,14,350
fedi.criminallycute.fi,akkoma,3.10.3-203-gd1af78ab-develop,10,7,11,"5,992"
social.naln1.ca,akkoma,3.10.4-1-gebfb617b,10,4,9,"15,394"
pl.catboyindustries.co,akkoma,3.10.3-212-g6cc523bd-develop,10,3,4,398
fediverse.date,akkoma,3.9.3-28-g9d7c877d,10,1,8,241
social.rjp.is,akkoma,3.9.3-95-g801fe9fe-develop,9,6,7,"30,529"
fedi.kemonomimi.gay,akkoma,3.10.4,9,8,11,"1,785"
fedi.akselmo.dev,akkoma,3.10.2,9,8,10,"2,667"
brotka.st,akkoma,3.10.3-0-g43c5fd5,9,6,8,"39,343"
blimey.social,akkoma,3.10.4-0-gebfb617,9,3,8,"2,803"
antani.pm,akkoma,3.10.3-212-g6cc523bd-develop,9,5,7,"3,040"
social.qunn.eu,akkoma,3.10.4-0-gebfb617,9,4,5,"1,747"
um.lugarzinho.top,akkoma,3.9.2,9,2,4,781
snack.social,akkoma,3.3.1,9,null,null,"12,433"
blahaj.ovh,akkoma,3.9.3-28-g9d7c877d,9,3,10,134
quite.lewd.today,akkoma,3.9.3-28-g9d7c877d,9,4,9,14
relay.blimey.social,akkoma,3.10.4-0-gebfb617,9,3,8,"2,666"
spinny.city,akkoma,3.10.4-1-gebfb617b,8,7,8,948
void.lgbt,akkoma,3.10.3-0-g43c5fd5,8,7,7,"5,566"
fedi.worf.win,akkoma,3.9.3-28-g9d7c877d,8,3,8,255
free.gaycatgirl.sex,akkoma,3.9.3-28-g9d7c877d,8,7,7,"3,971"
social.nauk.io,akkoma,3.10.4-0-g0af8e93,8,3,4,"1,125"
fyrfli.social,akkoma,3.10.3-1-g43c5fd5d,8,5,8,"1,129"
dartboard.social,akkoma,3.9.3-0-g9d7c877,8,2,2,110
trans.enby.town,akkoma,3.10.2-158-g59af68c6-develop,8,5,8,"32,905"
oopsall.gay,akkoma,3.10.4,8,4,6,"1,033"
critica.li,akkoma,3.10.4-0-gebfb617,8,2,5,82
pleroma.les-requin.net,akkoma,3.10.4,8,1,3,486
ak.zweitekassabitte.jetzt,akkoma,3.9.3,8,6,8,"4,195"
telex.disinfo.zone,akkoma,3.8.0,8,4,4,391
3v.is,akkoma,3.10.2,8,4,7,339
hasthebig.gay,akkoma,3.10.3-212-g6cc523bd-develop,8,5,6,81
amble.quest,akkoma,3.10.4,8,4,6,"1,292"
mastodon.nove.team,akkoma,3.10.4-1-gebfb617b,8,7,11,606
p.girlc.at,akkoma,3.10.4-1-gebfb617b,8,6,8,"3,975"
zy.gy,akkoma,3.7.1-yf,7,null,null,"3,848"
introvert.social,akkoma,3.10.2-0-gba1ed37,7,1,2,789
wiir.libtar.de,akkoma,3.10.4,7,3,4,"3,227"
gamerfort.social,akkoma,3.9.3-0-g9d7c877,7,2,4,298
satania.social,akkoma,3.10.4,7,5,9,323
wired.icu,akkoma,3.10.4-0-gebfb617,7,9,9,15
rail.siberia.work,akkoma,3.5.0-0-g20a652841-hostdon-akkoma-latest,7,null,null,"2,971"
meow.church,akkoma,3.10.3-0-g43c5fd5,7,6,8,93
social.isopod.cool,akkoma,3.9.3-0-g9d7c877,7,1,2,"1,252"
neuro.cooking,akkoma,3.5.0-0-g63f2d1cbe,7,null,null,393
raccoon.cafe,akkoma,3.10.4-0-gebfb617,7,3,6,920
otlab.dev,akkoma,3.9.3,7,5,7,381
ack.nerdfight.online,akkoma,3.9.3-0-g9d7c877,7,5,5,"4,818"
fedi.tilde.green,akkoma,3.10.3,7,3,3,75
people.unfoo.net,akkoma,3.10.4,6,1,3,53
akkoma.nl,akkoma,3.10.4-0-gebfb617,6,3,5,69
asphodel.rip,akkoma,3.10.4,6,6,6,"1,080"
computering.pro,akkoma,3.10.4-0-gebfb617,6,3,4,164
life.starly.blue,akkoma,3.10.3-0-g43c5fd5,6,3,6,600
ak.kyaruc.moe,akkoma,3.4.0-0-gf91b89673,6,null,null,"54,703"
snake.cool,akkoma,3.9.3-28-g9d7c877d,6,3,6,42
fedi.bapril.pl,akkoma,3.10.4,6,5,6,560
idiomdrottning.org,akkoma,3.10.4-1-gebfb617b,6,3,3,"14,426"
kayii.goe.land,akkoma,3.10.3,6,1,1,"1,385"
akkoma.net,akkoma,3.5.0-develop,6,null,null,7
snipetteville.in,akkoma,3.7.1-0-gfef4bae,6,null,null,272
teabag.ninja,akkoma,3.10.3-0-gc887dd4,6,1,3,820
akkoremaji.club,akkoma,3.10.4-0-gebfb617,6,5,6,"2,066"
raki.club,akkoma,3.10.4-0-gebfb617,6,1,3,415
akk2.eniehack.net,akkoma,3.10.4-0-gebfb617,6,3,6,405
a.lufimianet.jp,akkoma,3.5.0-0-g20a652841-hostdon-akkoma-latest,6,null,null,"1,559"
pl.salushnes.solutions,akkoma,3.9.3,6,8,8,"2,793"
fedi.cpluspatch.com,akkoma,3.10.4-0-gebfb617,6,2,3,"20,166"
curiouscabbit.social,akkoma,3.10.4,6,3,7,72
a.awootism.club,akkoma,3.10.4,6,3,6,209
bcn.fedi.cat,akkoma,3.10.4-0-gebfb617,6,5,6,"1,519"
a.tela.moe,akkoma,3.9.3-28-g9d7c877d,6,4,5,"8,579"
brettvormkopf.de,akkoma,3.10.4,6,2,3,212
kawaii.kitsune.cafe,akkoma,3.3.1-45-g16a31872-develop,6,null,null,"7,878"
social.raccoon.college,akkoma,3.9.3-0-g9d7c877,6,2,5,133
santadog.social,akkoma,3.9.3-0-g9d7c877,6,3,6,131
akko.lea.moe,akkoma,3.10.4,6,1,3,9
fedi.midnight.miami,akkoma,3.9.3-28-g9d7c877d,6,2,6,"1,262"
social.busterboys.net,akkoma,3.10.2,6,3,5,25
social.goatzone.net,akkoma,3.10.2,6,2,6,130
nerdcore.social,akkoma,3.10.3,5,1,1,9
pleroma.neuromante.net,akkoma,3.10.4-1-gebfb617b,5,2,2,"6,660"
akkoma.ascyltos.social,akkoma,3.10.4,5,4,7,51
social.techn1k.de,akkoma,3.10.4-0-gebfb617,5,5,5,126
tirnanog.space,akkoma,3.10.4,5,5,6,"3,104"
p.umbriel.fr,akkoma,3.10.2,5,1,1,"69,847"
pythonplayer123.xyz,akkoma,3.9.3-28-g9d7c877d,5,2,6,43
final.town,akkoma,3.10.4-0-g0af8e93,5,5,5,"1,663"
sns.minovsky.space,akkoma,3.10.2-158-g59af68c6-develop,5,4,5,"8,133"
vyos.social,akkoma,3.10.4,5,2,6,"1,175"
social.jaderune.net,akkoma,3.10.2,5,0,3,17
ikbenpiraat.nl,akkoma,3.10.4-0-gebfb617,5,4,5,73
gentoo.live,akkoma,3.10.4-1-gebfb617b,5,5,5,29
letsrulethe.world,akkoma,3.10.4-0-gebfb617,5,3,4,"1,124"
pleroma.otter.sh,akkoma,3.5.0-12-g63f2d1cb,5,null,null,"57,092"
fedi.fourhappylions.com,akkoma,3.10.4,5,3,3,441
miku.place,akkoma,3.10.4-0-gebfb617,5,4,5,402
beep.flawbee.net,akkoma,3.10.3-197-g98f0820c-develop,5,4,5,447
our-town.social,akkoma,3.10.4,5,1,2,304
meowing.online,akkoma,3.3.1-0-gc6043c9ee-main,5,null,null,430
akkoma-test.hiwaga.tech,akkoma,3.5.0-0-gd9508474b,5,null,null,50
akkoma.flyerdonut.net,akkoma,3.10.4-1-gebfb617b,5,5,6,"4,962"
fedi.joeydrew.studio,akkoma,3.10.4-0-gebfb617,5,2,4,174
social.unitoo.it,akkoma,3.10.4-1-gebfb617b,4,1,2,709
ostfrie.se,akkoma,3.10.2-0-gba1ed37,4,4,4,605
muuzikku.produkti.se,akkoma,3.10.3,4,2,4,702
kneel.before.dog,akkoma,3.10.4,4,2,3,846
akkoma.0x68756773.moe,akkoma,3.10.4,4,6,10,297
akkoma.sandhill.social,akkoma,3.7.1-0-gfef4bae,4,null,null,576
pl.inu.is,akkoma,3.9.3-28-g9d7c877d,4,2,4,76
akko.hollow.capital,akkoma,3.10.4-0-g299da5a13-hollow-capital,4,7,8,"3,865"
spooky.social,akkoma,3.5.0-14-gd9508474,4,null,null,123
social.rhumbs.fr,akkoma,3.8.0,4,4,4,587
aposimz.net,akkoma,3.10.4-0-gebfb617,4,0,3,0
phantomthieves.net,akkoma,3.9.3-28-g9d7c877d,4,1,5,562
galaxians.garden,akkoma,3.10.4-1-gebfb617b,4,3,4,691
ak.lightnovel-dungeon.de,akkoma,3.10.4,4,1,4,"2,916"
universe.feliver.se,akkoma,3.10.2,4,3,3,"4,472"
va-11-hall-a.cafe,akkoma,3.10.3-221-gfeed0aae-va-11-hall-a,4,3,3,"15,286"
akko.cuddlegirls.cafe,akkoma,3.9.3-29-ge8c43b99,4,3,3,"7,359"
social.vlhl.dev,akkoma,3.9.3-0-g9d7c877,4,4,4,"4,639"
feline.rodeo,akkoma,3.10.4,4,2,2,608
gay.lesaoras.xyz,akkoma,3.10.4,4,3,3,"3,100"
akkoma.flitpix.net,akkoma,3.10.4-1-gebfb617b,4,4,4,100
pleroma.chaoswit.ch,akkoma,3.10.3,4,4,4,"2,829"
social.chaos.koeln,akkoma,3.9.2-431-g1f8a8c72-develop,4,1,1,111
turbotime.turboteam.xyz,akkoma,3.10.3,4,1,2,333
deepspace.cafe,akkoma,3.10.4-0-gebfb617,4,3,4,56
fedi.cassilda.house,akkoma,3.10.4-0-gebfb617,4,4,6,"2,652"
zamb.la,akkoma,3.10.3-0-g43c5fd5,4,3,4,4
akkoma.social.raku.party,akkoma,3.9.3-0-g9d7c877,4,2,6,20
bots.ferals-on.top,akkoma,3.10.4-1-gebfb617b,4,4,4,87
social.bakdos.de,akkoma,3.9.3,4,3,4,37
divergence.pp.ua,akkoma,3.9.3,4,1,4,34
labyrinth.zone,akkoma,3.10.4-1-gebfb617b,4,4,4,200
chimera.earth,akkoma,3.10.4-0-g0af8e93,4,4,4,81
ak.cute.rest,akkoma,3.10.4-1-gebfb617b,4,3,4,110
a.blahaj.world,akkoma,3.10.4-1-gebfb617b,4,3,4,748
social.alemi.dev,akkoma,3.10.4,4,3,3,287
am.bal.ovh,akkoma,3.10.4-0-gebfb617,4,4,4,22
idealists.su,akkoma,3.10.4-1-gebfb617b,4,3,3,27
social.nihil.gay,akkoma,3.10.4-1-gebfb617b,4,4,4,171
fops.cloud,akkoma,3.10.4-0-gebfb617,3,3,3,"3,410"
akkoma.thesandbox.net,akkoma,3.9.3,3,2,2,974
couch.beerriot.com,akkoma,3.10.4-1-ga4c15863-no-fetch-with-local-limit-3-10-4,3,2,3,288
akkos.fritu.re,akkoma,3.10.2,3,1,3,"1,952"
social.jihad.icu,akkoma,3.10.4-0-g0af8e93,3,2,2,561
fuzzyroots.net,akkoma,3.9.3-0-g9d7c877,3,2,3,582
tene.re,akkoma,3.9.3-28-g9d7c877d,3,2,2,0
t.joeldebruijn.nl,akkoma,3.10.3-0-g43c5fd5,3,2,3,685
castoranxieux.ca,akkoma,3.10.3,3,1,1,128
remolino.town,akkoma,3.10.4-0-gebfb617,3,3,3,170
fedi.u2p.net,akkoma,3.9.3-28-g9d7c877d,3,2,3,1
portend.place,akkoma,3.9.3-139-g93b92041-web-protocol-handler,3,3,3,"6,278"
akkoma.xn--pikabl-0xa.se,akkoma,3.10.4,3,2,3,169
social.imastags.com,akkoma,3.10.4,3,3,3,"2,685"
notes.whatthefuck.computer,akkoma,3.8.0,3,3,3,"2,557"
a.farook.org,akkoma,3.9.3-0-g9d7c877,3,2,3,"1,541"
akm.longyap.name.my,akkoma,3.6.0,3,null,null,"4,793"
fedi.nano.lgbt,akkoma,3.10.4-1-gebfb617b,3,3,3,"2,465"
social.wuatek.is,akkoma,3.10.2,3,2,3,750
pyrox.dev,akkoma,3.10.4,3,1,1,"1,522"
ple.rorea.moe,akkoma,3.3.1,3,null,null,0
akkoma.miaowi.ng,akkoma,3.10.2-0-gba1ed37,3,3,3,512
fedi.splatoon3.ink,akkoma,3.7.1,3,null,null,"6,857"
fedi.aria.dog,akkoma,3.10.3-0-g43c5fd5,3,2,3,"4,090"
t.hermine.in,akkoma,3.10.4-0-gebfb617,3,2,3,462
distraction.party,akkoma,3.9.3,3,1,1,"1,801"
nolineage.com,akkoma,3.9.3-0-g9d7c877,3,1,1,"3,111"
soc.kouett.net.eu.org,akkoma,3.9.3-0-g9d7c877,3,3,3,"13,675"
social.metakaos.space,akkoma,3.3.1-0-gaf90a4e51,3,null,null,323
silvernight.social,akkoma,3.10.4-1-gebfb617b,3,1,1,"5,982"
social.zell-mbc.com,akkoma,3.10.4,3,1,2,143
social.ventora.net,akkoma,3.10.4-0-gebfb617,3,3,3,75
fedi.interestingzinc.xyz,akkoma,3.8.0,3,2,3,"3,500"
transient.garden,akkoma,3.3.1-0-gc0eecb55b-develop,3,null,null,3
social.minbash.de,akkoma,3.10.4,3,2,2,26
a.soopy.moe,akkoma,3.10.4,3,1,2,54
lausitz.social,akkoma,3.8.0-0-gccae7ef,3,1,2,0
tinylad.social,akkoma,3.9.3-0-g9d7c877,3,1,1,216
fedi.timstrutzi.at,akkoma,3.9.3-28-g9d7c877d,3,3,3,0
social.brokaw.org,akkoma,3.9.3-0-g9d7c877,3,0,2,9
pouet.quebec,akkoma,3.8.0,3,1,1,6
akko.lightnovel-dungeon.de,akkoma,3.10.4-1-gebfb617b,3,2,5,562
akkoma.chez.chat,akkoma,3.5.0-26-g54fdf3a5,3,null,null,366
ak.gensokyo.shop,akkoma,3.10.4-1-gebfb617b,3,3,4,804
social.pyrox.dev,akkoma,3.10.4,3,1,1,"1,522"
social.blipdrifter.com,akkoma,3.9.3-28-g9d7c877d,3,1,2,309
fedi.aap.my.id,akkoma,3.10.5+spirit,3,2,3,43
outmo.de,akkoma,3.10.4,3,2,3,265
ambrosia.cafe,akkoma,3.9.3-0-g9d7c877,3,2,2,709
typhy.club,akkoma,3.10.2-0-gba1ed37,3,3,3,150
stoner.cafe,akkoma,3.10.4-0-g0af8e93,3,2,4,2
akkoma.tbqdrn.de,akkoma,3.10.3,3,3,4,158
soc.haj.gay,akkoma,3.9.2-0-g39a878f,3,3,3,247
agda.club,akkoma,3.10.4-0-gebfb617,3,3,3,30
social.syndicalism.org,akkoma,3.9.3-28-g9d7c877d,3,2,4,65
fedi.vorboyvo.space,akkoma,3.9.3-28-g9d7c877d,3,2,3,4
social.notandy.de,akkoma,3.10.4-0-gebfb617,3,2,2,0
yap.nishy.fr,akkoma,3.10.4-1-gebfb617b,3,2,2,2
stroud.social,akkoma,3.10.4,2,2,2,"2,192"
akko.spla.tech,akkoma,3.10.4,2,1,1,2
tuxz.one,akkoma,3.10.3,2,0,1,981
dlx.pink,akkoma,3.10.4-1-gebfb617b,2,2,2,51
agora.echelon.pl,akkoma,3.10.3-200-g5c164028-develop,2,1,1,"8,804"
avery.garden,akkoma,3.8.0,2,2,2,"2,443"
isnot.online,akkoma,3.9.2,2,1,1,124
microbe.vital.org.nz,akkoma,3.10.3-0-gc887dd4,2,1,1,"2,166"
bunnyanarchy.org,akkoma,3.9.3-28-g9d7c877d,2,2,5,"1,433"
pleroma.frickalou.com,akkoma,3.10.4-1-gebfb617b,2,1,2,17
tyt.maanebedotten.no,akkoma,3.9.3-0-g9d7c877,2,1,2,474
elezen.club,akkoma,3.9.3-0-g9d7c877,2,1,2,51
rapidsloth.xyz,akkoma,3.10.3-162-ge7788f3c-develop,2,1,2,1
akm.hora.win,akkoma,3.10.4-1-gebfb617b,2,2,2,797
toepi.moe,akkoma,3.10.2,2,1,1,"1,351"
ak.kabukimono.top,akkoma,3.10.4-1-gebfb617b,2,2,2,126
poly.cybre.city,akkoma,3.9.3-2-gfb8081e1-develop,2,1,1,"7,504"
ak.suzu-ya.info,akkoma,3.10.2-0-gba1ed37,2,1,2,"6,625"
masktodon.social,akkoma,3.10.3-0-g43c5fd5,2,1,1,5
sapphic.engineer,akkoma,3.10.4,2,2,2,566
fedi.itepechi.me,akkoma,3.10.3+bnakkoma,2,2,3,50
fedi.askiiart.net,akkoma,3.10.4-0-gebfb617,2,2,2,746
hollypop.xyz,akkoma,3.10.4-1-gebfb617b,2,1,4,446
a.sinigr.space,akkoma,3.9.3-0-g9d7c877,2,2,2,"1,041"
toot.j3b.in,akkoma,3.9.3-0-g9d7c877,2,0,3,72
fedi.nlpagan.net,akkoma,3.10.4-1-gebfb617b,2,1,2,"3,957"
soc.7thmagic.net,akkoma,3.10.3-204-g033b7b04-develop,2,2,2,"1,997"
social.kejadlen.dev,akkoma,3.10.3-0-gc887dd4,2,2,2,"1,264"
enby.army,akkoma,3.10.4-1-gebfb617b,2,2,3,7
micro.shitpost.blog,akkoma,3.4.0-0-gf91b89673,2,null,null,296
bi.cbult.space,akkoma,3.7.1-0-gfef4bae,2,null,null,94
fedi.lamer-ethos.site,akkoma,3.9.3-0-g9d7c877,2,2,2,"1,138"
thepage.house,akkoma,3.10.4-0-gebfb617,2,2,2,885
powerg.love,akkoma,3.10.4-1-gebfb617b,2,2,2,129
meta.jorun.dev,akkoma,3.10.4-1-gebfb617b,2,2,2,649
fedi.triodug.com,akkoma,3.9.3-0-g9d7c877,2,1,1,"1,981"
social.tnhh.org,akkoma,3.10.4,2,2,2,860
pars.ee,akkoma,3.10.3-212-g6cc523bd-develop,2,2,2,"5,106"
headpat.exchange,akkoma,3.10.4,2,2,2,301
pleroma.stuebinm.eu,akkoma,3.8.0,2,2,2,"1,484"
pl.fanyx.xyz,akkoma,3.9.3-heads-v3-9-3,2,1,1,472
social.shadowfacts.net,akkoma,3.10.2,2,2,2,"16,276"
cb.janusworx.com,akkoma,3.10.4-0-g0af8e93,2,0,1,400
pleroma.oook.fr,akkoma,3.10.4-1-gebfb617b,2,1,2,"1,287"
plack.app,akkoma,3.10.4-7-g10f1690b-jadiunr-main,2,1,2,1
fediverse.omaramin.me,akkoma,3.10.4,2,1,1,757
fedi.owo.justdied.com,akkoma,3.10.3-0-g6cc523b,2,1,2,"4,745"
social.alster.space,akkoma,3.10.3-0-g43c5fd5,2,2,2,"4,170"
kyou.social,akkoma,3.5.0-0-gd9508474b,2,null,null,"9,328"
void.0x0a.de,akkoma,3.9.3-28-g9d7c877d,2,1,2,216
nerd.town,akkoma,3.8.0,2,1,1,24
loves.reisen,akkoma,3.10.3-212-g6cc523bd-develop,2,1,1,109
rebel.iero.org,akkoma,3.10.4-0-gebfb617,2,1,2,4
madr.it,akkoma,3.8.0,2,1,2,34
pavlik.top,akkoma,3.10.4,2,1,2,516
fedi.circuitlocution.com,akkoma,3.10.4,2,1,1,662
social.ratliff.space,akkoma,3.9.3-0-g9d7c877,2,1,2,1
cerulean.ink,akkoma,3.10.4-1-gebfb617b,2,2,2,585
buni.ee,akkoma,3.10.4-0-gebfb617,2,2,2,29
x.isalman.dev,akkoma,3.10.4-1-gebfb617b,2,1,2,25
solitary.social,akkoma,3.10.4,2,2,2,493
birdsite.space,akkoma,3.10.4,2,2,2,56
p.h.etbus.ch,akkoma,3.10.4-0-gebfb617,2,1,2,30
fennec.town,akkoma,3.10.4-0-gebfb617,2,1,2,207
social.khromatic-myst.com,akkoma,3.9.3-28-g9d7c877d,2,1,3,387
akkoma.becutewith.me,akkoma,3.10.4-1-gebfb617b,2,2,2,34
ruud.social,akkoma,3.10.4-0-gebfb617,2,2,2,249
bunny.family,akkoma,3.5.0-0-gd9508474b,2,null,null,67
social.polynom.me,akkoma,3.9.3,2,1,1,42
social.violetmillie.me,akkoma,3.10.3,2,2,2,217
akkoma.dogphilosophy.net,akkoma,3.9.3-0-g9d7c877,2,2,2,210
teslam.in,akkoma,3.10.4-1-gebfb617b,2,1,2,"1,847"
nrg2.net,akkoma,3.5.0-0-gd9508474b,2,null,null,4
social.ashwalker.net,akkoma,3.10.4,2,1,1,184
akkoma.riley-tech.net,akkoma,3.9.3-0-g9d7c877,2,1,2,102
naked.dequbed.space,akkoma,3.10.4-1-gebfb617b,2,2,2,60
