domain,apli,version,users,am,ahy,posts ,
squid.cafe,mastodon,4.2.0,9 ,2 ,3 ,4753 ,
seyfro.social,mastodon,4.1.9,3 ,1 ,1 ,162 ,
mb.jenot.info,pleroma,2.4.55-921-g20790c1d-develop,2 ,1 ,1 ,1 ,
mastodon.cryobyte.net,mastodon,4.1.9,3 ,2 ,2 ,362 ,
notpickard.com,mastodon,4.2.0,1 ,1 ,1 ,1083 ,
s.voxint.net,mastodon,4.2.0-rc2+glitch,2 ,2 ,2 ,55 ,
md.echoplex.info,mastodon,4.1.7,2 ,1 ,1 ,2 ,
jamesgallagher.social,mastodon,4.2.0,1 ,1 ,1 ,703 ,
walkah.social,akkoma,3.10.4,1 ,1 ,1 ,48 ,
soapbox.network,mastodon,4.2.0,3 ,1 ,2 ,304 ,
ourempty.pub,mastodon,4.2.0,1 ,1 ,1 ,4491 ,
mastodon.micha.priv.at,mastodon,4.2.0,3 ,1 ,2 ,59 ,
thinkydoers.social,mastodon,4.2.0,10 ,1 ,1 ,759 ,
mastodon.kryptykphysh.xyz,mastodon,4.2.0,2 ,1 ,1 ,567 ,
hippyjim.uk,mastodon,4.2.0,1 ,1 ,1 ,55 ,
social.driftless.dev,mastodon,4.2.0,1 ,1 ,1 ,14 ,
mastodon.parastor.net,mastodon,4.2.0,3 ,3 ,3 ,662 ,
cb.janusworx.com,akkoma,3.10.4-0-g0af8e93,2 ,0 ,1 ,400 ,
folksocial.org,mastodon,4.1.4,126 ,43 ,71 ,5733 ,
mastodon.asty.org,mastodon,4.1.3,5 ,4 ,5 ,27137 ,
academic.social,mastodon,4.2.0,3 ,1 ,1 ,63 ,
blog.oliinyk.com,mastodon,4.1.2,1 ,1 ,1 ,24 ,
m.wedgi.us,mastodon,4.1.5,1 ,1 ,1 ,51 ,
fixate.social,firefish,1.0.3,4 ,2 ,2 ,37 ,
mastodon.cooleysekula.net,mastodon,4.2.0,5 ,4 ,4 ,1075 ,
lgtm.systems,mastodon,4.2.0,5 ,3 ,4 ,419 ,
patavium.social,mastodon,4.1.4,35 ,8 ,20 ,919 ,
mastodon.underworld.fr,mastodon,4.2.0,108 ,21 ,37 ,6999 ,
social.goodanser.com,mastodon,4.1.4+glitch,4 ,3 ,4 ,321 ,
epsilon-ix.masto.host,mastodon,4.2.0,9 ,6 ,7 ,6011 ,
linux.social,mastodon,4.2.0,328 ,105 ,304 ,933 ,
social.diskseven.com,mastodon,4.1.6,1 ,1 ,1 ,85871 ,
mainframe.club,mastodon,4.2.0,3 ,1 ,2 ,450 ,
complacent.io,mastodon,4.0.2,2 ,1 ,1 ,12 ,
stellar.build,mastodon,4.0.2,4 ,0 ,2 ,7 ,
museum.community,mastodon,4.1.4,16 ,5 ,5 ,258 ,
vran.as,mastodon,3.4.7,1 ,1 ,1 ,861 ,
social.obrowne.eu,mastodon,4.1.7,1 ,1 ,1 ,98 ,
akkoma.marud.fr,akkoma,3.9.3-0-g9d7c877,1 ,1 ,1 ,11 ,
atergens.com,mastodon,4.2.0,1 ,1 ,1 ,514 ,
pleroma.lokean.org,pleroma,2.4.2,5 ,null,null,223 ,
mastodon.z3r01.io,mastodon,4.0.2,5 ,0 ,0 ,39 ,
jhr.social,mastodon,4.1.9,2 ,1 ,2 ,46 ,
m.rakyll.org,mastodon,4.2.0,1 ,0 ,1 ,231 ,
thechairman.info,mastodon,4.2.0,1 ,1 ,1 ,1261 ,
consudon.club,hometown,4.0.10+hometown-1.1.1,30 ,1 ,8 ,1019 ,
social.qunn.eu,akkoma,3.10.4-0-gebfb617,9 ,4 ,5 ,1597 ,
soziale.verwirrung.institute,pleroma,2.5.5,3 ,2 ,2 ,889 ,
lsngl.us,mastodon,4.2.0,24 ,4 ,5 ,3753 ,
muslimsorganize.masto.host,mastodon,4.2.0,16 ,1 ,6 ,158 ,
hameln.social,mastodon,4.2.0,50 ,26 ,33 ,4104 ,
mastodon.caille.fr,mastodon,4.1.8,2 ,1 ,1 ,7 ,
nerdtreff.it,mastodon,4.2.0,2 ,2 ,2 ,164 ,
skepteis.social,mastodon,4.1.2,1 ,1 ,1 ,907 ,
softwaremill.social,mastodon,4.1.8,26 ,9 ,11 ,461 ,
mastodon.foxhillyer.org,mastodon,4.0.6,2 ,2 ,2 ,80 ,
mastodon.hevertonfreitas.com.br,mastodon,4.0.2,1 ,1 ,1 ,1 ,
adhdthings.social,mastodon,4.0.2,3 ,1 ,2 ,47 ,
ditchthebird.eu,mastodon,4.1.4,6 ,2 ,3 ,69 ,
toot.pyxel.cloud,mastodon,4.1.7,1 ,0 ,1 ,4 ,
masto.ashfurrow.com,mastodon,4.2.0,1 ,1 ,1 ,946 ,
wife.town,mastodon,4.2.0,1 ,1 ,1 ,888 ,
mstdn.jmiguel.eu,mastodon,4.1.9,1 ,1 ,1 ,34 ,
mastodon.nyoxfox.com,mastodon,4.2.0,1 ,1 ,1 ,1 ,
social.labmonkeys.space,pleroma,2.5.5,1 ,1 ,1 ,214 ,
moytura.org,mastodon,4.2.0,1 ,1 ,1 ,882 ,
social.snowcat.link,mastodon,4.1.5,2 ,1 ,1 ,81 ,
cybr.es,mastodon,4.2.0,4 ,0 ,1 ,1506 ,
don.nekocross.xyz,mastodon,3.5.0~hello,1 ,1 ,1 ,146 ,
lazyatom.social,mastodon,4.1.4,1 ,1 ,1 ,290 ,
th-pape.de,mastodon,4.2.0,1 ,1 ,1 ,96 ,
social.mecanis.me,mastodon,4.1.4,4 ,1 ,1 ,100628 ,
whitespashe.uk,mastodon,4.2.0+glitch,4 ,2 ,3 ,4204 ,
crowsnest.social,mastodon,4.2.0,8 ,5 ,6 ,2555 ,
qlink.social,mastodon,4.2.0,1 ,1 ,1 ,6 ,
privex.social,mastodon,4.2.0,52 ,11 ,18 ,540 ,
alittle.social,mastodon,4.2.0,1 ,1 ,1 ,84 ,
tiphon.nerv-project.eu,mastodon,4.1.8,7 ,5 ,6 ,668 ,
nya.social,misskey,2023.9.0,58 ,null,null,159352 ,
cmdr.social,mastodon,4.2.0,149 ,37 ,61 ,5326 ,
vonsee.de,mastodon,4.1.2,2 ,1 ,1 ,53 ,
crypt.lol,pleroma,2.2.50-438-g5a5ff508-develop,697 ,null,null,1566 ,
williamsonday.buzz,mastodon,4.1.4,2 ,1 ,1 ,781 ,
scintilla.social,mastodon,4.2.0+glitch,1 ,1 ,1 ,7296 ,
mast.ttk.is,mastodon,4.1.3,3 ,1 ,1 ,585 ,
adtech.land,mastodon,4.0.2,14 ,1 ,2 ,52 ,
mstdn.esp.nl,mastodon,4.1.4,3 ,2 ,2 ,941 ,
irrsinn.life,mastodon,4.2.0,1 ,1 ,1 ,1173 ,
mastodon-nieuwspaal.nl,mastodon,4.2.0,1 ,1 ,1 ,1821 ,
welcometo.squelfland.com,mastodon,4.2.0,1 ,5 ,7 ,141 ,
bean.place,mastodon,4.1.5,3 ,2 ,3 ,9 ,
m.djw.li,mastodon,4.2.0,2 ,1 ,1 ,527 ,
library.love,mastodon,4.1.4,245 ,78 ,264 ,1416 ,
alentours.cc,mastodon,4.2.0,4 ,3 ,4 ,939 ,
xno.social,mastodon,4.1.4,94 ,21 ,99 ,635 ,
nanitebased.club,mastodon,4.2.0,3 ,3 ,3 ,184 ,
mastodon.party.at,mastodon,3.5.3,31 ,6 ,8 ,20 ,
nonsequiturs.social,mastodon,4.2.0,2 ,2 ,2 ,147 ,
blob.coffee,mastodon,4.2.0,2 ,1 ,2 ,2 ,
guglhupf.social,mastodon,4.1.6,6 ,5 ,5 ,578 ,
oour.org,mastodon,4.2.0,7 ,1 ,3 ,556 ,
glitch.taks.garden,mastodon,4.2.0+glitch,9 ,2 ,3 ,9619 ,
simpson.id,mastodon,4.1.6,1 ,1 ,1 ,0 ,
social.minecodes.de,firefish,1.0.3,4 ,1 ,2 ,8 ,
toot-lab.reclaim.technology,mastodon,4.1.4+glitch,3 ,1 ,1 ,304693 ,
koto.moe,akkoma,3.10.4-1-gebfb617b,1 ,1 ,1 ,188 ,
information.garden,mastodon,4.2.0,3 ,2 ,2 ,96 ,
chat.vr3d.social,mastodon,4.2.0,15 ,2 ,6 ,87 ,
social.evl.im,mastodon,4.1.1,5 ,2 ,3 ,842 ,
beo.social,mastodon,4.2.0,4 ,4 ,4 ,387 ,
publicidentity.net,mastodon,4.2.0,2 ,2 ,2 ,209 ,
wiki.style,mastodon,4.2.0,6 ,1 ,5 ,515 ,
masto.evelynyap.com,mastodon,4.2.0,2 ,2 ,2 ,3951 ,
taciturn.social,mastodon,4.1.4,2 ,1 ,1 ,6 ,
fedi.neuwirth.priv.at,mastodon,4.2.0,3 ,1 ,1 ,575 ,
blurts.net,akkoma,2.5.4,16 ,6 ,17 ,129 ,
allison.social,mastodon,4.2.0,2 ,1 ,2 ,296 ,
mastadon.tech-bloc-sea.dev,mastodon,4.2.0,5 ,2 ,2 ,578 ,
noisy-lab.com,mastodon,4.1.8,3 ,2 ,2 ,73 ,
avatastic.uk,mastodon,4.2.0+glitch,1 ,1 ,1 ,2288 ,
abolish.social,mastodon,4.2.0,1 ,1 ,1 ,20779 ,
gosocial.au,mastodon,4.2.0-nightly.2023-09-22+glitch,6 ,2 ,4 ,264 ,
elephant.crime.group,mastodon,4.2.0,4 ,2 ,2 ,1836 ,
mstdn.funil.de,mastodon,4.2.0,2 ,2 ,2 ,424 ,
mstdn.vientos.live,mastodon,4.1.9,3 ,1 ,2 ,66 ,
mastodon.hofud.com,mastodon,4.0.6,17 ,3 ,5 ,1777 ,
mastodon.excbadacc.es,mastodon,4.0.0,1 ,1 ,1 ,68 ,
masto.cyanbane.com,mastodon,4.2.0,2 ,2 ,2 ,86 ,
social.producer-network.de,mastodon,4.2.0,2 ,0 ,2 ,91 ,
gorgon.city,mastodon,4.2.0,1 ,1 ,1 ,11435 ,
naturar.social,mastodon,4.1.9,16 ,8 ,15 ,1324 ,
sporadically.social,mastodon,4.0.2,2 ,1 ,1 ,220 ,
pl.catboyindustries.co,akkoma,3.10.3-201-gc8e08e9c-develop,10 ,2 ,5 ,364 ,
uwyn.net,mastodon,4.2.0,44 ,14 ,24 ,2472 ,
kavlak.uk,mastodon,4.1.4,5 ,2 ,2 ,3020 ,
drk.network,mastodon,4.2.0,48 ,15 ,26 ,2128 ,
lastminute.one,mastodon,3.5.1,24 ,1 ,5 ,17 ,
social.owlcode.tech,mastodon,4.2.0,2 ,1 ,2 ,37 ,
postingbrain.com,mastodon,4.2.0,1 ,0 ,0 ,113 ,
social.hernandezhouse.com,mastodon,4.2.0,1 ,1 ,1 ,1 ,
netmonkey.xyz,mastodon,4.2.0,3 ,1 ,2 ,3085 ,
instanzfreun.de,mastodon,4.1.5,6 ,3 ,5 ,1476 ,
harbour.cafe,mastodon,4.0.6,2 ,1 ,2 ,464 ,
fed.hvn.network,pleroma,2.5.4,1 ,1 ,1 ,176 ,
newmusic.social,mastodon,4.0.6,12 ,3 ,4 ,866 ,
ng.cathoderay.tube,akkoma,3.10.4-0-gebfb617,22 ,10 ,17 ,3380 ,
greenplenty.social,mastodon,3.5.9,4 ,1 ,1 ,3873 ,
social.walterebert.com,mastodon,4.2.0,1 ,1 ,1 ,648 ,
social.dropbear.xyz,mastodon,4.2.0,4 ,1 ,1 ,2108 ,
bfs.llc,mastodon,3.5.10,2 ,0 ,1 ,36 ,
myna.social,mastodon,3.5.3,9 ,3 ,5 ,1248 ,
scalies.cc,akkoma,3.9.3-0-g9d7c877,1 ,0 ,1 ,8 ,
masto.geoffdunham.photo,mastodon,4.1.4,2 ,1 ,2 ,1 ,
khajiit.tech,pleroma,2.5.54-636-g6ceceef8.develop+soapbox,4 ,1 ,2 ,523 ,
hactivedirectory.com,firefish,1.0.3,3 ,1 ,1 ,632 ,
remerge.net,pleroma,2.4.1-11-g4327f0d0-v2-4-1-webfinger-fetch-initial,9 ,null,null,67 ,
mastodon.dragoncave.dev,mastodon,4.2.0,13 ,8 ,12 ,2309 ,
mastodon.aargaunet.ch,mastodon,4.2.0,1 ,1 ,1 ,0 ,
gts.ferreo.dev,mastodon,4.1.4,3 ,3 ,3 ,718 ,
a.xerimorph.net,mastodon,4.2.0,1 ,1 ,1 ,31 ,
social.sveken.au,mastodon,4.2.0,3 ,2 ,3 ,220 ,
social.chicano.cloud,pleroma,2.5.2-13-g2d193861,3 ,0 ,1 ,3 ,
mastodon.rosseaux.com,mastodon,4.2.0,1 ,1 ,1 ,83 ,
mk.cybre.ninja,misskey,2023.9.3,2 ,null,null,296 ,
m.falk.us,mastodon,4.1.7,5 ,1 ,1 ,137 ,
mastodon.saarland,mastodon,4.1.6,28 ,6 ,12 ,59 ,
masto.ezhevita.dev,mastodon,4.2.0-nightly.2023-09-27+glitch,2 ,2 ,2 ,843 ,
livers.jp,mastodon,4.2.0,114 ,1 ,4 ,2881 ,
m.askesis.pl,mastodon,4.2.0,1 ,0 ,1 ,64 ,
mastodon.samfira.com,mastodon,4.2.0,5 ,1 ,1 ,523 ,
mstdn.swiso.org,mastodon,4.2.0,2 ,1 ,1 ,286 ,
toon.social,mastodon,4.2.0,5 ,1 ,3 ,790 ,
jenkins.cc,mastodon,4.1.9,2 ,1 ,1 ,309 ,
social.tsun.co,mastodon,4.2.0,1 ,1 ,1 ,1221 ,
fashionsocial.host,mastodon,4.2.0,103 ,17 ,36 ,14759 ,
wildwood.town,mastodon,4.2.0,4 ,1 ,2 ,191 ,
toet.dnzm.nl,gotosocial,0.11.1-SNAPSHOT git-0cce2c0,1 ,null,null,1499 ,
mtd.bashell.com,mastodon,4.1.9,1 ,1 ,1 ,1283 ,
betterodds.social,mastodon,4.2.0,1 ,0 ,1 ,2 ,
social.fouquet.me,mastodon,4.2.0,1 ,1 ,1 ,1782 ,
mastodon.robmccoll.com,mastodon,4.1.2,1 ,1 ,1 ,52 ,
mastodon.andreasvongunten.com,mastodon,4.2.0,1 ,0 ,1 ,100 ,
masto.ukrainedao.love,mastodon,4.2.0,40 ,2 ,14 ,9981 ,
bearologics.social,mastodon,4.2.0,7 ,3 ,3 ,1237 ,
social.helpmedog.com,mastodon,3.5.3,11 ,2 ,4 ,347 ,
mastodon.rydlabs.com,mastodon,4.2.0,2 ,1 ,1 ,155 ,
notbird.app,mastodon,4.1.4+glitch,6 ,2 ,3 ,123 ,
myopic.one,mastodon,4.2.0,1 ,1 ,1 ,450 ,
cas.social,mastodon,4.1.4,15 ,1 ,4 ,359 ,
distraction.party,akkoma,3.9.3,3 ,1 ,1 ,1477 ,
earfolds.com,gotosocial,0.11.1 git-c7a46e0,1 ,null,null,14 ,
zone.liolok.com,mastodon,4.1.4,59 ,13 ,28 ,2699 ,
oldpeople.cafe,mastodon,4.2.0,5 ,2 ,3 ,66 ,
pl.fanyx.xyz,akkoma,3.9.3-heads-v3-9-3,2 ,1 ,1 ,466 ,
toot.rxn.be,mastodon,4.1.9,1 ,1 ,1 ,57 ,
baudigital.social,mastodon,4.1.4,21 ,12 ,25 ,499 ,
fedi.underscore.world,akkoma,3.10.2-uw1,1 ,1 ,1 ,71602 ,
mouse.photos,mastodon,4.2.0,1 ,1 ,1 ,30128 ,
mastodon.bluecatnet.work,mastodon,4.1.9,3 ,2 ,3 ,336 ,
social.eiden.ch,mastodon,4.2.0,2 ,2 ,2 ,152 ,
social.jellyosaurus.com,firefish,1.0.3,12 ,3 ,9 ,540 ,
pleroma.gidikroon.eu,pleroma,2.5.5,4 ,3 ,3 ,1842 ,
mastodon.aventer.biz,mastodon,3.5.9,9 ,5 ,5 ,10739 ,
social.elarial.tech,mastodon,4.1.7,5 ,1 ,3 ,93 ,
spodeli.org,pleroma,2.5.0,23 ,4 ,10 ,15 ,
frinx.online,mastodon,4.0.6,4 ,1 ,2 ,72 ,
apeiron.aire.ml,akkoma,2.5.2-13-g2d193861,2 ,1 ,2 ,715 ,
duckchat.me,pleroma,2.4.1,2 ,null,null,16 ,
mastodon.rand0m.me,mastodon,4.2.0-nightly.2023-09-24,3 ,1 ,3 ,175 ,
social.aliceice.de,pleroma,2.5.5,1 ,1 ,1 ,106 ,
whoneedsabudget.cheap,mastodon,4.2.0,7 ,2 ,3 ,282 ,
ribeiro.social,mastodon,4.1.5,5 ,1 ,1 ,735 ,
my.elven.pw,mastodon,4.2.0,25 ,5 ,16 ,3930 ,
toot.subak.club,mastodon,4.2.0,5 ,4 ,4 ,1363 ,
amiga.team,mastodon,4.1.4,6 ,1 ,3 ,137 ,
fromm.social,mastodon,4.2.0,3 ,2 ,2 ,4539 ,
base.lc,mastodon,4.1.3+patches,25 ,7 ,11 ,2065 ,
mastoben.rocks,mastodon,4.2.0,2 ,2 ,2 ,887 ,
apotheke.social,mastodon,4.1.7,228 ,19 ,81 ,22098 ,
elle.systems,mastodon,4.2.0,1 ,1 ,1 ,49861 ,
social.thefishermenandthepriestess.com,pleroma,2.5.4,1 ,1 ,1 ,47 ,
mstdon.com,mastodon,4.1.2+glitch+bird,57 ,3 ,14 ,1613 ,
nfb.social,mastodon,4.2.0,17 ,11 ,17 ,344 ,
social.blogsofwar.com,mastodon,4.2.0,1 ,1 ,1 ,1276 ,
blobfox.es,akkoma,3.9.3-1489-g44514535-fox,20 ,5 ,14 ,1121 ,
tears.intherain.club,misskey,13.14.2,3 ,null,null,2226 ,
youthweb.social,mastodon,4.1.4,16 ,8 ,9 ,2557 ,
m.b3.hk,pleroma,2.4.53-863-g9f708037,8 ,2 ,3 ,35 ,
mastodonti.co,mastodon,4.0.2,20 ,12 ,16 ,3500 ,
social.starmade.de,mastodon,4.1.4+glitch,1 ,1 ,1 ,38 ,
xn--trt-tna.wala2x.de,mastodon,4.2.0,4 ,3 ,4 ,277 ,
spacelase.rs,mastodon,4.2.0,19 ,8 ,28 ,1955 ,
gts.sudoer.ch,gotosocial,0.11.1 git-c7a46e0,1 ,null,null,3 ,
socialcoders.org,mastodon,4.2.0,4 ,3 ,3 ,196 ,
social.seewindows.com,mastodon,4.0.0,1 ,0 ,1 ,61 ,
pleroma.namelivia.com,pleroma,2.5.54-333-g1e685c83-develop,2 ,2 ,2 ,333 ,
social.pixelpusher.no,mastodon,4.2.0,2 ,1 ,1 ,176 ,
mastodon.internetplumbing.net,mastodon,4.0.2,1 ,1 ,1 ,11 ,
sailstrails.cafe,mastodon,4.2.0,2 ,0 ,1 ,199 ,
social.nabber.org,mastodon,4.2.0,2 ,2 ,2 ,0 ,
hex.st,mastodon,4.1.4+glitch,7 ,4 ,7 ,799 ,
www.foxyhole.io,firefish,1.0.3,96 ,18 ,46 ,5917 ,
void.holdings,hometown,4.0.6+hometown-1.1.1,5 ,5 ,5 ,2837 ,
stegodon.org,mastodon,4.2.0,1 ,0 ,1 ,26 ,
rettungsdienst.social,mastodon,4.2.0,5 ,0 ,1 ,7 ,
zahnpasta.tube,mastodon,4.1.2,1 ,1 ,1 ,2865 ,
dopamine.social,mastodon,4.2.0,4 ,1 ,2 ,55 ,
0lb.be,hometown,4.0.10+hometown-1.1.1,7 ,6 ,6 ,2287 ,
mastodon.boogstreken.be,mastodon,4.2.0,2 ,2 ,2 ,168 ,
mastodon.tobedefined.net,ecko,3.4.9001,4 ,3 ,3 ,842 ,
www.myronland.com,mastodon,4.2.0,3 ,1 ,1 ,53 ,
straylight.expectnomore.net,mastodon,4.1.6,20 ,1 ,4 ,5232 ,
social.bakdos.de,akkoma,3.9.3,4 ,2 ,4 ,21 ,
space.jeroenvd.nl,firefish,1.0.3,3 ,1 ,1 ,254 ,
mstdn.xophoros.com,mastodon,4.1.4,1 ,1 ,1 ,46 ,
c18.masto.host,mastodon,4.2.0,158 ,57 ,93 ,23568 ,
mudhut.social,mastodon,4.2.0,9 ,5 ,8 ,906 ,
tootzi.ch,mastodon,4.1.4,4 ,2 ,4 ,5 ,
toonvandeputte.be,mastodon,4.2.0,1 ,1 ,1 ,1525 ,
argentum.social,mastodon,4.2.0,1 ,1 ,1 ,1321 ,
refi64.social,mastodon,4.0.6,1 ,1 ,1 ,3696 ,
eorzea.social,mastodon,4.2.0,11 ,6 ,10 ,531 ,
pfeifling.de,mastodon,4.2.0,1 ,1 ,1 ,1572 ,
strectuna.me,mastodon,4.2.0,1 ,1 ,1 ,37 ,
dom.social,akkoma,3.9.3-0-g9d7c877,1 ,1 ,1 ,4 ,
pub.waffle.tech,pleroma,2.4.53-899-g0e1356ef-develop,5 ,2 ,3 ,147 ,
fluffyshelter.day,firefish,1.0.3,10 ,6 ,9 ,18787 ,
jaesharp.social,mastodon,4.2.0,2 ,1 ,1 ,1474 ,
social.yharnam.town,mastodon,3.5.3+glitch,4 ,1 ,1 ,96 ,
eitelh.uber.space,pleroma,2.5.1-1080-gfd46f83d,1 ,1 ,1 ,331 ,
mstdn.husku.net,mastodon,4.0.2,4 ,4 ,4 ,1032 ,
dragn.gay,mastodon,4.1.4+glitch,3 ,1 ,2 ,1571 ,
mastodon.dissem.ch,mastodon,4.2.0,3 ,1 ,1 ,246 ,
voloshyn.xyz,mastodon,4.1.2,3 ,0 ,3 ,30 ,
mk.catgirlsfor.science,firefish,1.0.3,31 ,12 ,21 ,44091 ,
ticos.social,mastodon,4.2.0,6 ,3 ,7 ,2607 ,
social.kharkiv.dcomm.net.ua,mastodon,4.1.7,90 ,25 ,50 ,5968 ,
fedi.neon.moe,akkoma,3.10.2,1 ,1 ,1 ,783 ,
raki.club,akkoma,3.10.4-0-gebfb617,6 ,3 ,4 ,378 ,
megantoots.com,mastodon,4.2.0,1 ,1 ,1 ,199 ,
poly.cybre.city,akkoma,3.9.3-2-gfb8081e1-develop,2 ,1 ,1 ,7151 ,
wall.demouliere.eu,pleroma,2.4.5-2-gd8e32646,1 ,null,null,590 ,
public.mitra.social,mitra,2.0.0,33 ,11 ,23 ,80 ,
geeklife.com,mastodon,4.2.0,3 ,1 ,2 ,21 ,
mast.mako.li,mastodon,3.5.3,2 ,0 ,1 ,1 ,
social.portertech.ca,mastodon,4.1.3,1 ,1 ,1 ,565 ,
emacsen.net,mastodon,4.1.4,1 ,1 ,1 ,9536 ,
stonerkitty.monster,mastodon,4.2.0,1 ,1 ,1 ,51736 ,
curious.simio.us,mastodon,4.2.0,3 ,1 ,1 ,136 ,
succubi.services,misskey,13.14.2,13 ,null,null,11279 ,
plero.antopie.org,akkoma,2.5.5,2 ,2 ,2 ,26 ,
bostonmusic.online,mastodon,4.2.0,11 ,1 ,4 ,2250 ,
schoonens.social,mastodon,4.2.0,2 ,2 ,2 ,627 ,
sironi.tk,pleroma,2.5.5,1 ,1 ,1 ,3429 ,
jplocalization.social,mastodon,4.1.4,17 ,1 ,3 ,79 ,
bruder.space,mastodon,4.1.3,1 ,1 ,1 ,2077 ,
akko.cuddlegirls.cafe,akkoma,3.9.3-28-g9d7c877d,3 ,2 ,2 ,7197 ,
fediverse.cyou,pleroma,2.5.4,10 ,4 ,6 ,772 ,
weirdgone.pro,mastodon,4.1.1,5 ,1 ,2 ,472 ,
tad.me,mastodon,4.2.0,1 ,1 ,1 ,51 ,
lostlightstudio.team,mastodon,4.1.1,1 ,1 ,1 ,149 ,
hugeplothole.com,mastodon,4.2.0,2 ,1 ,1 ,7 ,
sparkly.uni.horse,mastodon,4.1.4+glitch,1 ,1 ,1 ,317 ,
soc.jra.sh,pleroma,2.5.2-13-g2d193861,1 ,1 ,1 ,205 ,
setecastronomy.dev,mastodon,4.2.0,1 ,1 ,1 ,1 ,
tdd.social,mastodon,4.2.0,2 ,2 ,2 ,3369 ,
social.myxoz.port0.org,mastodon,4.2.0,1 ,1 ,1 ,1011 ,
motmot.cx,mastodon,4.2.0,4 ,0 ,0 ,519 ,
flumph.masto.host,mastodon,4.2.0,15 ,2 ,3 ,11052 ,
coywolf.social,mastodon,4.2.0,5 ,1 ,2 ,464 ,
social.dsmouse.net,mastodon,4.1.5+glitch_0801_3b49b5a,5 ,1 ,1 ,6030 ,
wolvesare.sexy,mastodon,4.1.5,2 ,2 ,2 ,265 ,
mk.igwigg.space,misskey,13.14.2,4 ,null,null,15503 ,
is.a.horrific.dev,mastodon,4.1.3+glitch,2 ,1 ,1 ,107 ,
mastodon.grozav.dev,mastodon,4.2.0,4 ,1 ,4 ,967 ,
eleusis.social,mastodon,4.0.0rc1,2 ,2 ,2 ,198 ,
kamel.social,mastodon,4.1.4,10 ,3 ,3 ,48 ,
fedi.anarchy.moe,pleroma,2.1.2,4 ,null,null,923 ,
mastodonte.quebec,mastodon,4.1.4,2 ,2 ,2 ,99 ,
m.zaatar.org,mastodon,4.2.0,1 ,1 ,1 ,5 ,
sublimity.net,mastodon,4.0.0,2 ,1 ,2 ,56 ,
toot.yosh.is,mastodon,4.2.0,1 ,1 ,1 ,2219 ,
mastodon.rctatman.com,mastodon,4.2.0,2 ,0 ,0 ,550 ,
dhub.social,mastodon,4.2.0,13 ,1 ,1 ,2850 ,
mastodon.accessinformationnews.com,mastodon,4.2.0,1 ,1 ,1 ,223 ,
mast.solarisfire.com,mastodon,4.2.0,2 ,2 ,2 ,1289 ,
greenish.red,pleroma,2.5.2,834 ,22 ,54 ,17690 ,
loves.reisen,akkoma,3.10.3-201-gc8e08e9c-develop,2 ,1 ,1 ,109 ,
social.arpakuut.io,akkoma,3.9.3,1 ,1 ,1 ,10 ,
ahlers.xyz,mastodon,4.2.0,1 ,1 ,1 ,163 ,
agilodon.social,mastodon,4.2.0,4 ,2 ,2 ,2125 ,
social.mossrc.me,pleroma,2.5.1,1 ,1 ,1 ,242 ,
flooded.club,mastodon,4.2.0,2 ,2 ,2 ,526 ,
m.trisweb.com,mastodon,4.2.0,2 ,1 ,2 ,2850 ,
mastodon.naii.io,mastodon,4.2.0,1 ,1 ,1 ,1847 ,
mewblog.thepolarbear.co.uk,iceshrimp,1.0.2,2 ,1 ,1 ,594 ,
pon.ee,mastodon,4.2.0,11 ,6 ,9 ,233 ,
cthonic.club,mastodon,4.2.0,2 ,1 ,1 ,216 ,
social.researchanddestroy.technology,mastodon,4.1.4,2 ,2 ,2 ,721 ,
mastodon.naturalorder.me,mastodon,4.1.4,3 ,1 ,4 ,809 ,
leibniz.pub,mastodon,4.2.0,3 ,2 ,3 ,49 ,
fedi.ioangogo.dev,akkoma,3.9.3,2 ,1 ,2 ,1904 ,
mastodon.teachmaths.org,mastodon,4.2.0,5 ,1 ,3 ,114 ,
squ.alid.pw,pleroma,2.5.4,2 ,1 ,1 ,19410 ,
fed.mmhf.com,mastodon,4.0.2,4 ,0 ,0 ,7 ,
watzonmanor.com,firefish,1.0.3,3 ,1 ,1 ,199 ,
mince.network,mastodon,4.1.0,1 ,1 ,1 ,8 ,
haylandt.social,mastodon,4.2.0,5 ,1 ,2 ,79 ,
fediv.giov.dev,pleroma,2.5.0,1 ,1 ,1 ,16 ,
remotebutter.social,mastodon,4.1.0,3 ,1 ,2 ,151 ,
ashlande.rs,mastodon,4.2.0,8 ,3 ,3 ,268 ,
chatz.nl,mastodon,4.2.0,5 ,4 ,4 ,149 ,
fedi.fyralabs.com,misskey,13.14.2,12 ,null,null,60 ,
terminal.ink,mastodon,4.1.6,3 ,2 ,3 ,51 ,
pleroma.otter.sh,akkoma,3.5.0-12-g63f2d1cb,5 ,null,null,57092 ,
jenrweb.com,mastodon,4.2.0,1 ,1 ,2 ,100 ,
social.jackhumphrey.me,mastodon,4.1.4,1 ,1 ,1 ,124 ,
hejfolks.social,mastodon,4.2.0,6 ,2 ,6 ,627 ,
mastodon.cyprin.eu,mastodon,4.1.5,2 ,1 ,1 ,33 ,
dc801.space,mastodon,4.2.0,14 ,4 ,6 ,172 ,
r2.do,mastodon,4.2.0,30 ,2 ,6 ,10078 ,
toots.hd0.eu,mastodon,4.2.0,2 ,1 ,1 ,21 ,
skj.social,mastodon,4.2.0,1 ,1 ,1 ,2890 ,
