domain,application,version,users,AMU,AHYU,posts
rapemeat.express,akkoma,3.9.3-28-g9d7c877d,3255,1134,1658,7160
blob.cat,akkoma,3.9.3-0-gd83f5f66f-blob,1795,172,400,563817
pleroma.noellabo.jp,akkoma,3.10.4-607-g88021a96-noeroma,1566,50,409,23667
fedi.absturztau.be,akkoma,3.10.3-201-gc8e08e9c-develop,1361,132,286,839596
fe.disroot.org,akkoma,3.8.0-0-gb86b3a9-develop,1241,270,728,21090
genserver.social,akkoma,3.10.3-0-gc887dd4,968,183,416,5015
cdrom.tokyo,akkoma,3.9.3-28-g9d7c877d,809,105,304,117453
outerheaven.club,akkoma,3.10.3-0-g43c5fd5,775,110,240,427238
miraiverse.xyz,akkoma,3.10.4-0-gebfb617,730,237,641,40511
akkoma.mercurywork.shop,akkoma,3.10.4-0-gebfb617,316,28,133,1493
pl.nudie.social,akkoma,3.10.3-194-g43c5fd5d,304,43,186,5834
nixnet.social,akkoma,3.10.2-0-gba1ed37,293,43,100,29332
detroitriotcity.com,akkoma,3.10.2-0-gba1ed37,224,98,170,40839
freespeech.group,akkoma,3.10.4-0-gebfb617,203,5,79,35346
pleroma.envs.net,akkoma,3.10.4-0-g0af8e93,203,44,84,13471
akko.disqordia.space,akkoma,3.9.3,146,44,102,153826
mycrowd.ca,akkoma,3.10.4-1-gebfb617b,142,33,4100,82961
froth.zone,akkoma,3.10.2-2212-g0d59cb6c-froth-akkoma,112,7,20,99178
akko.wtf,akkoma,3.10.3-203-gd1af78ab-develop,108,64,97,92565
landofkittens.social,akkoma,3.10.3-200-g5c164028-develop,93,17,33,51163
decept.org,akkoma,3.9.3-0-g9d7c877,92,24,31,13152
triangle.social,akkoma,3.8.0,82,2,42,12774
headpat.cafe,akkoma,3.10.4-0-g0af8e93,80,40,61,694
bdx.town,akkoma,3.9.3-0-g80519fe,76,42,86,14112
infosec.place,akkoma,3.9.3,73,14,44,2162
donotsta.re,akkoma,3.10.4-0-gebfb617,72,30,42,9586
ihatebeinga.live,akkoma,3.10.3-194-g063e3c0d-develop,70,14,22,289141
bunbers.org,akkoma,3.9.3-28-g9d7c877d-akkoma,70,16,34,697
moth.zone,akkoma,3.10.2-0-gba1ed37,64,29,43,32485
neue.city,akkoma,3.7.1,60,null,null,23434
social.kernel.org,akkoma,3.10.3,59,32,44,6139
shota.house,akkoma,3.10.3,52,24,38,109610
awoo.fai.st,akkoma,3.9.3-0-g9d7c877,49,17,25,14279
0w0.is,akkoma,3.10.4-1-gebfb617b,46,44,57,142637
kowelenz.social,akkoma,3.9.3-0-g9d7c877,45,10,287,8048
foxy.social,akkoma,3.9.3-0-g30b9e626f-main,41,9,40,174
akko.unix.dog,akkoma,3.10.4,40,11,31,10595
social.translunar.academy,akkoma,3.9.3-0-g9d7c877,38,36,39,53432
gosuslugi.social,akkoma,3.8.0,36,6,21,195
ak.kawen.space,akkoma,3.10.3-0-g98f0820-develop,36,23,30,48063
pl.nulled.red,akkoma,3.9.3-0-g9d7c877,36,9,251,12360
suya.place,akkoma,3.10.4-4-g74f94627-suyaplace,35,25,34,20844
nya.house,akkoma,3.9.3-29-gc1306989-nya,31,2,8,842
brain.worm.pink,akkoma,3.10.4-3-g8660dcae,31,18,23,7349
monk.ey.business,akkoma,3.10.4-1-gebfb617b,31,27,28,2391
iscute.moe,akkoma,3.9.3,30,6,10,140809
pl.m0e.space,akkoma,3.9.3-28-g9d7c877d,30,8,129,3349
otp.akkoma.dev,akkoma,3.10.4-0-g0af8e93,28,1,1457,72
breastmilk.club,akkoma,3.7.1,27,null,null,63219
aa.nikola.love,akkoma,3.10.4-1-gebfb617b,26,20,27,2376
pinksheep.org,akkoma,3.8.0-0-gccae7ef,26,4,6,455
woem.space,akkoma,3.10.4-0-gebfb617,25,18,24,45975
uchu-teien.com,akkoma,3.10.4,24,16,24,5223
waifuism.life,akkoma,3.10.4-1-gebfb617b,24,10,11,65665
pleroma.chillout.chat,akkoma,3.7.1,23,null,null,381
tailswish.industries,akkoma,3.10.4-2-gde9afa1f-tailswish,23,11,13,14447
pr.shc.kanagawa.jp,akkoma,3.10.4-6-g534841dd-heads-v3-10-4,23,3,11,2430
pl.hyperboreal.zone,akkoma,3.9.3-0-g9d7c877,22,3,13,5158
ng.cathoderay.tube,akkoma,3.10.4-0-gebfb617,22,10,16,3461
sweet.succubi.services,akkoma,3.5.0-12-g63f2d1cb,21,null,null,970
blobfox.es,akkoma,3.9.3-1489-g44514535-fox,21,6,14,1125
social.milhousfamily.com,akkoma,3.8.0,21,9,15,86
myfriendsare.gay,akkoma,3.9.3,20,6,10,7690
pleroma.viridianpatriots.com,akkoma,3.10.3-0-g98f0820-develop,20,3,9,12564
netzsphaere.xyz,akkoma,3.10.3-0-gc887dd4,19,3,4,102936
kongwoo.icu,akkoma,3.9.3-0-g9d7c877,19,7,15,5496
neet.social,akkoma,3.10.4,18,18,23,533
boymoder.biz,akkoma,3.9.3-28-g9d7c877d,18,7,18,7481
is.badat.dev,akkoma,3.10.4,18,4,9,37023
haxe.social,akkoma,3.8.0,18,1,5,27
xyzzy.link,akkoma,3.10.3-201-gc8e08e9c-develop,17,8,12,26204
midnight.delivery,akkoma,3.7.1-0-gfef4bae,16,null,null,705
cofe.rocks,akkoma,3.10.3-197-g98f0820c-sn0w+PE,16,3,3,4132
larkspur.one,akkoma,3.10.3-203-gd1af78ab-develop,16,9,11,2412
toot.hackrc.dev,akkoma,3.10.3-203-gd1af78ab-develop,16,2,3,857
fedi.friendzone.lol,akkoma,3.10.4-1-gebfb617b,16,18,19,2946
chai.kibbutz.gay,akkoma,3.10.4-0-gebfb617,15,17,17,2140
fedi.lecturify.net,akkoma,3.10.3-201-gc8e08e9c-develop,15,6,9,2872
balerno.town,akkoma,3.10.3-0-g43c5fd5,15,2,17,101
fedi.skladka.net,akkoma,3.5.0-0-gd9508474b,15,null,null,1543
magic.win,akkoma,3.7.1-0-gfef4bae,15,null,null,80
ilja.space,akkoma,3.10.4,14,5,8,9459
fedi.seriousbusiness.international,akkoma,3.9.3-0-g9d7c877,13,9,10,3534
social.owotel.com,akkoma,3.9.3,13,6,8,146
strelizia.net,akkoma,3.10.3-1545-g75e901f3-akkoma,12,6,8,107167
bv.umbrellix.org,akkoma,3.4.0-117-gde1bbc02,12,null,null,6084
fedi.astrid.tech,akkoma,3.8.0,12,7,12,37130
shrine.moe,akkoma,3.10.4,12,11,13,7435
cockandballtortu.re,akkoma,3.9.3+dev,12,3,6,255
s.awoo.dev,akkoma,3.10.3-0-g368b22f-develop,12,5,7,947
neo.seafoam.space,akkoma,3.10.4-0-gebfb617,12,9,9,316
soc.noob.quest,akkoma,3.10.4,11,6,11,1736
pl.comofas.org,akkoma,3.9.3-2-gfb8081e1-develop,11,4,8,65
mastodon.tardis.pw,akkoma,3.10.3-1-g43c5fd5d,11,4,6,3786
buff.tomboyfan.club,akkoma,3.10.4-1-gebfb617b,11,5,11,3482
nyan.network,akkoma,3.10.3-202-g1b838627-1-CI-COMMIT-TAG---,11,8,10,3533
novo-atlantis.null.media,akkoma,3.9.3,11,6,12,2438
mar.archipielago.uno,akkoma,3.10.4,11,10,10,1030
breakdown.moe,akkoma,3.9.3-0-g9d7c877,11,4,10,51
fedi.reimu.info,akkoma,3.10.3-201-gc8e08e9c-develop,11,7,9,5586
a.jerl.zone,akkoma,3.7.1-0-gfef4bae,11,null,null,125
norwoodzero.net,akkoma,3.10.2-0-gba1ed37,10,4,10,5316
fedi.criminallycute.fi,akkoma,3.10.3-197-g98f0820c-develop,10,7,11,5705
social.naln1.ca,akkoma,3.10.4-1-gebfb617b,10,5,9,15236
akko.chir.rs,akkoma,3.10.3,10,7,7,9636
pl.salushnes.solutions,akkoma,3.9.3,10,7,8,2687
fediverse.date,akkoma,3.9.3-28-g9d7c877d,10,0,9,241
pl.catboyindustries.co,akkoma,3.10.3-201-gc8e08e9c-develop,10,3,6,382
brotka.st,akkoma,3.10.3-0-g43c5fd5,9,6,9,35772
social.platypus-sandbox.com,akkoma,3.10.3,9,9,12,5655
antani.pm,akkoma,3.10.3-203-gd1af78ab-develop,9,5,8,699
blimey.social,akkoma,3.10.4-0-gebfb617,9,4,8,3543
social.qunn.eu,akkoma,3.10.4-0-gebfb617,9,4,5,1640
ak.zweitekassabitte.jetzt,akkoma,3.9.3,9,6,9,3760
snack.social,akkoma,3.3.1,9,null,null,12386
blahaj.ovh,akkoma,3.9.3-28-g9d7c877d,9,2,10,110
social.drgnz.club,akkoma,3.9.3,9,4,9,693
um.lugarzinho.top,akkoma,3.9.2,9,1,4,786
relay.blimey.social,akkoma,3.10.4-0-gebfb617,9,4,8,3540
free.gaycatgirl.sex,akkoma,3.9.3-28-g9d7c877d,8,7,7,3921
social.nauk.io,akkoma,3.10.4-0-g0af8e93,8,3,4,1119
dartboard.social,akkoma,3.9.3-0-g9d7c877,8,2,2,157
trans.enby.town,akkoma,3.10.2-158-g59af68c6-develop,8,5,8,32443
xenia.social,akkoma,3.5.0-14-gd9508474,8,null,null,262
pleroma.les-requin.net,akkoma,3.10.4,8,1,3,486
amble.quest,akkoma,3.10.4,8,5,7,1232
quite.lewd.today,akkoma,3.9.3-28-g9d7c877d,8,2,8,8
telex.disinfo.zone,akkoma,3.8.0,8,3,4,387
3v.is,akkoma,3.10.2,8,6,7,338
critica.li,akkoma,3.10.4-0-gebfb617,8,2,6,118
fedi.akselmo.dev,akkoma,3.10.2,8,6,9,2166
oopsall.gay,akkoma,3.10.4,8,4,6,918
fedi.kemonomimi.gay,akkoma,3.10.4,8,7,10,1624
p.girlc.at,akkoma,3.10.4-1-gebfb617b,8,7,8,2956
zy.gy,akkoma,3.7.1-yf,7,null,null,3347
fedi.worf.win,akkoma,3.9.3-28-g9d7c877d,7,2,7,211
introvert.social,akkoma,3.10.2-0-gba1ed37,7,2,4,785
wiir.libtar.de,akkoma,3.10.4,7,3,4,2552
gamerfort.social,akkoma,3.9.3-0-g9d7c877,7,2,4,298
satania.social,akkoma,3.10.4,7,6,9,285
rail.siberia.work,akkoma,3.5.0-0-g20a652841-hostdon-akkoma-latest,7,null,null,2677
otlab.dev,akkoma,3.9.3,7,4,7,355
social.isopod.cool,akkoma,3.9.3-0-g9d7c877,7,0,3,1250
neuro.cooking,akkoma,3.5.0-0-g63f2d1cbe,7,null,null,385
raccoon.cafe,akkoma,3.10.4-0-gebfb617,7,3,5,793
hasthebig.gay,akkoma,3.9.3-28-g9d7c877d,7,4,5,72
mastodon.nove.team,akkoma,3.10.4-1-gebfb617b,7,5,9,168
ack.nerdfight.online,akkoma,3.9.3-0-g9d7c877,7,5,5,4564
fed.tardisproject.uk,akkoma,3.10.4-1-gebfb617b,7,2,4,27
fedi.tilde.green,akkoma,3.10.3,7,2,2,69
fyrfli.social,akkoma,3.10.3-1-g43c5fd5d,7,4,7,979
people.unfoo.net,akkoma,3.10.4,6,2,3,53
akkoma.nl,akkoma,3.10.4-0-gebfb617,6,2,5,69
asphodel.rip,akkoma,3.10.4,6,5,6,1051
computering.pro,akkoma,3.10.4-0-gebfb617,6,2,4,162
spinny.city,akkoma,3.10.4-1-gebfb617b,6,5,5,160
life.starly.blue,akkoma,3.10.3-0-g43c5fd5,6,3,6,586
ak.kyaruc.moe,akkoma,3.4.0-0-gf91b89673,6,null,null,52517
void.lgbt,akkoma,3.10.3-0-g43c5fd5,6,6,6,3386
snake.cool,akkoma,3.9.3-28-g9d7c877d,6,4,6,38
akkoremaji.club,akkoma,3.10.4-0-gebfb617,6,6,6,1811
akkoma.0x68756773.moe,akkoma,3.10.4,6,5,8,852
idiomdrottning.org,akkoma,3.10.4-1-gebfb617b,6,3,3,14190
kayii.goe.land,akkoma,3.10.3,6,1,691,1396
snipetteville.in,akkoma,3.7.1-0-gfef4bae,6,null,null,227
teabag.ninja,akkoma,3.10.3-0-gc887dd4,6,2,4,947
raki.club,akkoma,3.10.4-0-gebfb617,6,3,3,383
akk2.eniehack.net,akkoma,3.10.4-0-gebfb617,6,6,6,404
a.lufimianet.jp,akkoma,3.5.0-0-g20a652841-hostdon-akkoma-latest,6,null,null,1390
curiouscabbit.social,akkoma,3.10.4,6,3,7,62
a.awootism.club,akkoma,3.10.4,6,3,6,205
kawaii.kitsune.cafe,akkoma,3.3.1-45-g16a31872-develop,6,null,null,7878
social.raccoon.college,akkoma,3.9.3-0-g9d7c877,6,3,5,292
brettvormkopf.de,akkoma,3.10.4,6,3,3,212
bcn.fedi.cat,akkoma,3.10.4-0-gebfb617,6,5,6,1312
a.tela.moe,akkoma,3.9.3-28-g9d7c877d,6,5,5,6863
fedi.midnight.miami,akkoma,3.9.3-28-g9d7c877d,6,3,6,1123
social.goatzone.net,akkoma,3.10.2,6,3,6,131
social.busterboys.net,akkoma,3.10.2,6,4,5,25
nerdcore.social,akkoma,3.10.3,5,1,1,9
pleroma.neuromante.net,akkoma,3.10.4-1-gebfb617b,5,1,1,6602
social.techn1k.de,akkoma,3.10.4-0-gebfb617,5,5,5,110
tirnanog.space,akkoma,3.10.3,5,5,6,2463
fedi.bapril.pl,akkoma,3.10.4,5,4,5,478
p.umbriel.fr,akkoma,3.10.2,5,1,1,69677
pythonplayer123.xyz,akkoma,3.9.3-28-g9d7c877d,5,2,5,40
fedi.tetrarch.co,akkoma,3.10.4-0-gebfb617,5,1,3,41
sns.minovsky.space,akkoma,3.10.2-158-g59af68c6-develop,5,3,5,7369
final.town,akkoma,3.10.4-0-g0af8e93,5,5,5,1273
fedi.cpluspatch.com,akkoma,3.9.3-0-g9d7c877,5,2,4,19431
cocaine.moe,akkoma,2.5.2-0-gf91903566-develop,5,null,null,5496
pleroma.otter.sh,akkoma,3.5.0-12-g63f2d1cb,5,null,null,57092
fedi.fourhappylions.com,akkoma,3.10.4,5,3,3,367
our-town.social,akkoma,3.10.4,5,1,2,304
meow.church,akkoma,3.10.3-0-g43c5fd5,5,6,6,25
social.baradoz.cloud,akkoma,3.10.4,5,4,5,1236
akko.hollow.capital,akkoma,3.10.4-0-g299da5a13-hollow-capital,5,4,4,2943
social.jaderune.net,akkoma,3.10.2,5,2,3,17
mistbow.xyz,akkoma,3.9.3-28-g9d7c877d,5,2,5,58
akko.lea.moe,akkoma,3.10.4,5,1,3,9
vyos.social,akkoma,3.10.4,5,3,6,1173
beep.flawbee.net,akkoma,3.10.3-197-g98f0820c-develop,5,5,5,422
bbs.buny.plus,akkoma,3.8.0-0-gccae7ef,5,1,5,25
fedi.joeydrew.studio,akkoma,3.10.4-0-gebfb617,5,4,4,34
meowing.online,akkoma,3.3.1-0-gc6043c9ee-main,5,null,null,430
akkoma-test.hiwaga.tech,akkoma,3.5.0-0-gd9508474b,5,null,null,46
social.unitoo.it,akkoma,3.10.4-1-gebfb617b,4,1,3,708
kneel.before.dog,akkoma,3.10.4-1-gebfb617b,4,2,3,773
akkoma.sandhill.social,akkoma,3.7.1-0-gfef4bae,4,null,null,575
akkoma.net,akkoma,3.5.0-develop,4,null,null,7
pl.inu.is,akkoma,3.9.3-28-g9d7c877d,4,3,4,76
phantomthieves.net,akkoma,3.9.3-28-g9d7c877d,4,2,5,517
spooky.social,akkoma,3.5.0-14-gd9508474,4,null,null,122
social.rhumbs.fr,akkoma,3.8.0,4,4,4,531
ikbenpiraat.nl,akkoma,3.10.4-0-gebfb617,4,4,4,44
pl.dira.cc,akkoma,3.9.3-0-g7e45343-develop,4,1,3,3808
ak.lightnovel-dungeon.de,akkoma,3.10.4,4,2,8,2916
letsrulethe.world,akkoma,3.10.4-0-gebfb617,4,2,3,829
universe.feliver.se,akkoma,3.10.2,4,3,3,4575
va-11-hall-a.cafe,akkoma,3.10.3-209-g2d754be7-va-11-hall-a,4,3,3,15272
social.vlhl.dev,akkoma,3.9.3-0-g9d7c877,4,3,4,4360
feline.rodeo,akkoma,3.9.3-28-g9d7c877d,4,2,3,590
galaxians.garden,akkoma,3.10.4-1-gebfb617b,4,3,3,617
miku.place,akkoma,3.10.4-0-gebfb617,4,4,4,347
gay.lesaoras.xyz,akkoma,3.10.4,4,3,3,2611
zamb.la,akkoma,3.10.3-0-g43c5fd5,4,3,4,4
social.bakdos.de,akkoma,3.9.3,4,2,4,27
a.blahaj.world,akkoma,3.10.4-1-gebfb617b,4,4,4,264
social.chaos.koeln,akkoma,3.9.2-431-g1f8a8c72-develop,4,1,2,109
divergence.pp.ua,akkoma,3.9.3,4,1,4,34
akkoma.social.raku.party,akkoma,3.9.3-0-g9d7c877,4,2,6,20
pleroma.chaoswit.ch,akkoma,3.10.3,4,4,4,2806
deepspace.cafe,akkoma,3.10.4-0-gebfb617,4,3,4,144
fedi.cassilda.house,akkoma,3.10.4-0-gebfb617,4,6,6,721
akkoma.flyerdonut.net,akkoma,3.10.4-1-gebfb617b,4,5,5,2089
social.alemi.dev,akkoma,3.10.4,4,3,3,249
turbotime.turboteam.xyz,akkoma,3.10.3,4,2,2,328
social.lobster.city,akkoma,3.9.3-28-g9d7c877d,4,1,1,10
pm.schizo.gr,akkoma,3.10.4-1-gebfb617b,4,1,3,2
bots.ferals-on.top,akkoma,3.10.4-1-gebfb617b,4,4,4,122
fedi.omada.cafe,akkoma,3.10.4-1-gebfb617b,4,4,4,22
couch.beerriot.com,akkoma,3.10.4-1-ga4c15863-no-fetch-with-local-limit-3-10-4,3,2,3,212
ostfrie.se,akkoma,3.10.2-0-gba1ed37,3,2,2,576
muuzikku.produkti.se,akkoma,3.10.3,3,2,3,512
akkos.fritu.re,akkoma,3.10.2,3,1,3,2447
nerdout.online,akkoma,3.10.4-1-gebfb617b,3,1,3,80
fuzzyroots.net,akkoma,3.9.3-0-g9d7c877,3,2,3,545
t.joeldebruijn.nl,akkoma,3.10.3-0-g43c5fd5,3,2,3,637
castoranxieux.ca,akkoma,3.10.3,3,1,1,127
portend.place,akkoma,3.9.3-139-g93b92041-web-protocol-handler,3,3,3,5249
akkoma.xn--pikabl-0xa.se,akkoma,3.10.4,3,2,3,137
akm.longyap.name.my,akkoma,3.6.0,3,null,null,4560
social.wuatek.is,akkoma,3.10.2,3,2,3,657
pyrox.dev,akkoma,3.10.4,3,0,1,1522
notes.whatthefuck.computer,akkoma,3.8.0,3,3,3,2446
akkoma.miaowi.ng,akkoma,3.10.2-0-gba1ed37,3,3,3,444
fedi.splatoon3.ink,akkoma,3.7.1,3,null,null,6274
akko.cuddlegirls.cafe,akkoma,3.9.3-29-ge8c43b99,3,2,2,7330
fedi.aria.dog,akkoma,3.10.3-0-g43c5fd5,3,3,3,3704
a.farook.org,akkoma,3.9.3-0-g9d7c877,3,2,3,1489
t.hermine.in,akkoma,3.9.3-0-g9d7c877,3,1,3,450
distraction.party,akkoma,3.9.3,3,1,1,1594
social.minbash.de,akkoma,3.9.3,3,1,1,22
ambrosia.cafe,akkoma,3.9.3-0-g9d7c877,3,2,2,705
soc.kouett.net.eu.org,akkoma,3.9.3-0-g9d7c877,3,3,3,13107
social.pyrox.dev,akkoma,3.10.4,3,0,1,1522
silvernight.social,akkoma,3.9.3-28-g9d7c877d,3,1,1,6024
social.zell-mbc.com,akkoma,3.10.4,3,1,2,135
a.soopy.moe,akkoma,3.10.4,3,1,2,51
ak.cute.rest,akkoma,3.10.4-1-gebfb617b,3,3,3,107
social.metakaos.space,akkoma,3.3.1-0-gaf90a4e51,3,null,null,323
akko.lightnovel-dungeon.de,akkoma,3.10.4-1-gebfb617b,3,4,5,347
transient.garden,akkoma,3.3.1-0-gc0eecb55b-develop,3,null,null,3
pouet.quebec,akkoma,3.8.0,3,1,1,6
typhy.club,akkoma,3.10.2-0-gba1ed37,3,3,3,120
nolineage.com,akkoma,3.9.3-0-g9d7c877,3,1,2,3057
social.blipdrifter.com,akkoma,3.9.3-28-g9d7c877d,3,2,2,305
tinylad.social,akkoma,3.9.3-0-g9d7c877,3,1,1,205
akkoma.tbqdrn.de,akkoma,3.10.3,3,3,4,132
zoner.gay,akkoma,3.10.4-1-gebfb617b,3,1,5,2217
social.matchu.dev,akkoma,3.9.3-0-g9d7c877,3,1,1,777
fedi.interestingzinc.xyz,akkoma,3.8.0,3,2,3,2291
outmo.de,akkoma,3.10.4,3,2,3,245
fedi.aap.my.id,akkoma,3.10.4+spirit,3,3,3,42
akkoma.chez.chat,akkoma,3.5.0-26-g54fdf3a5,3,null,null,331
soc.haj.gay,akkoma,3.9.2-0-g39a878f,3,3,3,214
social.syndicalism.org,akkoma,3.9.3-28-g9d7c877d,3,4,4,37
lotor.network,akkoma,3.8.0,3,2,2,3931
social.brokaw.org,akkoma,3.9.3-0-g9d7c877,3,1,2,9
fedi.vorboyvo.space,akkoma,3.9.3-28-g9d7c877d,3,3,3,4
stoner.cafe,akkoma,3.10.4-0-g0af8e93,3,2,4,2
glam.monster,akkoma,3.10.4-0-gebfb617,3,2,3,239
fedi.nano.lgbt,akkoma,3.10.4-1-gebfb617b,3,3,3,592
fops.cloud,akkoma,3.10.4-0-gebfb617,3,3,3,2546
akkoma.thesandbox.net,akkoma,3.9.3,3,2,2,937
stroud.social,akkoma,3.10.4,2,2,2,2303
akko.spla.tech,akkoma,3.10.4,2,1,1,2
dlx.pink,akkoma,3.10.4-1-gebfb617b,2,2,2,48
agora.echelon.pl,akkoma,3.10.3-200-g5c164028-develop,2,1,1,8347
avery.garden,akkoma,3.8.0,2,2,2,2498
isnot.online,akkoma,3.9.2,2,1,1,118
microbe.vital.org.nz,akkoma,3.10.3-0-gc887dd4,2,1,1,2003
bunnyanarchy.org,akkoma,3.9.3-28-g9d7c877d,2,2,5,1032
social.jihad.icu,akkoma,3.10.4-0-g0af8e93,2,1,1,497
akkoma.jasminetea.uk,akkoma,3.10.4-0-g0af8e93,2,2,2,2636
pleroma.frickalou.com,akkoma,3.10.4-1-gebfb617b,2,1,2,15
ak.lavenderfield.xyz,akkoma,3.10.4-4-g5f5621fb,2,6,7,28
cantina.tatooine.space,akkoma,3.9.0-0-g9a8373a,2,2,2,554
tyt.maanebedotten.no,akkoma,3.9.3-0-g9d7c877,2,1,2,474
elezen.club,akkoma,3.9.3-0-g9d7c877,2,1,2,51
rapidsloth.xyz,akkoma,3.10.3-162-ge7788f3c-develop,2,1,2,1
akm.hora.win,akkoma,3.10.4-1-gebfb617b,2,2,2,740
toepi.moe,akkoma,3.10.2,2,1,1,1350
ak.kabukimono.top,akkoma,3.10.4-1-gebfb617b,2,2,2,103
remolino.town,akkoma,3.10.4-0-gebfb617,2,2,2,173
poly.cybre.city,akkoma,3.9.3-2-gfb8081e1-develop,2,1,1,7267
thepage.house,akkoma,3.10.4-0-gebfb617,2,2,2,541
social.ketupat.me,akkoma,3.10.4-1-gebfb617b,2,1,1,33
ak.suzu-ya.info,akkoma,3.10.2-0-gba1ed37,2,2,2,5956
fedi.ioangogo.dev,akkoma,3.9.3,2,1,2,1935
masktodon.social,akkoma,3.10.3-0-g43c5fd5,2,1,1,5
fedi.itepechi.me,akkoma,3.10.3+bnakkoma,2,2,3,46
toot.j3b.in,akkoma,3.9.3-0-g9d7c877,2,0,3,72
fedi.nlpagan.net,akkoma,3.10.4-1-gebfb617b,2,1,2,4233
soc.7thmagic.net,akkoma,3.10.3-203-gd1af78ab-develop,2,2,2,1995
akkoma.nrd.li,akkoma,3.9.3-0-g024578a65,2,1,2,149
micro.shitpost.blog,akkoma,3.4.0-0-gf91b89673,2,null,null,292
bi.cbult.space,akkoma,3.7.1-0-gfef4bae,2,null,null,94
meta.jorun.dev,akkoma,3.10.4-1-gebfb617b,2,2,3,620
fedi.triodug.com,akkoma,3.9.3-0-g9d7c877,2,1,1,1623
social.tnhh.org,akkoma,3.10.4,2,2,182,860
pars.ee,akkoma,3.10.3-203-gd1af78ab-develop,2,2,2,5054
headpat.exchange,akkoma,3.10.4,2,2,2,256
pl.fanyx.xyz,akkoma,3.9.3-heads-v3-9-3,2,1,1,469
social.shadowfacts.net,akkoma,3.10.2,2,2,2,16150
cb.janusworx.com,akkoma,3.10.4-0-g0af8e93,2,0,1,400
pleroma.oook.fr,akkoma,3.10.4-1-gebfb617b,2,1,2,1311
plack.app,akkoma,3.10.4-7-g10f1690b-jadiunr-main,2,1,2,1
fediverse.omaramin.me,akkoma,3.10.4,2,1,1,747
pleroma.comfysnug.space,akkoma,3.10.4-0-gebfb617,2,1,3,707
a.sinigr.space,akkoma,3.9.3-0-g9d7c877,2,2,2,967
fedi.owo.justdied.com,akkoma,3.10.3-0-gd1af78a,2,2,3,4260
social.alster.space,akkoma,3.10.3-0-g43c5fd5,2,2,2,3988
kyou.social,akkoma,3.5.0-0-gd9508474b,2,null,null,8158
void.0x0a.de,akkoma,3.9.3-28-g9d7c877d,2,1,2,208
naked.dequbed.space,akkoma,3.10.4-1-gebfb617b,2,2,2,54
akkoma.riley-tech.net,akkoma,3.9.3-0-g9d7c877,2,1,2,101
social.ratliff.space,akkoma,3.9.3-0-g9d7c877,2,1,2,1
fedi.circuitlocution.com,akkoma,3.10.4,2,1,1,654
ssda.me,akkoma,3.10.4-0-gebfb617,2,2,2,81
loves.reisen,akkoma,3.10.3-201-gc8e08e9c-develop,2,1,1,109
social.kloenk.eu,akkoma,3.10.4,2,1,2,40
teslam.in,akkoma,3.10.3-0-gd1af78a,2,1,2,1808
deep13.social,akkoma,3.10.4-0-gebfb617,2,2,2,20
social.ventora.net,akkoma,3.10.4-0-gebfb617,2,2,2,52
social.khromatic-myst.com,akkoma,3.9.3-28-g9d7c877d,2,1,3,375
xyzzy.social,akkoma,3.5.0-0-g63f2d1cbe,2,null,null,189
madr.it,akkoma,3.8.0,2,1,2,34
bunny.family,akkoma,3.5.0-0-gd9508474b,2,null,null,67
ruud.social,akkoma,3.10.4-0-gebfb617,2,2,2,248
fennec.town,akkoma,3.10.4-0-gebfb617,2,1,2,174
social.ashwalker.net,akkoma,3.10.4,2,1,1,179
akkoma.dogphilosophy.net,akkoma,3.9.3-0-g9d7c877,2,2,2,207
akkoma.thejar.club,akkoma,3.9.3-0-g9d7c877,2,0,0,412
fedi.lamer-ethos.site,akkoma,3.9.3-0-g9d7c877,2,1,2,1105
social.polynom.me,akkoma,3.9.3,2,1,1,40
sapphic.engineer,akkoma,3.10.4,2,2,2,194
buny.love,akkoma,3.10.4-1-gebfb617b,2,2,2,5
p.changeme.fr.eu.org,akkoma,3.10.4-1-gebfb617b,2,1,1,121
nrg2.net,akkoma,3.5.0-0-gd9508474b,2,null,null,4
fedi.askiiart.net,akkoma,3.10.4-0-gebfb617,2,2,2,301
akkoma.minecraftanarquia.xyz,akkoma,3.9.3-0-g9d7c877,2,1,2,71
social.violetmillie.me,akkoma,3.10.3,2,2,2,164
tormentnexus.social,akkoma,3.9.3-28-g9d7c877d,2,0,1,1
p.h.etbus.ch,akkoma,3.10.4-0-gebfb617,2,1,2,29
schicksal.im,akkoma,3.10.4-0-gebfb617,2,2,2,88
solitary.social,akkoma,3.10.4,2,2,2,488
pavlik.top,akkoma,3.10.4,2,2,2,487
nettles.social,akkoma,3.8.0-0-gccae7ef,2,1,2,65
powerg.love,akkoma,3.10.4-1-gebfb617b,2,2,2,111
cerulean.ink,akkoma,3.10.4-1-gebfb617b,2,2,2,486
akkoma.lapuas.xyz,akkoma,3.10.4-0-gebfb617,2,2,2,3
fedi.tasossah.com,akkoma,3.10.4,2,1,2,52
opayq.social,akkoma,3.8.0,2,2,2,59
hollypop.xyz,akkoma,3.10.4-1-gebfb617b,2,3,4,400
akkoma.becutewith.me,akkoma,3.10.4-1-gebfb617b,2,2,2,16
ap.nil.im,akkoma,3.9.3-152-g31d7cc9a-develop,2,2,3,808
fedi.quiet.horse,akkoma,3.9.3-28-g9d7c877d,2,3,3,1736
social.gerwitz.com,akkoma,3.8.0,2,1,2,960
