domain,application,version,users,AMU,AHYU,posts
prattohome.com,mastodon,4.2.1,1,1,1,2767
misskey.zerozaski.tech,misskey,12.110.1,4,2,3,33083
sakurajima.moe,mastodon,4.3.0-alpha.0+glitch,643,253,777,57763
tty0.social,mastodon,4.1.3,109,39,68,8708
m5y.usuyuki.net,misskey,2023.10.0-usuyukey-1.1.0,1,null,null,4578
martinh.net,mastodon,4.2.1,1,1,1,2851
social.edist.ro,mastodon,4.3.0-alpha.0+glitch,26,23,26,22548
mastodonti.st,mastodon,4.2.0,5,4,5,6766
mastodon.jackalopes.xyz,mastodon,4.1.4+glitch,6,3,6,166
moosetodon.com,mastodon,4.2.1,2,1,1,561
fed.chris-shaw.dev,mastodon,4.2.1,1,1,1,41
killyour.dad,pleroma,2.5.54-594-gb094e92c.develop+soapbox,3,2,3,10
mk.asie.pl,misskey,13.14.2,2,null,null,1236
derg.social,firefish,1.0.3,80,51,78,9733
austintexas.social,mastodon,4.2.1,28,5,9,20791
misskey.osyakasyama.me,misskey,2023.10.1,3,null,null,4016
0w0.is,akkoma,3.10.4-1-gebfb617b,46,44,57,142637
social.ds106.us,mastodon,4.2.0,55,32,45,14013
mi.nu1.dev,misskey,2023.9.3,5,null,null,1264
mastodon.nl,mastodon,4.2.0,40132,7251,16999,1403089
ussr.rumiserver.com,misskey,2023.9.3,16,null,null,1587
mk.tenpest-moon.uk,misskey,12.119.2,4,2,3,13513
queerspirituality.social,mastodon,4.2.0,7,6,7,2703
mascodon.jp,mastodon,4.2.1+mscdn,32,24,41,9140
berserker.town,mastodon,4.1.3+glitch,112,52,91,62909
walking.masto.host,mastodon,4.2.1,2,1,1,520
researchbuzz.masto.host,mastodon,4.2.1,48,9,18,6646
hello.2heng.xin,mastodon,3.5.3,2405,154,308,219673
reax.work,misskey,2023.10.1,21,null,null,3213
misskey.magokorobin.com,misskey,12.70.0,null,null,null,null
uchu-teien.com,akkoma,3.10.4,24,16,24,5223
retro.pizza,mastodon,4.2.1,948,368,666,201643
yamashita.social,firefish,1.0.1,6,1,4,2254
ohai.social,mastodon,4.2.1,38769,3901,10798,1024420
nonbiridon.hostdon.ne.jp,mastodon,4.2.1,1,1,1,22264
dmv.community,mastodon,4.2.1,503,164,308,56916
misskey.kanarikanaru.com,misskey,2023.9.3-bsk-2.1,79,null,null,781
esper.lol,mastodon,4.2.1,9,4,10,453
toot.iani.art,mastodon,4.2.1,3,2,2,6754
cloudisland.nz,mastodon,4.2.1,180,139,155,222268
cryptodon.chat,mastodon,4.1.3,44,9,29,13498
tbs.social,mastodon,4.1.5,16,9,18,6020
mastodon.laurenweinstein.org,mastodon,4.1.3,1,1,1,12931
n7.social,misskey,2023.10.0,71,null,null,3103
kawane.misskey.online,misskey,13.14.2,12,null,null,1858
ynotnetwork.com,mastodon,4.1.6,128,7,46,475
hilo0.hostdon.ne.jp,mastodon,4.2.1,2,2,2,124
misskey.marib.one,misskey,13.13.2,12,null,null,112
pagan.plus,hometown,4.0.10+hometown-1.1.1,465,141,272,68507
yamagadon.com,mastodon,4.2.1,3,1,1,928
wpbuilds.social,mastodon,4.2.1,126,25,45,4436
sk.204.jp,misskey,2023.9.3,779,null,null,13304
mstdn.in.th,mastodon,4.2.1,1351,380,1422,66292
climatejustice.social,mastodon,4.2.1-stable+ff1,9653,1195,2897,369020
fairdinkum.one,mastodon,4.2.0,9,6,10,1395
ecoevo.social,mastodon,4.2.1,5147,1545,2880,197103
poweredbygay.social,mastodon,4.2.1,1317,90,292,14780
alltomorrows.party,mastodon,4.2.1,12,12,14,2457
social.tchncs.de,mastodon,4.2.1,21249,3173,4817,2450769
social.jacklinke.com,mastodon,4.2.1,1,1,1,275
ward2.bouvardia.icu,misskey,13.11.3,8,null,null,15693
mctetsudou.net,mastodon,4.2.1,24,5,7,1069
iqhina.org,misskey,2023.10.1,97,null,null,60698
mstdn.sagami-yashiro.net,mastodon,4.2.1,2,1,2,592
diaspodon.fr,mastodon,4.2.1,253,72,102,153416
tmss2291-1.hostdon.ne.jp,mastodon,4.2.1,1,1,1,84
mastodon.ktachibana.party,mastodon,4.2.1,138,34,36,43887
socel.net,mastodon,4.2.1,8392,802,1978,304605
nap.social,mastodon,4.3.0-nap-ver,10,12,12,339
geeknews.chat,mastodon,4.2.1,47,7,10,12254
mi.caind.live,misskey,2023.9.1,15,null,null,886
miss.kabeuchi.monster,misskey,2023.10.0,5,null,null,608
mstdn.hokkaido.jp,mastodon,4.1.0,102,30,63,46584
aethy.com,mastodon,4.2.0,13426,6069,12646,620539
mstdn.kemono-friends.info,mastodon,4.1.9,2082,195,307,9063362
handon.club,mastodon,4.1.9,329,161,176,3765048
ff.mizunashi.work,firefish,1.0.4-beta31,3,1,1,421
trismegiste.life,misskey,13.14.2,4,null,null,1013
firefish.katniss.top,firefish,1.0.4-beta,3,1,1,0
social.kazehiko.com,mastodon,4.2.1,1,1,1,1493
this.mouse.rocks,mastodon,4.2.1,51,18,26,235546
burnthis.town,mastodon,4.1.4,75,36,71,11320
gravure.club,pleroma,2.5.54-321-g17c336de-develop,3,2,2,3170
tablegame.mstdn.cloud,mastodon,4.2.0,1333,113,186,1065912
worldc.one,firefish,1.0.3,9,7,7,10363
neet.social,akkoma,3.10.4,18,18,23,533
nicomedkey.cc,misskey,2023.9.3-nmk1.1.2,172,null,null,57095
magimeche.zarchbox.fr,firefish,1.0.3,3,1,1,1616
mastodon-swiss.org,mastodon,4.2.1,769,139,452,1732
kanina.be,mastodon,4.1.7,13,1,7,6178
progressivecafe.social,mastodon,4.2.1,29,29,29,86687
kind.social,mastodon,4.2.1,3373,1865,3302,220356
social.pornstarpromote.com,firefish,1.0.3,5,3,3,55
munesky.net,misskey,13.14.2,13,null,null,2486
paseo.casacamelia.xyz,misskey,2023.9.3,2,null,null,6772
jauntygoat.net,mastodon,4.0.10,31,9,21,8469
frennet.xyz,misskey,2023.10.1,13,null,null,7915
telegrafverket.cc,mastodon,4.2.0,15,11,15,695
eicker.news,mastodon,4.2.1,12,12,12,4869
denton.social,mastodon,4.1.4,58,21,43,6780
pl.hyperboreal.zone,akkoma,3.9.3-0-g9d7c877,22,3,13,5158
kapuverse.net,mastodon,4.2.1,3,2,2,208
chin-co-ne.co,mastodon,4.2.1,1,1,1,99707
xoxo.zone,mastodon,4.2.0,662,286,345,161310
headpat.cafe,akkoma,3.10.4-0-g0af8e93,80,40,61,694
im.alstadheim.no,mastodon,4.2.1,3,1,2,1443
m.smdr.io,misskey,13.4.0,7,null,null,143
mstdn.party,mastodon,4.1.9,50123,4578,14311,1298726
social.circl.lu,mastodon,4.1.9,42,10,22,4015
misskey.gamelore.fun,misskey,2023.10.2-beta.2,3155,null,null,3918555
mapstodon.space,mastodon,4.2.1,1963,513,897,53865
dev.fedicity.net,mastodon,4.2.0,1,1,1,25
labyrinth.social,hometown,4.0.10+hometown-1.1.1,16,12,14,23775
worldkey.io,mastodon,4.2.1,765,218,417,112757
mdn.hinaloe.net,mastodon,3.5.14-86db5d350,34,1,1,18342
digipres.club,hometown,4.0.10+hometown-1.1.1,674,278,392,83520
nightly.fedibird.com,fedibird,0.1,351,192,307,178609
piaille.fr,mastodon,4.2.0,27915,9231,17032,1454902
wien.rocks,mastodon,4.2.1-stable+ff1,4269,968,1943,186513
social.proximitysculptor.com,mastodon,4.2.0-rc2+glitch,2,1,1,607
toot.wales,mastodon,4.2.1,13271,1268,2887,544425
lightcrystal.fedicity.net,mastodon,4.2.1,22,21,22,4377
eightpoint.app,mastodon,4.1.3+glitch,772,167,368,215626
writing.exchange,mastodon,4.2.1,3597,560,1087,435055
niscii.xyz,misskey,2023.10.1,14,null,null,54593
ottawa.place,hometown,4.0.10+hometown-1.1.1,205,71,131,41982
thepit.social,mastodon,4.2.1,210,90,137,32646
misskey.pm,firefish,1.0.4-beta,176,33,153,23010
masto.galooph.com,mastodon,4.2.1,1,1,1,695
m.cmx.im,mastodon,4.2.1,42090,10496,17335,4705416
gleasonator.com,pleroma,2.5.54-2828-g87fb13b5.gleasonator+soapbox,766,81,219,206664
tro9.life,firefish,1.0.4-beta,3,1,1,94
nondeterministic.computer,mastodon,4.2.0,3,3,3,2438
mi.hoshisaki-h.com,misskey,2023.9.3-hoshi.41.2.A.0.849,27,null,null,4739
curling.social,mastodon,4.1.9,60,18,27,3647
mstdn.asterism.xyz,mastodon,4.2.1-plusminus.2,2,2,2,240224
mstdn.glorificatio.org,mastodon,4.1.6,246,10,25,23773
goettingen.social,mastodon,4.2.1,7,5,5,259
cr8r.gg,mastodon,4.2.0-beta1+glitch,3482,286,1412,38406
social.pseudo-whiskey.bar,misskey,13.14.2,4,null,null,143323
piggo.space,pleroma,2.5.1,21,4,6,75932
mistodon.cloud,mastodon,4.2.1,110,58,78,287493
amefur.asia,mastodon,4.2.1,1,1,1,191829
mstdn.pulala.net,mastodon,4.2.1,3,3,3,496
bolha.one,mastodon,4.2.1,34,28,39,9447
eupolicy.social,mastodon,4.2.1,1321,356,626,100094
zy.gy,akkoma,3.7.1-yf,7,null,null,3347
45sukey.net,misskey,2023.9.3,813,null,null,673350
misskey.dev,misskey,11.37.1-20230930181843,null,null,null,null
social.slat.org,mastodon,4.1.4,1189,74,159,22231
brandenburg.social,mastodon,4.2.1,149,54,86,9638
reima.rocks,mastodon,4.2.1,1,1,1,1686
cktn.todon.de,mastodon,4.2.1,4,1,4,7177
freie-re.de,mastodon,4.2.1,15,13,16,1312
yiff.life,mastodon,4.2.0+glitch,3670,766,1243,995952
kertwang.me,mastodon,4.2.1,1,1,1,8
radfae.social,mastodon,4.2.1,17,5,9,462
nerdcore.social,akkoma,3.10.3,5,1,1,9
mastodon.fjerland.no,mastodon,4.2.0,1,1,1,261
calc.panta.systems,firefish,1.0.3,3,2,2,8568
p1.ains-no-misskey.com,misskey,2023.10.1,3,null,null,983
social.mckendrick.io,mastodon,4.2.1,1,1,1,93
nya.social,misskey,2023.9.2,59,null,null,159425
ne.bal.ovh,misskey,12.122.0,18,13,17,601
infosec.place,akkoma,3.9.3,73,14,44,2162
social.penguinability.net,mastodon,4.1.10,16,12,15,228560
pleroma.neuromante.net,akkoma,3.10.4-1-gebfb617b,5,1,1,6602
strelizia.net,akkoma,3.10.3-1545-g75e901f3-akkoma,12,6,8,107167
social.camph.net,misskey,13.14.2,64,null,null,3428
takoverse.syutin.com,mastodon,4.2.1,4,3,4,1984
indg.club,mastodon,4.1.1,126,21,46,4851
pl.tkammer.de,pleroma,2.5.0,2,1,1,6716
social.balpha.de,mastodon,4.2.1,1,1,1,729
sebitech.social,mastodon,3.5.1,11,4,4,14
schaumburg.social,mastodon,4.2.1,28,25,27,45437
ettanity.uk,mastodon,4.2.1,2,2,2,33
pocketpixels.club,mastodon,4.2.1,36,16,25,1350
mastodon.astifter.com,mastodon,4.1.9,1,1,1,139
gn-tronics.dev,mastodon,4.2.0,2,2,2,421
literatur.social,mastodon,4.2.1,828,375,518,268267
masto.futbol,mastodon,4.2.1,3,3,3,444
atmasto.com,mastodon,4.2.1,2,2,2,1085
waag.social,mastodon,4.1.9,83,28,38,10078
illo.social,mastodon,4.2.1,21,15,19,1330
people.unfoo.net,akkoma,3.10.4,6,2,3,53
toot.ikata.co,mastodon,4.1.4,3,1,3,277
blahaj.zone,hajkey,2023.09.13-rc1,1463,496,1384,140687
shigusegubu.club,pleroma,2.5.54-6504-ga5048c27-shigusegubu,111,5,9,527092
social.genya0407.link,mastodon,4.2.0,2,0,0,839
mastodon.la,mastodon,4.2.0,2460,284,702,468886
mstdn.hostdon.jp,mastodon,4.2.1,114,6,25,847
plr.ph3j.com,pleroma,2.4.52-686-g497cd5d5-develop,3,2,2,1949
slime.global,hometown,4.0.6+hometown-1.1.1,81,29,38,575577
toast.dragon2611.net,mastodon,4.2.1,2,2,2,1199
whitehouse.org,mastodon,4.2.1,5,2,2,493
m.teela.jp,mastodon,4.2.1,6,4,4,123
opencoaster.net,mastodon,4.2.0,313,148,494,6272
msky.crawling-with-love.com,misskey,13.6.1-flestudio-v1.1.3,13,null,null,52522
velocipederider.com,mastodon,4.2.1,3,3,3,5524
volumetrics.social,mastodon,4.2.1,5,3,3,547
thingy.social,mastodon,4.2.1,1,1,1,5310
akko.dontexist.org,akkoma,3.10.4-0-gebfb617,1,1,1,30
transfem.social,sharkey,2023.10.2,182,null,null,19374
simkey.net,misskey,12.120.0-simkey-2023-07-10,50,13,27,125928
esoteric.party,mastodon,4.2.1,11,7,7,3384
mtdn.zenmai.org,mastodon,4.2.0,4,1,4,1241
social.apreslanu.it,mastodon,4.1.10,93,9,11,13381
mstdn.mystikos.org,mastodon,4.2.1,5,1,1,170
social.sigsoft.org,mastodon,4.2.1,71,12,34,285
fedi.tyil.nl,misskey,13.13.2,3,null,null,3604
smithtodon.org,mastodon,4.2.1,3,1,1,1430
mastodon.gideonstar.de,mastodon,4.1.9,1,1,1,1159
mitsukey.cf,misskey,2023.10.1,136,null,null,12998
social.kyzune.com,akkoma,3.10.4-1-gebfb617b,1,1,1,0
kurage.cc,mastodon,4.3.0-alpha.0,133,12,29,32033
akkoma.nl,akkoma,3.10.4-0-gebfb617,6,2,5,69
gingadon.com,mastodon,4.1.1,459,46,72,541295
tiz.social,mastodon,4.2.1,29,11,27,192
social.matsuuratomoya.com,mastodon,4.2.0,1,1,1,739
misachan.net,misskey,2023.10.1,4,null,null,753
void.rehab,firefish,1.0.4-beta31.inpatient10,32,22,30,44325
social.nil.nu,mastodon,4.2.1,1,1,1,2056
misskey.syakesaba.com,misskey,13.14.2,3,null,null,106
mstdn-jp.site,mastodon,4.2.2,101,5,5,27325
commons.whatiwanttoknow.org,mastodon,4.1.2,2,1,1,3431
mugicha.club,pleroma,2.5.54-594-gb094e92c.develop+soapbox,35,30,34,141166
freeatlantis.com,mastodon,4.2.1,3721,293,567,1817634
mastodon.liferuler2001.co.uk,mastodon,4.2.1,3,1,1,263
mastdn.social,mastodon,4.2.1,194,33,89,27437
reika-smapuri.com,mastodon,4.3.0-alpha.0,1,2,2,14
misskey.backspace.fm,misskey,2023.9.3-bsk-2.1.2,2313,null,null,1140914
mustardon.tokyo,mastodon,4.0.2,330,2,8,49468
mstdn.bmw-and-more.info,mastodon,4.2.1,1,1,1,9674
mastodon.mauve.moe,mastodon,3.5.10,12,2,5,2879
nso.group,mastodon,4.2.0-rc2,62,31,62,1094
666.glitchwit.ch,mastodon,4.2.1,13,5,6,10646
an.exchange,mastodon,4.2.0,8,4,7,1166
xyzzy.link,akkoma,3.10.3-201-gc8e08e9c-develop,17,8,12,26204
mstdn.fujii-yuji.net,mastodon,4.2.1,1,1,1,41732
mastodon.ar.al,mastodon,4.2.1,1,1,1,29940
mk.toast.cafe,foundkey,13.0.0-preview6,21,9,16,110126
crossdon.com,mastodon,4.2.1,1,1,1,1037
avgeek.social,mastodon,4.2.1,101,33,53,3900
mastodon.tokyo,mastodon,4.2.1+tokyo,36,13,21,2844
eepy.moe,firefish,1.0.3,22,18,20,18392
m.estampie.work,misskey,2023.10.1-estampie,3,null,null,271
annex.coffee-break.cc,firefish,1.0.4-beta31,75,53,73,4403
misskey.meglia.dev,misskey,13.13.2,4,null,null,213
kopimi.space,mastodon,4.2.1,15,10,20,1941
pokemon.men,mastodon,4.1.3,79,6,13,109287
mstdn.books-lighthouse.com,mastodon,4.0.2,50,41,57,25667
misskey.akyoz.net,misskey,13.14.2,3,null,null,1284
co.misskey.io,misskey,13.14.2,341,null,null,12089
links.potsda.mn,mastodon,4.1.9,92,35,48,8723
chalk.moe,mastodon,4.2.0+glitch,21,14,22,12340
umaikebab.xyz,mastodon,4.2.1,8,8,8,3272
misskey.sakaki333.com,misskey,13.14.2,23,null,null,5469
radio.quaqoostore.net,mastodon,4.2.1,2,2,2,456
mstdn.nekonote.cc,mastodon,4.2.1,1,1,1,5718
darapapa.misskey.one,misskey,2023.9.3,4,null,null,850
unbound.social,mastodon,4.2.1,178,24,56,10689
digineko.net,mastodon,4.2.1,1,1,1,4479
social.lansky.name,mastodon,4.2.1,6,5,5,142564
mosw.work,mastodon,4.2.1,1,1,1,309381
misskey.canicula.jp,misskey,2023.10.1,5,null,null,1
furtenbach.social,mastodon,4.2.0,3,3,3,1611
social.kontrollapparat.de,mastodon,4.2.1,4,4,4,663
byeolvit.space,misskey,2023.9.1,8,null,null,3511
weirdo.network,mastodon,4.2.1,148,46,106,16093
social.unitoo.it,akkoma,3.10.4-1-gebfb617b,4,1,3,708
mstdn.mimikun.jp,mastodon,4.1.5,4,2,2,182633
stroud.social,akkoma,3.10.4,2,2,2,2303
room19.com,mastodon,4.1.2,22,7,11,9615
higheredweb.social,mastodon,4.2.1,81,17,34,3235
fediverse.giorgiocomai.eu,pleroma,2.5.1,2,1,4,344
chaos.social,mastodon,4.2.1,11375,6108,7298,5162984
norrebro.space,mastodon,4.1.4,228,69,133,34164
cdrum.social,mastodon,4.2.1,1,1,1,604
akko.spla.tech,akkoma,3.10.4,2,1,1,2
f.familie-will.at,firefish,1.0.3,4,2,2,5330
mastodon.nu,mastodon,4.2.1,16528,3180,7262,494646
ak.angelstrapped.com,akkoma,3.9.3,1,1,1,8041
cx.opantu.jp,misskey,13.14.2-wkh4,7,null,null,110
borahae.love,mastodon,4.2.0+glitch,152,20,39,5231
embassy.social,mastodon,4.2.1,8,4,4,83761
laserdisc.party,mastodon,4.2.1,83,30,38,246749
shrimple.aagaming.me,firefish,1.0.3,9,5,8,3309
mstdn.bgmn.net,mastodon,4.2.1,1,1,1,80
eigadon.net,mastodon,3.1.4,1298,1233,2063,26156
nitiasa.com,mastodon,4.1.4,52,4,27,12419
mastodon.sethb.com,mastodon,4.2.1,1,1,1,295
vrc-ins.net,mastodon,4.2.1,35,13,31,9165
varmint.town,mastodon,4.2.0,3,3,3,1114
mstdn.love,mastodon,4.1.10,342,72,148,501875
social.yoichihirai.com,pleroma,2.5.5,1,1,1,46
mastodon.g2od.ch,mastodon,4.2.1,6,5,5,518
mastodonapp.uk,mastodon,4.1.8,75116,9801,26202,2373615
tmux.f5.si,mastodon,4.2.1,1,1,1,46
mastodon.tedomum.net,mastodon,4.2.1,307,51,72,164427
mstdn2.ht164.jp,mastodon,4.1.4-ht,4,1,3,2993
asphodel.rip,akkoma,3.10.4,6,5,6,1051
machteburch.social,mastodon,4.2.1,901,255,428,50715
fribygda.no,mastodon,4.2.1,93,44,78,35139
reimalab.art,mastodon,4.2.1,1,1,1,72
mxtthxw.art,mastodon,4.2.0,5,3,6,1721
soc.kvet.ch,mastodon,4.2.1,4,3,3,2481
zzz.hirunekingdom.com,mastodon,4.2.1,4,4,4,1541
line.yamanote.tokyo.jp,mastodon,4.1.4,3,1,1,2629
social.cbinary.sk,mastodon,4.0.2,5,3,3,3437
equestria.social,mastodon,4.2.1,2877,730,1504,228585
dannythe.site,mastodon,4.2.1,11,1,1,1083
mb.antho.dev,firefish,1.0.4-beta31,3,1,1,178
misskey.t1nyb0x.cloud,misskey,2023.10.1,42,null,null,5269
mastodon.iftas.org,mastodon,4.2.1,3,2,3,194
misskey.kartolitan.com,misskey,13.14.2,2,null,null,55
misskey.noellabo.jp,misskey,2023.10.1,2956,null,null,805103
machikadon.online,mastodon,4.2.1,165,35,61,146469
pleroma.skyshanty.xyz,pleroma,2.5.3,12,5,9,35242
ruby.social,mastodon,4.2.1,5660,1483,2460,202283
hkdon.com,mastodon,4.2.1,2,3,3,181
cybervillains.com,mastodon,4.3.0-alpha.0,255,37,88,5546
bark.lgbt,mastodon,4.2.0,4972,783,787,130697
defcon.social,mastodon,4.2.1,11222,2111,5862,151548
www.nekotodon.com,mastodon,4.2.1,6,1,3,391
super-gay.co,mastodon,4.2.1,151,81,148,21840
soc.stardust.wtf,firefish,1.0.4-beta31,4,1,2,123
misskey.dobu.page,misskey,13.14.2,4,null,null,398
pub.lunakit.org,misskey,13.13.2,37,null,null,558
retrochat.online,mastodon,4.2.1,83,36,58,13969
lgbt.io,mastodon,4.2.0+glitch,2186,95,211,311647
burn.capital,mastodon,4.1.4,19,14,16,14576
mstdn.yaesu-eas.tokyo,mastodon,4.1.9,2,2,2,14331
kids.0px.io,misskey,2023.9.3-kids,229,null,null,5400
mstdn.nere9.help,mastodon,3.5.5,470,119,212,1161856
misskey.resonite.love,misskey,2023.10.1-resonite-love.0,222,null,null,34038
gamingjp.org,mastodon,4.2.1,61,28,50,116048
fediphilosophy.org,mastodon,4.1.4,99,37,66,7952
u.misskey.studio,misskey,13.6.1,20,null,null,7992
sowi.space,mastodon,4.1.4+glitch,2,1,1,661
msky.7shiro.com,misskey,2023.10.0,3,null,null,155
mi.ap-log.net,misskey,2023.10.2-beta.1,24,null,null,3069
toolsforthought.rocks,mastodon,4.2.0,45,16,22,15261
nafo.uk,mastodon,4.2.0,1348,301,764,307568
mstdn.schoolidol.club,mastodon,4.2.0,196,31,51,9722
waldvogel.family,mastodon,4.2.1,2,1,1,1037
mastodon.ie,mastodon,4.2.1,20685,3507,7272,1007563
nerdculture.de,mastodon,4.2.1,10141,2444,3649,502366
edi.social,mastodon,4.1.9,19,8,11,1746
computering.pro,akkoma,3.10.4-0-gebfb617,6,2,4,162
ykzts.technology,mastodon,4.3.0-nightly.2023-10-17,1,1,1,1418
mi.sunset0916.net,misskey,2023.10.1,17,null,null,18371
misskey.m544.net,meisskey,10.102.671-m544,1789,169,337,1526963
climatejustice.rocks,mastodon,4.2.1-stable+ff1,3166,280,280,82787
chai.kibbutz.gay,akkoma,3.10.4-0-gebfb617,15,17,17,2140
wstrsd.masto.host,mastodon,4.2.1,2,2,2,8204
spoonie.community,mastodon,4.1.4,25,10,12,4677
social.uden.ai,pleroma,2.4.53-7-g0d08f049.develop+soapbox,164,40,100,8731
lipsia.casa,mastodon,4.2.0,80,33,55,8560
pinnipedia.fedicity.net,mastodon,4.2.1,2,2,2,1111
law-and-politics.online,mastodon,4.1.4,2,2,2,1076
nyanya.net,mastodon,4.3.0-alpha.0+nnn,16,9,14,976
regenerate.social,mastodon,4.2.1,63,28,48,12184
vtdon.com,mastodon,4.2.1,1047,294,872,101524
geeks.cafe,mastodon,4.2.1,38,2,2,525
mymastadon.link,mastodon,4.2.1,1,1,1,1084
them.cheeky.wales,firefish,1.0.3,3,1,1,884
dlx.pink,akkoma,3.10.4-1-gebfb617b,2,2,2,48
karlsruhe-social.de,mastodon,4.1.3,42,19,31,5511
werewolf.town,firefish,1.0.3,7,6,6,237
den6262.net,misskey,13.14.2,2,null,null,136
cozymech.com,akkoma,3.9.3-28-g9d7c877d,1,1,1,270
beepboop.one,mastodon,4.2.1,9,5,5,60491
neuromatch.social,mastodon,4.2.0+glitch,1218,423,766,53010
mastodon-uk.net,mastodon,4.2.1,539,169,555,65752
mastodon.melin.org,mastodon,4.2.1,14,11,11,10138
couch.beerriot.com,akkoma,3.10.4-1-ga4c15863-no-fetch-with-local-limit-3-10-4,3,2,3,212
cld2a.ains-no-misskey.com,misskey,2023.10.1,4,null,null,306
chunchun.world,misskey,2023.10.1,100,null,null,33376
p-dev.net,mastodon,4.2.0,2,2,2,109
maniakey.com,misskey,2023.9.3,509,null,null,198228
misskey.noeling.com,misskey,13.14.1,19,null,null,943
kavlak.uk,mastodon,4.1.4,5,2,2,3078
futurist.info,mastodon,4.2.0,2,2,2,3415
misskey.parpok.lomza.pl,misskey,2023.10.0,14,null,null,2086
social.crouchingpanda.co.za,mastodon,4.2.0,3,2,2,1653
dvd.chat,firefish,1.0.5-dev4,729,240,723,45399
plrm.izaten.net,pleroma,2.5.5,1,1,1,577
pertsch.social,mastodon,4.2.1,1,1,1,602
artsio.com,mastodon,4.0.11,3973,176,699,18051
ihatebeinga.live,akkoma,3.10.3-194-g063e3c0d-develop,70,14,22,289141
fedi.xerz.one,akkoma,3.9.3-0-g9d7c877,1,1,1,38880
mastodontech.de,mastodon,4.2.1,16528,3410,6461,327765
spore.social,mastodon,4.2.1,1771,427,551,165811
tokoyo.social,misskey,13.13.2,6,null,null,29
sup.lelehier.de,firefish,1.0.5-dev7,12,4,9,956
mikumikudance.cloud,mastodon,4.1.9,560,27,100,65894
social.urspringer.de,mastodon,4.1.6,2,2,2,11358
weatherishappening.network,mastodon,4.1.4,98,25,49,59271
breakpoint.cafe,mastodon,4.2.1,7,5,6,2428
idf.social,mastodon,4.1.5,148,38,47,15934
mastodon.parleur.net,mastodon,4.2.0,6,3,3,30094
sauropods.win,mastodon,4.2.1,650,194,372,129896
mastodon.martin-benson.com,mastodon,4.2.0,2,2,2,281
social.sdfeu.org,mastodon,4.2.1,50,27,48,1893
social.kramse.org,mastodon,4.2.1,5,4,4,4042
rama3.jp,mastodon,4.2.1,1,1,1,1426
cal.vino.blue,firefish,1.0.5-dev17,12,2,10,30682
ostatus.ikeji.ma,pleroma,2.5.0,777,37,621,5409
mstdn.internetyame.ro,mastodon,4.1.6,3,3,3,555
shitpost.cloud,pleroma,2.5.50-2286-g4c0ab884.develop+soapbox,127,35,99,45312
social.snorklr.com,mastodon,4.2.0,470,53,143,48836
social.tcit.fr,mastodon,4.3.0-alpha.0+glitch,22,6,8,17156
poto.cafe,mastodon,4.1.9,19,11,16,2217
social.macer.life,mastodon,4.1.9,1,1,1,1061
dogno.se,mastodon,4.3.0-alpha.0+glitch,21,8,8,888
pleroma.m68k.church,pleroma,2.5.2,3,2,3,887
mammut.cyou,mastodon,4.2.1,4,3,4,2758
burnout.cafe,mastodon,4.2.0-beta1,4,3,3,510
superpets.social,mastodon,4.2.1,84,23,41,3042
misskey.mochi33.com,misskey,13.13.2,10,null,null,74
misskey.sk85.org,misskey,13.14.2,3,null,null,313
klog.tw,mastodon,4.2.1~klog,108,65,115,14410
xscape.top,pleroma,2.4.4,334,null,null,21934
ill.moe,pleroma,2.5.5-1110-gf966abe4,3,2,2,799
mst.muiiio.com,mastodon,4.2.0,3,2,3,6104
misskey.tobitti.net,misskey,13.14.2-io.10,3,null,null,69
misskey.network,misskey,2023.9.2-network-1,18,null,null,4733
huaskey.theworkpc.com,misskey,2023.10.0,3,null,null,482
malenfant.net,mastodon,4.2.1,1,1,1,755
mstdn.myifn.de,mastodon,4.2.0+glitch,21,7,10,5000
tyrol.social,mastodon,4.2.1-stable+ts1,1240,223,362,43218
z.kvche.ch,misskey,12.119.2-kkcakey,3,2,2,11701
cville.online,mastodon,4.2.1,208,46,112,24424
istanza.ch,mastodon,4.2.1,2,2,2,2175
janerationx.social,mastodon,4.2.1,1,1,1,1528
social.design.systems,mastodon,4.2.1,36,13,23,1695
misskey.damnx.net,misskey,2023.9.3,3,null,null,29212
wp-social.net,mastodon,4.2.1,244,27,44,12267
social.thetransagenda.gay,akkoma,3.10.4-0-gebfb617,1,1,1,639
snowdon.jp,mastodon,3.4.0,30,1,2,18230
mi.nxsux.xyz,misskey,2023.10.1,4,null,null,1488
ostfrie.se,akkoma,3.10.2-0-gba1ed37,3,2,2,576
tighnari.site,mastodon,4.2.0,3,1,2,1351
misskey.heonian.org,misskey,2023.10.0,33,null,null,32631
mastodon.transneptune.net,mastodon,4.2.1,16,6,7,7435
a2mi.social,mastodon,4.1.10,412,149,234,177657
m.huling.org,misskey,2023.10.0-poskey-4ba6f45,17,null,null,15509
social.thiskurt.me,mastodon,4.2.1,4,1,1,19577
social.opendium.com,mastodon,4.2.0,1,1,1,15
social.wildeboer.net,mastodon,4.2.1,1,1,1,3979
don.wsoft.ws,mastodon,4.2.1,13,12,13,517
transportation.social,mastodon,3.5.3,91,27,66,6527
m.djw.li,mastodon,4.2.1,2,1,1,1456
23.illuminati.org,mastodon,4.2.0,150,20,71,1297
pao.moe,mastodon,4.2.1,101,6,8,30913
async.social,mastodon,4.2.1,19,3,7,296
libretweet.com,mastodon,4.1.3,2,1,2,1897
