domai,application,version,accounts,MAU,HYAU,posts
lire.boitam.eu, bookwyrm, 0.7.4,15,2,5,1512
bookwyrm.de, bookwyrm, 0.7.1,15,4,13,51
reading.taks.garden, bookwyrm, 0.7.1,14,2,3,1697
boundcovers.com, bookwyrm, 0.7.3,9,4,4,3894
supernormalreads.nl, bookwyrm, 0.7.1,9,2,8,735
bookwyrm.tardis.pw, bookwyrm, 0.7.3,8,1,2,1740
books.bimbiribase.xyz, bookwyrm, 0.7.1,7,1,2,243
books.raphus.social, bookwyrm, 0.6.6,7,0,0,21
b.skobk.in, bookwyrm, 0.7.1,7,3,6,242
reads.netsphere.pub, bookwyrm, 0.7.4,7,2,3,78
book.snailhuddle.org, bookwyrm, 0.7.3,6,1,1,452
books.pfft.lol, bookwyrm, 0.7.3,6,0,1,183
books.ihatebeinga.live, bookwyrm, 0.7.3,6,1,4,261
books.duck.cafe, bookwyrm, 0.7.4,6,4,6,89
secretbearlibrary.org, bookwyrm, 0.6.6,5,1,1,340
bw.fiat-tux.fr, bookwyrm, 0.6.6,5,1,2,222
books.regenpfeifer.net, bookwyrm, 0.7.3,5,0,2,9
wyrm.glauca.space, bookwyrm, 0.5.5,5,0,0,36
books.rollnotice.com, bookwyrm, 0.6.6,5,1,1,55
books.idas.social, bookwyrm, 0.7.1,5,1,3,278
biblio.thekambattu.rocks, bookwyrm, 0.6.6,4,2,2,128
libros.rizoma1.ar, bookwyrm, 0.7.3,4,1,2,164
library.southfox.me, bookwyrm, 0.7.4,4,1,1,236
read.iridescent.nz, bookwyrm, 0.6.0,4,1,1,257
leselog.de, bookwyrm, 0.7.3,4,1,4,95
books.ignifi.social, bookwyrm, 0.7.1,4,0,1,57
book.dadalo.pl, bookwyrm, 0.7.3,4,1,3,72
mislibros.net, bookwyrm, 0.7.3,4,0,2,18
read.oddte.ch, bookwyrm, 0.7.3,4,0,2,8
the.me.uk, bookwyrm, 0.7.3,4,1,4,147
book.itinerariummentis.org, bookwyrm, 0.7.4,4,3,4,74
book.dmz.ovh, bookwyrm, 0.7.1,3,1,3,30
books.josh.tel, bookwyrm, 0.7.3,3,1,1,212
bookwyrm.offby1.net, bookwyrm, 0.7.3,3,1,1,165
les-carnets-de-lecture-de.l-arbre-a-bafouilles.fr, bookwyrm, 0.7.1,3,1,1,101
books.hccp.org, bookwyrm, 0.6.3,3,1,1,197
bookwyrm.lovetux.net, bookwyrm, 0.7.4,3,2,2,435
biblio.barca.dix.asia, bookwyrm, 0.7.3,3,1,3,36
bookwyrm.teamb.space, bookwyrm, 0.7.1,3,1,1,140
books.chrisco.me, bookwyrm, 0.7.1,3,1,3,31
grimoire.party, bookwyrm, 0.7.4,3,1,2,210
books.lightnovel-dungeon.de, bookwyrm, 0.6.6,3,0,1,6
bonn.rocks, bookwyrm, 0.7.4,3,0,2,6
wor.mnino.us, bookwyrm, 0.7.1,3,0,0,0
bookwyrm.roguewave.observer, bookwyrm, 0.7.1,3,0,2,123
bookshelf.hutchie.scot, bookwyrm, 0.7.3,3,2,3,56
bookwyrm.nops.red, bookwyrm, 0.7.4,2,1,1,172
bookwyrm.fivest.one, bookwyrm, 0.7.3,2,0,1,25
books.storydragon.nl, bookwyrm, 0.7.1,2,1,1,230
books.kestrelsnest.social, bookwyrm, 0.7.1,2,1,1,112
library.chatan.cc, bookwyrm, 0.7.1,2,1,1,1746
books.aleteoryx.me, bookwyrm, 0.7.1,2,0,1,28
b.falai.se, bookwyrm, 0.7.1,2,1,1,49
reads.caskey-demaret.se, bookwyrm, 0.7.3,2,1,1,301
books.underscore.world, bookwyrm, 0.7.4,2,1,1,189
books.jacobhaddon.com, bookwyrm, 0.7.1,2,1,1,63
books.chriswb.dev, bookwyrm, 0.7.4,2,1,1,318
bookwyrm.joeydrew.studio, bookwyrm, 0.7.1,2,0,2,8
bookwyrm.wimmer-edv.de, bookwyrm, 0.6.6,2,0,1,56
alexandria.the1977project.org, bookwyrm, 0.7.4,2,1,1,294
bw.bierzilla.fr, bookwyrm, 0.7.1,2,1,1,105
books.dysfunctional.technology, bookwyrm, 0.7.1,2,0,2,2
lepisma.novababilonia.me, bookwyrm, 0.7.1,2,1,2,8
books.ahermitforhire.net, bookwyrm, 0.7.1,2,2,2,21
my.bookrastinating.com, bookwyrm, 0.7.3,2,0,2,53
bookwyrm.nx-pod.de, bookwyrm, 0.7.4,2,0,1,0
bookwyrm.lyriste.fr, bookwyrm, 0.6.4,2,1,1,18
bookwyrm.internationalotaku.com, bookwyrm, 0.7.4,2,1,1,141
books.brunn.email, bookwyrm, 0.7.4,2,1,1,13
books.rhumbs.fr, bookwyrm, 0.6.4,2,1,2,1073
books.egalwaat.lu, bookwyrm, 0.7.3,2,1,2,280
books.nvitucci.social, bookwyrm, 0.7.1,2,0,1,1
bookwyrm.adikos.net, bookwyrm, 0.7.1,2,1,1,47
books.boxpleats.com, bookwyrm, 0.7.1,2,1,1,26
bw.kudomaru.com, bookwyrm, 0.7.1,2,0,2,15
bookwyrm.keota.co.uk, bookwyrm, 0.7.1,2,1,2,0
bookwyrm.doserver.top, bookwyrm, 0.7.4,2,0,2,4
books.pifferi.io, bookwyrm, 0.7.4,2,2,2,5
bookwyrm.hinanawi.net, bookwyrm, 0.6.0,1,0,1,13
bookwyrm.steamedfish.org, bookwyrm, 0.5.4,1,0,0,2
books.paladyn.org, bookwyrm, 0.6.4,1,1,1,137
bookwyrm.lond.com.br, bookwyrm, 0.7.3,1,1,1,323
books.variousbits.net, bookwyrm, 0.7.1,1,0,1,129
books.hvn.network, bookwyrm, 0.6.6,1,0,1,274
social.seaquillcatstone.com, bookwyrm, 0.7.1,1,0,0,3
b.kretschmann.social, bookwyrm, 0.5.4,1,0,1,6
bw.travelpandas.eu, bookwyrm, 0.7.1,1,0,1,7
epic.dansmonorage.blue, epicyon, 0.0.0,1,1,1,1
epicyon-test.fly.dev, epicyon, 0.0.0,1,1,1,1
c3po.bashell.com, microblogpub, Microblog.pub de607e9e3946+,1,null,null,3
neodb.social, neodb, 0.10.4.3,16740,1505,3148,10089674
eggplant.place, neodb, main,126,12,19,18807
minreol.dk, neodb, dev,10,9,9,777
reviewdb.app, neodb, 0.10.4.3,7,3,3,312
jeremy.org, oolong,0.1,1,1,null,512
svadhisthana.org, oolong,0.1,1,1,null,512
s3lph.me, pelican-activitypub,0.1,1,null,null,38
socialhome.network, socialhome, 0.20.0-dev,2594,25,83,35194
jasonrobinson.me, socialhome, 0.20.0-dev,4,1,1,6272
jase.social, socialhome, 0.20.0-dev,2,1,1,904
liga.schach.social, takahe, 0.9.0,241,null,null,2171
takahe.schach.social, takahe, 0.9.0,241,null,null,2171
takahe.social, takahe, 0.10.1,198,null,null,3455
mtth.org, takahe, 0.10.1,198,null,null,3455
jointakahe.takahe.social, takahe, 0.10.1,198,null,null,3455
fedi.mtth.org, takahe, 0.10.1,198,null,null,3455
shuuji3.takahe.social, takahe, 0.10.1,198,null,null,3455
misskey.takahe.social, takahe, 0.10.1,198,null,null,3455
derekmartin.org, takahe, 0.12.0,17,null,null,20
ourselves.space, takahe, 0.12.0,17,null,null,20
thedoodleproject.com, takahe, 0.12.0,17,null,null,20
derekmartinorg.network.thedoodleproject.net, takahe, 0.12.0,17,null,null,20
thedoodleprojectcom.network.thedoodleproject.net, takahe, 0.12.0,17,null,null,20
mercadosocial.madrid, takahe, 0.10.1,11,null,null,168
takahe.mercadosocial.madrid, takahe, 0.10.1,11,null,null,169
nexific.social, takahe, 0.10.1,9,null,null,36041
clubnf.us, takahe, 0.11.0,6,null,null,20
takahe.staging.django-cast.com, takahe, 0.11.0,5,null,null,20
fedi.vision, takahe, 0.11.0,4,null,null,721
internaluse.net, takahe, 0.11.0,4,null,null,6425
aprs.internaluse.net, takahe, 0.11.0,4,null,null,6467
tapeymctapeface.internaluse.net, takahe, 0.11.0,4,null,null,6475
fedi.commcon.xyz, takahe, 0.9.0,3,null,null,123
fedi.nimblea.pe, takahe, 0.9.0,3,null,null,123
fedi.everycastlabs.uk, takahe, 0.9.0,3,null,null,123
alpha.incarnator.org, takahe, 0.12.0,2,null,null,2
avara.dev, takahe, 0.12.0,2,null,null,5
cuates.casa, takahe, 0.10.1,2,null,null,209
fedi.python-podcast.de, takahe, 0.11.0,2,null,null,32
puffin.social, takahe, 0.10.1,2,null,null,0
quiet.social, takahe, 0.12.0,2,null,null,5
social.patrick.wtf, takahe, 0.10.1,2,null,null,31
patrick.wtf, takahe, 0.10.1,2,null,null,31
eurovisiondrinking.com, takahe, 0.10.1,2,null,null,349
f.tkte.ch, takahe, 0.11.0,2,null,null,39
python-podcast.de, takahe, 0.11.0,2,null,null,32
social.colinschlueter.com, takahe, 0.10.1,2,null,null,3
social.eurovisiondrinking.com, takahe, 0.10.1,2,null,null,349
colinschlueter.com, takahe, 0.10.1,2,null,null,3
puffin.fly.dev, takahe, 0.10.1,2,null,null,0
social.markmckeague.com, takahe, 0.10.1,2,null,null,0
social.naomielliott.net, takahe, 0.10.1,2,null,null,0
social.lisathomasius.de, takahe, 0.10.1,2,null,null,3
takahe.x59.us, takahe, 0.10.1,2,null,null,1
pub.org.il, takahe, 0.10.1,2,null,null,1
burgh.umenoka.link, takahe, 0.11.0,2,null,null,46
pythonpodcast.de, takahe, 0.11.0,2,null,null,32
blankpad.net, takahe, 0.9.0,1,null,null,505
derez.zone, takahe, 0.10.1,1,null,null,17
fedi.gerwitz.com, takahe, 0.10.1,1,null,null,358
fedi.karthikbalakrishnan.com, takahe, 0.10.1,1,null,null,38
flaximus.net, takahe, 0.10.1,1,null,null,470
indahood.de, takahe, 0.10.0-dev,1,null,null,8
lobsters.social, takahe, 0.10.1,1,null,null,0
social.codespawn.space, takahe, 0.9.0,1,null,null,72
social.ursaoskius.com, takahe, 0.10.1,1,null,null,2
sophie.cafe, takahe, 0.10.1,1,null,null,4
takahe.blankpad.net, takahe, 0.9.0,1,null,null,509
takahe.humberto.io, takahe, 0.11.0,1,null,null,52
humberto.io, takahe, 0.11.0,1,null,null,52
karthikb351.com, takahe, 0.10.1,1,null,null,38
takahe.shuuji3.xyz, takahe, 0.11.0,1,null,null,2
insightful.systems, takahe, 0.10.1,1,null,null,0
karthikbalakrishnan.com, takahe, 0.10.1,1,null,null,38
social.micair.de, takahe, 0.10.1,1,null,null,0
takahe.scrun.ch, takahe, 0.7.0,1,null,null,4
social.bissgigi.art, takahe, 0.11.0,1,null,null,52
activitypub.blankpad.net, takahe, 0.9.0,1,null,null,513
social.pygos.space, takahe, 0.11.0,1,null,null,0
bissgigi.art, takahe, 0.11.0,1,null,null,52
takahe.hacking.dk, takahe, 0.12.0,1,null,null,0
fedi.sbnet.uk, takahe, 0.10.1,1,null,null,7
fedi.karthikb351.com, takahe, 0.10.1,1,null,null,38
sbnet.uk, takahe, 0.10.1,1,null,null,7
pmakholm.takahe.hacking.dk, takahe, 0.12.0,1,null,null,0
pygos.space, takahe, 0.11.0,1,null,null,0
alex.femto.pub, takahe, 0.10.1,0,null,null,0
femto.pub, takahe, 0.10.1,0,null,null,0
takahe.girlth.ing, takahe, 0.10.1,0,null,null,0
social.girlth.ing, takahe, 0.10.1,0,null,null,0
communick.social, takahe, 0.11.0,0,null,null,0
lullis.net, takahe, 0.11.0,0,null,null,0
fedi.aria.rip, takahe, 0.10.1,0,null,null,0
activitypub.lullis.net, takahe, 0.11.0,0,null,null,0
toddpresta.com, TPs AP,0.01,1,null,null,0
post.miriel.dev,?a??,?a??.1.0-dev+v4.3.0-alpha.5,1,1,1,114
kniebes.com,Activity Pub Server,0.1,1,null,null,67
grumpyoldman.de,Activity Pub Server,0.1,1,null,null,22
relay-new.activitypub.ca,activityrelay,0.0.1,1,null,null,0
fe.disroot.org,akkoma,3.13.2-0-g050bc74,1963,281,833,31763
blob.cat,akkoma,3.10.4-0-gf5134be53-blob,1870,111,230,626745
pleroma.noellabo.jp,akkoma,3.10.4-607-g88021a96-noeroma,1580,26,66,24050
fedi.absturztau.be,akkoma,3.13.1-466-g21a81e11-develop,1382,85,171,881879
genserver.social,akkoma,3.13.2-0-g050bc74,1007,89,214,7224
outerheaven.club,akkoma,3.13.2-0-g050bc74,818,102,157,504338
miraiverse.xyz,akkoma,3.13.2-0-g050bc74,746,95,211,53153
pl.nudie.social,akkoma,3.13.2,347,34,76,1772
oddballs.online,akkoma,3.10.4-0-gebfb617,343,169,268,31959
nixnet.social,akkoma,3.13.2-0-g050bc74,323,34,76,28664
detroitriotcity.com,akkoma,3.13.1-0-gc02e343,260,61,121,100243
pleroma.envs.net,akkoma,3.13.2-0-g050bc74,250,51,89,33104
eepy.express,akkoma,3.13.2-0-g050bc74,208,108,173,31771
freespeech.group,akkoma,3.13.1-0-gc02e343,202,5,6,36362
labyrinth.zone,akkoma,3.12.2,145,112,147,105673
mycrowd.ca,akkoma,3.13.2,144,18,65,5804
seafoam.space,akkoma,3.12.2-0-g26a91d5,125,25,39,27180
ak.vern.cc,akkoma,3.13.2,125,3,15,12200
lesbi.in,akkoma,3.13.2,119,8,11,13528
akko.wtf,akkoma,3.13.2-654-gd6ac8cb4-akko-wtf,117,59,80,167281
froth.zone,akkoma,3.10.2-2212-g0d59cb6c-froth-akkoma,113,6,11,120942
donotsta.re,akkoma,3.13.2-0-g050bc74,106,47,59,23074
landofkittens.social,akkoma,3.10.3-200-g5c164028-develop,99,9,16,67362
decept.org,akkoma,3.13.2-0-g050bc74,92,14,28,14123
headpat.cafe,akkoma,3.10.4-0-g0af8e93,90,16,36,761
cooltrans.men,akkoma,3.13.2,81,33,84,9908
brain.worm.pink,akkoma,3.13.2-2-gf36e1368,79,34,53,37950
moth.zone,akkoma,3.13.2-0-g050bc74,75,34,45,55743
social.kernel.org,akkoma,3.13.2,73,39,49,17810
bunbers.org,akkoma,3.9.3-28-g9d7c877d-akkoma,72,6,12,613
kowelenz.social,akkoma,3.13.2-0-g050bc74,71,7,15,9532
ihatebeinga.live,akkoma,3.13.2-583-g5992e8bb,69,12,18,290850
shota.house,akkoma,3.13.2,67,19,35,196654
void.lgbt,akkoma,3.13.2-0-g050bc74,66,53,73,37670
norwoodzero.net,akkoma,3.10.2-0-gba1ed37,62,31,54,39841
social.translunar.academy,akkoma,3.13.2-0-g050bc74,60,43,58,163869
pl.m0e.space,akkoma,3.13.2-518-g8afc3bee-develop,52,22,26,6989
akkomane.social,akkoma,3.11.0-0-ga03f3a9,50,17,46,1240
akko.unix.dog,akkoma,3.13.2,50,14,30,12869
awoo.fai.st,akkoma,3.10.4-0-gebfb617,48,16,22,18529
crimew.gay,akkoma,3.10.3-200-g5c164028-develop,46,25,40,66071
ak.kawen.space,akkoma,3.13.2-0-g5e92f95-develop,45,21,27,62746
foxy.social,akkoma,3.13.2,45,7,15,267
corteximplant.net,akkoma,3.13.1-0-gc02e343,42,32,39,3521
woem.space,akkoma,3.13.2-0-g050bc74,39,25,35,114091
gosuslugi.social,akkoma,3.8.0,38,5,7,215
suya.place,akkoma,3.13.2-356-g26e24f96-suyaplace,36,22,30,36984
uchu-teien.com,akkoma,3.12.0-339-g2d439034-develop,36,15,26,11621
nya.house,akkoma,3.10.4-2-g47aab34e-nya,33,1,6,856
chai.kibbutz.gay,akkoma,3.13.2-0-g050bc74,32,23,32,7594
iscute.moe,akkoma,3.10.4,31,5,10,140898
spectreofcommunism.boo,akkoma,3.11.0,28,15,23,729
pinksheep.org,akkoma,3.13.2-0-g050bc74,26,3,4,643
breastmilk.club,akkoma,3.7.1-205-g82c1b7d4-akroma,26,12,19,92810
pr.shc.kanagawa.jp,akkoma,3.12.2-10-g37fa0a93-heads-v3-12-2,26,1,3,2439
akkoma.kikuri.moe,akkoma,3.11.0,26,8,19,258
akko.elysium.gay,akkoma,3.13.2-0-g050bc74,25,13,25,2276
akko.eepy.zone,akkoma,3.13.1,24,22,26,6789
pleroma.chillout.chat,akkoma,3.7.1,24,null,null,416
infinitychuu.xyz,akkoma,3.13.2-0-g050bc74,23,9,24,2718
ng.cathoderay.tube,akkoma,3.13.2-0-g050bc74,23,12,16,5906
netzsphaere.xyz,akkoma,3.13.2-0-g050bc74,23,5,9,125630
tailswish.industries,akkoma,3.11.0-1-g5c1a444e-tailswish,23,11,14,14066
akkoma.nekos.cafe,akkoma,3.13.1,23,7,13,907
sweet.succubi.services,akkoma,3.13.2,22,0,3,972
pleroma.viridianpatriots.com,akkoma,3.13.2-0-g5e92f95-develop,22,5,7,13472
myfriendsare.gay,akkoma,3.12.0,21,5,6,6227
shrine.moe,akkoma,3.13.2,21,15,19,8966
xyzzy.link,akkoma,3.12.2-349-gb8393ad9-develop,21,12,14,30567
haxe.social,akkoma,3.13.1,21,3,5,57
kongwoo.icu,akkoma,3.9.3-0-g9d7c877,20,2,4,7297
midnight.delivery,akkoma,3.7.1-0-gfef4bae,20,null,null,1013
akko.ssi.fyi,akkoma,3.13.2,20,14,22,174
junimo.party,akkoma,3.13.2,19,12,19,3979
is.badat.dev,akkoma,3.13.1-466-g21a81e11-develop,19,3,7,42514
social.milhousfamily.com,akkoma,3.13.2,19,8,11,95
novo-atlantis.null.media,akkoma,3.13.2,18,6,8,1402
wenxi.link,akkoma,3.10.4-0-gebfb617,18,1,11,45
toot.hackrc.dev,akkoma,3.13.2-161-g2f45139b-develop,17,1,2,1290
fedi.seriousbusiness.international,akkoma,3.13.2-0-g050bc74,16,9,11,6939
akko.gay-garden.no,akkoma,3.11.0,16,9,17,883
fedi.getimiskon.xyz,akkoma,3.13.2,15,9,12,24199
social.qunn.eu,akkoma,3.13.2-0-g050bc74,15,5,8,776
buff.tomboyfan.club,akkoma,3.13.2,15,8,8,8496
ilja.space,akkoma,3.13.2,15,4,8,13034
cockandballtortu.re,akkoma,3.9.3+dev,14,1,5,508
mar.archipielago.uno,akkoma,3.11.0,14,10,12,1451
social.owotel.com,akkoma,3.9.3,14,3,7,172
meow.church,akkoma,3.10.3-0-g43c5fd5,13,7,10,434
fedi.reimu.info,akkoma,3.13.2-566-gb03edb4f-develop,13,8,10,12706
akko.chir.rs,akkoma,3.11.0,13,6,7,11543
agda.club,akkoma,3.13.2-0-g050bc74,13,3,5,244
nyan.network,akkoma,3.12.2,12,7,8,5944
fedi.bapril.pl,akkoma,3.13.2,12,9,10,3064
bv.umbrellix.org,akkoma,3.12.0,12,4,6,22344
strelizia.net,akkoma,3.12.2-1646-gb467649a-akkoma,12,5,8,130060
soc.noob.quest,akkoma,3.13.2,12,6,7,11920
idealists.su,akkoma,3.10.4-1-gebfb617b,12,5,9,140
s.awoo.dev,akkoma,3.12.0-0-g087d88f-develop,12,3,7,1097
cofe.rocks,akkoma,3.13.2-499-g5e92f955-sn0w+PX,11,7,11,4311
pl.comofas.org,akkoma,3.13.2,11,2,4,73
fedi.skladka.net,akkoma,3.5.0-0-gd9508474b,11,null,null,1979
a.jerl.zone,akkoma,3.7.1-0-gfef4bae,11,null,null,136
hellspawn.gay,akkoma,3.13.2-0-g050bc74,11,12,12,1324
social.rjp.is,akkoma,3.13.2-614-g3ff0f46b-develop,10,7,8,35727
antani.pm,akkoma,3.13.2-524-g8f97c15b-develop,10,3,6,5164
3v.is,akkoma,3.10.2,10,3,7,351
pl.catboyindustries.co,akkoma,3.13.2-614-g3ff0f46b-develop,10,3,3,656
ak.zweitekassabitte.jetzt,akkoma,3.13.2-5-g2695e7b5-zkb,10,5,6,4626
fedi.on-a-ps4.lol,akkoma,3.13.2-0-g050bc74,10,9,10,584
is.slonk.ing,akkoma,3.13.1,10,3,8,68
p.girlc.at,akkoma,3.13.2-4-g906ea101,10,7,8,8405
nerdfight.online,akkoma,3.13.1,9,7,7,6653
fedi.worf.win,akkoma,3.13.2,9,6,7,563
ikbenpiraat.nl,akkoma,3.13.1-0-gc02e343,9,2,6,115
blimey.social,akkoma,3.13.2-0-g050bc74,9,2,5,1249
mastodon.nove.team,akkoma,3.13.2,9,3,7,1269
otlab.dev,akkoma,3.13.2,9,10,10,433
um.lugarzinho.top,akkoma,3.10.4,9,3,3,1117
ack.nerdfight.online,akkoma,3.13.1,9,7,7,6732
princess.wedding,akkoma,3.12.0,8,8,8,4839
ak.lavenderfield.xyz,akkoma,3.13.1,8,8,9,1352
social.nauk.io,akkoma,3.13.1-0-gc02e343,8,2,3,1186
trans.enby.town,akkoma,3.10.2-158-g59af68c6-develop,8,3,5,34350
satania.social,akkoma,3.13.2,8,5,7,617
fops.cloud,akkoma,3.13.2-0-g050bc74,8,8,8,12894
social.wedistribute.org,akkoma,3.11.0-0-ga03f3a9,8,6,8,1788
miku.place,akkoma,3.12.0-0-gd71d523,8,5,7,2263
free.gaycatgirl.sex,akkoma,3.9.3-28-g9d7c877d,8,3,5,4123
social.anthropi.st,akkoma,3.13.1,8,3,8,375
raccoon.cafe,akkoma,3.11.0-0-ga03f3a9,8,4,5,1081
yourwalls.today,akkoma,3.13.2,8,7,8,12223
brotka.st,akkoma,3.13.2,8,6,8,61206
femdom.solutions,akkoma,3.10.4,8,5,8,6513
fedi.kemonomimi.gay,akkoma,3.12.2,8,4,7,2747
bart.tobskep.com,akkoma,3.10.4-1-gebfb617b,8,4,6,4440
hasthebig.gay,akkoma,3.11.0,8,1,5,93
telex.disinfo.zone,akkoma,3.10.4,8,1,3,404
fedi.tilde.green,akkoma,3.13.2,8,3,5,148
fedimedia.tilde.green,akkoma,3.13.2,8,3,5,148
zy.gy,akkoma,3.10.4-3-g06971423-yf,7,2,4,6843
